Cluster,MHSE,MHSEErr,fgas,f_GasErr,Mtot,MtotErr
A1644,6.69,0.20,0.128,0.008,6.58,0.72
A1795,6.53,0.14,0.139,0.005,6.76,0.37
A2029,12.25,0.29,0.141,0.005,13.29,0.78
A2142,13.64,0.26,0.158,0.005,16.37,0.95
A2255,10.33,0.34,0.153,0.011,10.70,0.77
A2319,10.18,0.28,0.189,0.008,20.11,1.14
A3158,6.63,0.18,0.145,0.007,7.34,0.46
A3266,15.12,0.57,0.132,0.009,14.49,3.01
A644,7.67,0.48,0.132,0.012,8.35,0.70
A85,8.50,0.18,0.150,0.005,9.56,0.53
RXC1825,6.15,0.13,0.133,0.005,6.87,0.40
ZwCl1215,13.03,0.52,0.106,0.008,13.03,1.37


A1644,6.69,0.58,0.126,0.011,6.58,0.72
A1795,6.53,0.23,0.139,0.005,6.76,0.37
A2029,12.25,0.29,0.141,0.005,13.29,0.78
A2142,13.64,0.26,0.158,0.005,16.37,0.95
A2255,10.33,0.34,0.153,0.011,10.70,0.77
A2319,10.18,0.28,0.189,0.008,20.11,1.14
A3158,6.63,0.18,0.145,0.007,7.34,0.46
A3266,15.12,0.57,0.132,0.009,14.49,3.01
A644,7.67,0.48,0.132,0.012,8.35,0.70
A85,8.50,0.18,0.150,0.005,9.56,0.53
RXC1825,6.15,0.13,0.133,0.005,6.87,0.40
ZwCl1215,13.03,0.52,0.106,0.008,13.03,1.37
