,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,1RXS J022508.6-062310,02 25 12.2,-06 22 59,0.0,ClG,55050.0,0.2041,1
1,LEDA 1033499,02 25 12.283,-06 22 59.22,1.2521602,GtowardsCl,55038.0,0.20405,1
2,HSCS J022512-062259,02 25 12.20,-06 23 07.9,8.908008,ClG,55042.0,0.20407,1
3,DES J022511.59-062301.4,02 25 11.598,-06 23 01.45,9.301391,GtowardsCl,,,1
4,DES J022512.90-062300.1,02 25 12.904,-06 23 00.14,10.561315,GtowardsCl,53996.0,0.19973,1
5,DES J022511.38-062257.4,02 25 11.381,-06 22 57.46,12.30535,GtowardsCl,,,1
6,DES J022511.72-062245.6,02 25 11.728,-06 22 45.65,15.091021,GtowardsCl,,,1
7,DES J022512.16-062316.9,02 25 12.165,-06 23 16.92,17.93015,GtowardsCl,53601.0,0.1981,1
8,GAMA 2331293,02 25 10.97,-06 23 13.0,23.076706,Galaxy,55904.0,0.20766,1
9,DES J022511.55-062235.4,02 25 11.552,-06 22 35.49,25.422302,GtowardsCl,,,1
10,DES J022510.27-062302.7,02 25 10.2788,-06 23 02.739,28.881788,GtowardsCl,,,1
11,DES J022510.42-062236.4,02 25 10.429,-06 22 36.43,34.731503,GtowardsCl,,,1
12,DES J022513.58-062331.8,02 25 13.5830,-06 23 31.851,38.78357,GtowardsCl,,,1
13,DES J022511.35-062204.6,02 25 11.3625,-06 22 04.771,55.647232,GtowardsCl,54688.0,0.2026,1
14,DES J022509.26-062215.8,02 25 09.2625,-06 22 15.874,61.460236,GtowardsCl,,,1
15,DES J022514.23-062400.3,02 25 14.2377,-06 24 00.471,68.567444,GtowardsCl,55228.0,0.20484,1
16,GAMA 1756305,02 25 12.17,-06 24 28.6,89.58508,Galaxy,55194.0,0.2047,1
17,DES J022511.41-062433.1,02 25 11.412,-06 24 33.10,94.8323,GtowardsCl,55801.0,0.20723,1
18,DES J022505.52-062318.3,02 25 05.524,-06 23 18.39,101.392624,GtowardsCl,55947.0,0.20784,1
19,DES J022519.27-062309.7,02 25 19.276,-06 23 09.78,106.03624,GtowardsCl,,,1
20,DES J022512.93-062445.3,02 25 12.9397,-06 24 45.472,107.04183,GtowardsCl,53800.0,0.19892,1
21,DES J022512.05-062447.5,02 25 12.0634,-06 24 47.739,108.75896,GtowardsCl,56077.0,0.20838,1
22,PHL  4060,02 25.1,-06 22,109.65114,blue,,,1
23,GAMA 1756620,02 25 20.12,-06 23 13.9,118.98573,Galaxy,75556.0,0.29379,1
24,DES J022507.07-062124.7,02 25 07.0917,-06 21 24.781,121.145065,GtowardsCl,54963.0,0.20374,1
25,[RRB2014] RM J022507.9-062449.8,02 25 07.9,-06 24 49,127.312935,ClG,57370.0,0.2138,1
26,DES J022507.93-062449.7,02 25 07.9411,-06 24 49.890,127.77737,GtowardsCl,,,1
27,FIRST J022517.5-062442,02 25 17.5845,-06 24 43.570,131.8236,AGN_Candidate,,,1
28,GAMA 1757172,02 25 12.46,-06 20 39.4,139.68211,Galaxy,80466.0,0.31672,1
29,DES J022503.25-062211.8,02 25 03.2531,-06 22 11.875,141.45422,GtowardsCl,,,1
30,GAMA 1756875,02 25 03.25,-06 22 11.8,141.52138,Galaxy,67533.0,0.25759,1
31,DES J022506.31-062103.2,02 25 06.3177,-06 21 03.374,145.11627,GtowardsCl,,,1
32,DES J022510.73-062542.5,02 25 10.7346,-06 25 42.792,165.24223,GtowardsCl,54903.0,0.20349,1
33,GAMA 1756558,02 25 00.70,-06 23 19.0,172.58429,Galaxy,70277.0,0.2698,1
34,DES J022521.87-062436.5,02 25 21.8842,-06 24 36.698,174.3118,GtowardsCl,54934.0,0.20362,1
35,DES J022512.90-062557.9,02 25 12.906,-06 25 57.95,179.25958,GtowardsCl,,,1
36,GALEX J022502.2-062442,02 25 02.3148,-06 24 42.419,180.0242,WhiteDwarf,-76.06,-0.000254,1
37,DES J022518.69-062537.3,02 25 18.693,-06 25 37.31,185.55376,GtowardsCl,,,1
38,DES J022502.75-062504.3,02 25 02.7573,-06 25 04.505,188.58458,GtowardsCl,62143.0,0.23409,1
39,DES J022509.28-062611.6,02 25 09.2922,-06 26 11.857,197.66829,GtowardsCl,55403.0,0.20557,1
40,DES J022506.87-062642.2,02 25 06.8738,-06 26 42.497,237.18005,GtowardsCl,54912.0,0.20353,1
41,DES J022456.53-062406.8,02 24 56.532,-06 24 06.83,243.21219,GtowardsCl,59597.0,0.22321,1
42,GAMA 1757250,02 25 25.70,-06 20 37.5,246.02878,Galaxy,15789.0,0.05413,1
43,GAMA 1755552,02 25 14.27,-06 27 06.8,249.68262,Galaxy,53875.0,0.19923,1
44,GAMA 1757539,02 25 05.47,-06 19 07.9,251.91232,Galaxy,55686.0,0.20675,1
45,MOO J0224-0620.1526,02 24 56.28,-06 21 33.0,252.4267,GtowardsCl,163190.0,0.841,1
46,GAMA 1756983,02 25 28.40,-06 21 32.6,256.47287,Galaxy,75629.0,0.29413,1
47,DES J022512.54-061839.6,02 25 12.541,-06 18 39.66,259.38507,GtowardsCl,,,1
48,DES J022502.97-061904.6,02 25 02.9897,-06 19 04.827,271.45892,GtowardsCl,54392.0,0.20137,1
49,DES J022502.77-061904.8,02 25 02.7819,-06 19 04.963,272.9214,GtowardsCl,54835.0,0.20321,1
50,LEDA 1034347,02 25 06.4359,-06 18 34.112,278.477,Galaxy,15266.0,0.05229,1
51,LEDA 1034329,02 25 04.49,-06 18 39.1,284.21628,Galaxy,15128.0,0.0518,1
52,GAMA 2331619,02 25 06.53,-06 18 23.0,288.6829,Galaxy,15352.0,0.05259,1
53,DES J022457.46-061925.2,02 24 57.4756,-06 19 25.399,306.28278,GtowardsCl,,,1
54,DES J022502.15-061829.9,02 25 02.153,-06 18 29.99,307.9008,GtowardsCl,,,1
55,MOO J0224-0620.1371,02 24 53.54,-06 20 44.0,309.20276,GtowardsCl,160167.0,0.815,1
56,MOO J0224-0620.1090,02 24 53.96,-06 20 28.0,311.0286,GtowardsCl,159693.0,0.811,1
57,GAMA 2560588,02 25 05.93,-06 28 07.6,322.41306,Galaxy,15554.0,0.0533,1
58,2MASX J02250561-0628061,02 25 05.613,-06 28 06.15,322.46127,LowSurfBrghtG,,,1
59,DES J022529.09-062625.0,02 25 29.1009,-06 26 25.218,325.56772,GtowardsCl,55499.0,0.20597,1
60,MOO J0224-0620.1408,02 24 52.56,-06 20 15.0,335.5891,GtowardsCl,159812.0,0.812,1
61,GAMA 1757592,02 24 55.88,-06 19 07.3,335.99387,Galaxy,89511.0,0.36064,1
62,GAMA 2331021,02 25 30.95,-06 26 12.3,339.84967,Galaxy,12275.0,0.04182,1
63,6dFGS gJ022531.0-062612,02 25 31.0,-06 26 17,343.12772,Galaxy,12164.0,0.04143,1
64,GAMA 1755175,02 25 14.89,-06 28 43.2,346.53876,Galaxy,55739.0,0.20697,1
65,SDSS J022501.81-062809.2,02 25 01.8263,-06 28 09.209,346.61182,QSO,184452.0,1.049,1
66,LEDA 1034305,02 24 56.3,-06 18 46,346.69275,Galaxy,,,1
67,MOO J0224-0620.1284,02 24 51.27,-06 20 22.0,349.29016,GtowardsCl,158020.0,0.797,1
68,MOO J0224-0620,02 24 51.3,-06 20 17,351.16946,ClG,160285.0,0.816,1
69,MOO J0224-0620.1287,02 24 50.94,-06 20 21.0,354.13675,GtowardsCl,161107.0,0.823,1
70,MOO J0224-0620.1324,02 24 51.38,-06 20 06.0,355.3362,GtowardsCl,160755.0,0.82,1
71,GAMA 1755391,02 25 26.63,-06 27 48.7,360.85785,Galaxy,43432.0,0.15708,1
72,GAMA 1757391,02 24 51.20,-06 19 51.6,364.85785,Galaxy,34435.0,0.12229,1
73,GAMA 1758163,02 25 06.32,-06 17 04.8,364.87778,Galaxy,15605.0,0.05348,1
74,GAMA 1758071,02 25 04.69,-06 17 07.9,368.5139,Galaxy,55343.0,0.20532,1
75,GAMA 1756288,02 24 47.93,-06 24 18.2,370.3506,Galaxy,73189.0,0.28295,1
76,GAMA 1755737,02 25 32.27,-06 26 39.0,371.36108,Galaxy,75182.0,0.29207,1
77,GAMA 1757661,02 24 54.38,-06 18 37.9,372.4684,Galaxy,72347.0,0.27913,1
78,GAMA 1757527,02 24 51.83,-06 19 20.0,374.42548,Galaxy,49994.0,0.18333,1
79,GAMA 1757874,02 24 58.70,-06 17 43.0,374.6189,Galaxy,54401.0,0.20141,1
80,FIRST J022536.1-062101,02 25 36.1422,-06 21 00.925,375.94205,AGN_Candidate,,,1
81,GAMA 1755350,02 25 27.67,-06 28 03.1,381.6722,Galaxy,47123.0,0.17175,1
82,[MFP2015] XCC J0225.5-0619,02 25 34.3,-06 19 22,394.41315,ClG,174944.0,0.95,1
83,DES J022513.93-062933.2,02 25 13.9427,-06 29 33.436,395.2906,GtowardsCl,55124.0,0.20441,1
84,DES14X2bnz,02 25 01.245,-06 16 42.82,410.10092,Supernova,40886.0,0.1471,1
85,GAMA 1756577,02 24 44.62,-06 23 23.6,411.85846,Galaxy,42868.0,0.15486,1
86,GAMA 1758139,02 25 25.82,-06 16 58.3,413.95547,Galaxy,32404.0,0.11462,1
87,GAMA 1756883,02 24 44.22,-06 22 21.7,418.76514,Galaxy,61731.0,0.23232,1
88,HSCS J022515-063005,02 25 14.773,-06 30 05.26,427.97806,ClG,152748.0,0.7543,1
89,GAMA 1758052,02 25 28.40,-06 17 01.0,431.84665,Galaxy,103150.0,0.43147,1
