,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,2E 1155.9+2646,11 58 28.57,+26 29 01.4,0.059613265,ClG,38577.0,0.13814,1
1,DES J115829.98+262940.0,11 58 29.9799,+26 29 40.018,43.008484,GtowardsCl,,,1
2,DES J115831.84+262910.8,11 58 31.8412,+26 29 10.836,44.92111,GtowardsCl,,,1
3,DES J115825.79+262817.4,11 58 25.7993,+26 28 17.432,57.59365,GtowardsCl,,,1
4,LEDA 1777781,11 58 32.8953,+26 28 41.281,61.458958,GtowardsCl,38302.0,0.13708,1
5,SDSS J115825.79+262952.9,11 58 25.7933,+26 29 52.905,63.57961,BrightestCG,38577.0,0.13814,1
6,DES J115824.36+262938.7,11 58 24.3677,+26 29 38.782,67.67747,GtowardsCl,,,1
7,DES J115831.41+263004.5,11 58 31.4090,+26 30 04.533,73.74589,GtowardsCl,,,1
8,SDSS J115829.70+263032.2,11 58 29.7024,+26 30 32.247,92.11087,GtowardsCl,37595.0,0.13436,1
9,SDSS J115822.26+262819.7,11 58 22.2633,+26 28 19.747,94.36639,Galaxy,32418.0,0.11467,1
10,1RXS J115829.6+262722,11 58 29.602,+26 27 22.00,100.36126,X,,,1
11,DES J115828.45+263053.2,11 58 28.4503,+26 30 53.268,111.87972,GtowardsCl,,,1
12,DES J115824.29+262719.2,11 58 24.2932,+26 27 19.194,117.23394,GtowardsCl,,,1
13,DES J115823.89+263040.7,11 58 23.8991,+26 30 40.701,117.44117,GtowardsCl,,,1
14,Gaia DR3 4006449779810685440,11 58 20.2982,+26 27 39.329,138.09996,Galaxy,,,1
15,DES J115821.47+263048.4,11 58 21.4767,+26 30 48.486,143.29892,GtowardsCl,,,1
16,LEDA 1779028,11 58 20.7,+26 30 40,144.51212,Galaxy,,,1
17,SDSS J115832.77+263116.6,11 58 32.7749,+26 31 16.648,146.55544,BrightestCG,37926.0,0.13563,1
18,DES J115833.18+263119.5,11 58 33.1789,+26 31 19.569,151.3888,GtowardsCl,,,1
19,SDSS J115839.63+262941.3,11 58 39.6384,+26 29 41.333,153.86855,Galaxy,39270.0,0.14082,1
20,DES J115816.46+262840.5,11 58 16.4672,+26 28 40.589,163.82227,GtowardsCl,,,1
21,2MASX J11581908+2630460,11 58 19.0873,+26 30 45.916,164.70662,Galaxy,38911.0,0.13943,1
22,DES J115826.20+262559.5,11 58 26.2039,+26 25 59.534,184.62029,GtowardsCl,,,1
23,DES J115839.41+262656.0,11 58 39.4168,+26 26 56.026,192.1784,GtowardsCl,,,1
24,Cul 1155+26B,11 58 34,+26 25.8,206.69023,Radio,,,1
25,2MASS J11584239+2627149,11 58 42.4038,+26 27 14.908,214.11653,Seyfert1,59809.0,0.22411,1
26,7C 1155+2642,11 58 33.9,+26 25 37,216.5704,Radio,,,1
27,1RXS J115843.1+262655,11 58 43.099,+26 26 55.00,232.46286,X,,,1
28,[R75b] 4C 26.35 B,11 58 32.71,+26 25 09.4,238.56914,Radio,,,1
29,DES J115814.57+262627.5,11 58 14.5802,+26 26 27.397,242.91573,GtowardsCl,,,1
30,2MASX J11581008+2627109,11 58 10.1020,+26 27 11.245,271.34753,GtowardsCl,6831.0,0.02305,1
31,SDSS J115839.81+262510.9,11 58 39.8209,+26 25 10.953,275.56406,QSO,270700.0,3.42828,1
32,DES J115848.88+262813.9,11 58 48.8868,+26 28 13.927,276.88736,GtowardsCl,,,1
33,SDSS J115840.13+263330.1,11 58 40.1306,+26 33 30.171,310.34424,GtowardsCl,38965.0,0.13964,1
34,2MASX J11580754+2631221,11 58 07.5226,+26 31 22.416,315.76822,LINER,6702.0,0.02261,1
35,SDSS J115816.07+263331.5,11 58 16.074,+26 33 31.60,318.0139,Galaxy,6631.0,0.02237,1
36,SDSS J115845.17+263252.1,11 58 45.1708,+26 32 52.119,320.74948,Galaxy,82058.0,0.32429,1
37,DES J115824.43+262339.4,11 58 24.4354,+26 23 39.335,326.81656,GtowardsCl,,,1
38,Gaia DR3 4006446339541690496,11 58 42.0428,+26 24 27.321,328.4207,WhiteDwarf_Candidate,,,1
39,SDSS J115829.72+262332.4,11 58 29.7234,+26 23 32.498,329.26614,Galaxy,38502.0,0.13785,1
40,TXS 1155+266,11 58 25.72,+26 23 25.9,337.6767,Radio,,,1
41,SDSS J115846.44+262433.1,11 58 46.447,+26 24 33.17,359.9886,Galaxy,39001.0,0.13978,1
42,XCLASS 3047,11 58 07.6715,+26 25 03.070,368.20197,ClG,91538.0,0.3708,1
43,SDSS J115823.25+263502.7,11 58 23.2568,+26 35 02.731,368.29953,Seyfert1,132380.0,0.6067,1
44,2MASX J11584501+2634273,11 58 45.0339,+26 34 27.555,393.953,Galaxy,24455.0,0.08519,1
45,TYC 1987-1514-1,11 58 49.0015,+26 24 07.942,401.7686,SB*,,,1
46,ACO  1425,11 58 10,+26 23.3,424.4233,ClG,31707.0,0.112,1
47,TYC 1987-1916-2,11 58 42.7187,+26 35 33.951,436.05832,Star,,,1
48,GSC 01987-01916,11 58 42.7395,+26 35 33.916,436.14865,SB*,-24.21,-8.1e-05,1
49,TYC 1987-1916-1,11 58 42.7644,+26 35 33.908,436.2874,Star,,,1
50,SDSS J115845.69+262249.3,11 58 45.6962,+26 22 49.334,437.43695,Galaxy,31694.0,0.11195,1
51,[R75b] 4C 26.35 A,11 58 18.5,+26 21 44,457.8393,Galaxy,,,1
52,Gaia DR3 4006447576492292352,11 59 02.3260,+26 27 27.754,462.83008,Galaxy,,,1
53,[DCA2018] 360949,11 58 45.08,+26 22 14.1,463.7832,GroupG,31907.0,0.11275,1
54,BD+27  2078,11 59 01.4861,+26 31 29.226,465.92297,Star,4.32,1.4e-05,1
55,NSC J115813+262157,11 58 13.54,+26 21 56.8,470.156,ClG,32213.0,0.1139,1
56,SDSSCGB 32208.2,11 59 03.312,+26 30 25.10,473.84692,Galaxy,,,1
57,SDSSCGB 32208.4,11 59 03.495,+26 30 12.84,474.27106,Galaxy,,,1
58,SDSSCGB 32208,11 59 03.6,+26 30 17,476.30484,Compact_Gr_G,,,1
59,Cul 1155+26A,11 58 18,+26 21.4,478.93213,Radio,,,1
60,SDSSCGB 32208.1,11 59 03.952,+26 30 03.84,479.0863,Galaxy,,,1
61,SDSSCGB 32208.3,11 59 03.748,+26 30 25.46,479.67188,Galaxy,,,1
62,XCLASS 3049,11 58 20.2,+26 21 14,480.4711,ClG,31973.0,0.113,1
