,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,2MAXI J1546-834,15 39 33.9,-83 35 32,0.0,ClG,21921.0,0.076,1
1,1RXS J153934.7-833535,15 39 34.7,-83 35 35,3.2853231,X,,,1
2,2MASX J15393387-8335215,15 39 33.875,-83 35 21.52,10.480083,BrightestCG,21856.0,0.07577,1
3,Gaia DR3 5768440493586422656,15 40 38.8463,-83 34 38.094,121.466934,Galaxy,,,1
4,Gaia DR3 5768439909472001536,15 38 30.0690,-83 34 34.324,121.545,Galaxy,,,1
5,1RXS J154029.9-833741,15 40 29.902,-83 37 41.02,159.331,X,,,1
6,Gaia DR2 5768438638158330368,15 38 40.3255,-83 37 50.406,164.77869,WhiteDwarf_Candidate,,,1
7,1RXS J154117.7-833731,15 41 17.700,-83 37 30.97,210.2229,X,,,1
8,Gaia DR3 5768441039048755584,15 41 42.8057,-83 32 09.205,296.81735,WhiteDwarf_Candidate,,,1
9,Gaia DR3 5768437362552937472,15 43 09.9095,-83 35 41.419,361.6579,Galaxy,,,1
10,Gaia DR3 5768433759077715328,15 35 42.2560,-83 37 39.153,407.083,Galaxy,,,1
11,UCAC2    157656,15 41 13.3751,-83 28 54.412,431.60513,Star,-52.96,-0.000177,1
12,Gaia DR3 5768442177214740096,15 40 15.9298,-83 28 05.515,452.10013,Galaxy,,,1
13,Gaia DR3 5768437813526811008,15 44 06.7797,-83 33 36.282,472.34262,Galaxy,,,1
14,TYC 9509-3027-1,15 44 16.0512,-83 34 50.651,474.5554,Star,-13.24,-4.4e-05,1
15,TYC 9509-3445-1,15 37 30.0903,-83 43 36.784,526.37897,HighPM*,-36.35,-0.000121,1
16,IRAS 15240-8324,15 34 19.2,-83 34 45,529.47064,FarIR,,,1
17,TYC 9509-2611-1,15 36 19.7802,-83 28 15.867,545.71265,Star,,,1
18,TYC 9509-3159-1,15 34 57.2701,-83 44 13.647,694.0718,Star,-2.08,-7e-06,1
19,Gaia DR3 5768491552158784640,15 34 04.5405,-83 27 00.213,756.72406,Galaxy,,,1
20,UCAC4 032-009148,15 34 12.1423,-83 45 02.000,779.6675,Star,-105.69,-0.000352,1
21,Gaia DR2 5768427123350507520,15 37 18.2398,-83 48 10.707,790.9004,WhiteDwarf_Candidate,,,1
22,Gaia DR3 5768491620878261760,15 33 35.8097,-83 26 53.963,797.3294,Galaxy,,,1
23,1RXS J153826.7-832205,15 38 26.700,-83 22 05.48,814.5984,X,,,1
24,UCAC2    136055,15 45 33.8550,-83 44 55.239,819.44977,Star,16.72,5.6e-05,1
25,Gaia DR3 5768421973687336448,15 44 26.7650,-83 46 33.918,819.52783,Galaxy,,,1
26,Gaia DR3 5768431143439897472,15 34 05.0865,-83 45 57.053,827.94904,Galaxy,,,1
27,Gaia DR3 5768460971990472064,15 47 15.2771,-83 30 07.020,842.90125,Galaxy,,,1
28,CPD-83   587,15 43 35.4762,-83 48 02.860,849.7262,EclBin,,,1
29,TYC 9509-3742-1,15 47 19.9244,-83 42 56.021,891.1048,Star,,,1
30,HD 135720,15 31 42.8609,-83 42 45.105,893.14087,Star,7.79,2.6e-05,1
31,TYC 9509-2241-1,15 32 34.2355,-83 26 30.979,893.1723,Star,-18.13,-6e-05,1
32,TYC 9509-2861-1,15 47 51.4836,-83 29 11.184,922.0697,Star,-7.63,-2.5e-05,1
33,Gaia DR2 5768478220579146112,15 31 41.3141,-83 43 42.093,923.46344,RRLyrae,,,1
34,IRAS 15263-8341,15 37 00.4,-83 51 06,967.05237,FarIR,,,1
35,LEDA  221063,15 30 02.9,-83 33 11,969.0365,Galaxy,,,1
36,IRAS 15357-8337,15 46 35.1,-83 46 50,970.808,FarIR,,,1
37,LEDA  220454,15 38 26.3,-83 52 09,1003.12726,Galaxy,,,1
38,UCAC2    157542,15 36 33.1552,-83 19 37.087,1003.5852,Star,-55.83,-0.000186,1
