,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,2XMM J143742.9+340810,14 37 43.200,+34 08 07.80,0.0,ClG,122704.0,0.5446,1
1,[KEC2012] 219.429261+34.136200,14 37 43.069,+34 08 09.91,2.6622698,AGN,122450.0,0.54303,1
2,[VJL2014] XBS 41 BGG,14 37 43.0,+34 08 11,4.1440706,Galaxy,122445.0,0.543,1
3,[VJL2014] XBS 41,14 37 42.77,+34 08 07.0,5.3983607,GroupG,122445.0,0.543,1
4,[KEC2012] 219.420881+34.137573,14 37 41.011,+34 08 15.26,28.178349,AGN,122768.0,0.545,1
5,[KEC2012] 219.413464+34.137941,14 37 39.231,+34 08 16.59,50.050186,AGN,76035.0,0.296,1
6,[KEC2012] 219.438385+34.122426,14 37 45.212,+34 07 20.73,53.287987,AGN,49172.0,0.18,1
7,[KEC2012] 219.457097+34.134014,14 37 49.703,+34 08 02.45,80.920456,QSO,251899.0,2.394,1
8,[KEC2012] 219.441418+34.113739,14 37 45.940,+34 06 49.46,85.4105,AGN,113247.0,0.488,1
9,[KEC2012] 219.458772+34.146480,14 37 50.105,+34 08 47.33,94.40231,QSO,85523.0,0.341,1
10,[KEC2012] 219.459281+34.121028,14 37 50.227,+34 07 15.70,101.628174,AGN,66946.0,0.255,1
11,[KEC2012] 219.446640+34.110535,14 37 47.194,+34 06 37.93,102.64778,AGN,42140.0,0.152,1
12,[KEC2012] 219.447061+34.107916,14 37 47.2870,+34 06 28.429,111.58076,AGN,72980.0,0.282,1
13,CXOXB J143737.5+340935,14 37 37.530,+34 09 34.48,111.6578,QSO,256709.0,2.594,1
14,[KEC2012] 219.459330+34.114764,14 37 50.239,+34 06 53.15,114.94604,AGN,42140.0,0.152,1
