,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,2XMMi J104551.6+213340,10 45 51.500,+21 33 50.50,0.0013731259,ClG,110104.0,0.47,1
1,SDSS J104551.42+213338.2,10 45 51.429,+21 33 38.26,12.279077,BrightestCG,110469.0,0.47207,1
2,2XMM J104554.0+213355,10 45 54.0166,+21 33 55.896,35.52014,X,,,1
3,[SPD2011] 19392,10 45 51.7,+21 32 23,88.00586,ClG,116035.0,0.5043,1
4,2XMM J104558.1+213315,10 45 58.1154,+21 33 12.413,99.83941,Galaxy,23774.0,0.08271,1
5,NVSS J104546+213204,10 45 46.526,+21 32 00.07,130.42422,Radio,,,1
6,SDSS J104549.73+213109.4,10 45 49.7539,+21 31 09.675,162.65924,Galaxy,38286.0,0.13702,1
7,3XMM J104549.6+213106,10 45 49.63,+21 31 06.0,166.55624,X,,,1
8,SDSS J104549.40+213104.5,10 45 49.406,+21 31 04.53,168.51796,BrightestCG,122139.0,0.54111,1
9,SDSS J104548.83+213105.6,10 45 48.832,+21 31 05.68,168.97414,BrightestCG,118064.0,0.51636,1
10,2XMM J104537.3+213407,10 45 37.4225,+21 34 07.258,197.09232,X,,,1
11,SDSS J104553.06+213034.5,10 45 53.061,+21 30 34.52,197.18561,Galaxy,31382.0,0.11078,1
