,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,2XMMi J220605.5-001110,22 06 05.000,-00 11 13.40,0.0019999954,ClG,86751.0,0.347,1
1,SDSS J220604.94-001042.7,22 06 04.948,-00 10 42.72,30.687576,BrightestCG,94877.0,0.38781,1
2,SDSS J220608.03-001146.5,22 06 08.041,-00 11 46.56,56.394066,QSO,236192.0,1.903,1
3,2SLAQ J220602.59-001205.9,22 06 02.591,-00 12 05.92,63.750088,Star,,,1
4,SDSS J220600.94-001207.3,22 06 00.944,-00 12 07.33,81.30134,QSO,235362.0,1.882,1
5,2SLAQ J220556.03-001109.0,22 05 56.0395,-00 11 09.019,134.47765,Star,,,1
6,LEDA 1149411,22 05 54.787,-00 11 54.25,158.54875,Galaxy,24447.0,0.08516,1
7,2SLAQ J220602.84-000757.9,22 06 02.842,-00 07 57.92,198.14197,Star,,,1
8,2SLAQ J220550.06-001226.8,22 05 50.063,-00 12 26.89,235.79828,Galaxy,,,1
9,2SLAQ J220601.69-001508.0,22 06 01.692,-00 15 08.00,239.79005,Star,,,1
10,SDSS J220555.01-000755.2,22 05 55.0123,-00 07 55.187,248.4608,Seyfert2,26989.0,0.09447,1
11,2SLAQ J220551.48-000846.8,22 05 51.483,-00 08 46.86,250.16637,Galaxy,,,1
12,RESOLVE rf747,22 06 09.143,-00 07 07.22,253.9036,Galaxy,4221.0,0.01418,1
13,[DCA2018] 256854,22 05 54.49,-00 07 52.8,255.12555,GroupG,26910.0,0.09418,1
14,SDSS J220553.97-000750.3,22 05 53.9731,-00 07 50.361,261.88278,Galaxy,26829.0,0.09388,1
15,2MASX J22060095-0006519,22 06 00.9373,-00 06 51.303,269.08826,LINER,31173.0,0.11,1
16,SDSS J220602.16-000638.7,22 06 02.1685,-00 06 38.681,277.98184,Galaxy,35673.0,0.127,1
17,SDSS J220603.88-000631.9,22 06 03.8869,-00 06 31.890,282.0041,Galaxy,34358.0,0.122,1
18,2SLAQ J220547.58-000925.4,22 05 47.5883,-00 09 25.468,282.59677,Star,,,1
19,SDSSCGA 505,22 06 02.2,-00 06 30,286.49527,Compact_Gr_G,31309.0,0.11051,1
20,SDSS J220611.51-000640.4,22 06 11.520,-00 06 40.46,289.92657,QSO,201932.0,1.264269,1
21,SDSS J220601.88-000557.4,22 06 01.881,-00 05 57.52,319.3235,Galaxy,31443.0,0.11101,1
22,SDSS J220551.04-000652.4,22 05 51.046,-00 06 52.46,334.51733,HIIG,55955.0,0.20787,1
23,2SLAQ J220613.06-000601.0,22 06 13.0662,-00 06 01.082,334.93518,Star,,,1
24,[GMB2011] 807,22 06 25.854,-00 15 09.98,392.18893,ClG,84906.0,0.338,1
25,SDSS J220555.95-000453.7,22 05 55.9586,-00 04 53.742,403.1538,Radio,149813.0,0.731409,1
26,2SLAQ J220630.59-000804.2,22 06 30.595,-00 08 04.26,427.99042,Galaxy,23410.0,0.08139,1
27,SDSS-II SN 21058,22 06 18.73,-00 04 54.7,431.0787,Supernova,45256.0,0.1643,1
28,SDSS J220606.60-000400.2,22 06 06.605,-00 04 00.22,433.84732,QSO,205445.0,1.314096,1
29,SDSS J220617.70-000436.2,22 06 17.704,-00 04 36.29,440.4693,QSO,253471.0,2.456,1
30,UCAC2  31789179,22 05 51.7732,-00 17 46.675,440.48654,Star,,,1
31,2SLAQ J220535.42-001207.0,22 05 35.4278,-00 12 07.042,446.8109,Star,,,1
32,UCAC4 450-134872,22 06 34.6820,-00 10 00.714,451.12213,Star,-28.998,-9.7e-05,1
33,2MASS J22053849-0007325,22 05 38.4894,-00 07 32.389,454.9473,Low-Mass*,-13.34,-4.4e-05,1
34,SDSSCGB 56239.4,22 06 13.997,-00 03 55.42,458.30038,Galaxy,,,1
35,SDSSCGB 56239.1,22 06 13.7770,-00 03 45.239,467.09808,Galaxy,42530.0,0.15353,1
36,SDSSCGB 56239.2,22 06 15.3653,-00 03 42.437,477.01324,Galaxy,,,1
37,SDSSCGB 56239,22 06 13.8,-00 03 35,477.0267,Compact_Gr_G,42649.0,0.154,1
38,SDSS J220605.50-000304.5,22 06 05.5075,-00 03 04.575,488.88367,Radio,153505.0,0.760305,1
39,SDSS J220636.59-000903.0,22 06 36.597,-00 09 03.08,491.54446,Galaxy,41109.0,0.14797,1
40,SDSS J220548.89-000352.5,22 05 48.8954,-00 03 52.556,502.69083,Star,,,1
41,SDSS J220534.44-000743.6,22 05 34.449,-00 07 43.60,504.0052,QSO,190702.0,1.120425,1
42,SDSSCGB 56239.3,22 06 11.988,-00 02 58.24,506.133,Galaxy,,,1
43,2MASS J22055267-0003201,22 05 52.6732,-00 03 20.000,508.2275,Low-Mass*,-72.915,-0.000243,1
44,SDSS J220542.56-000440.8,22 05 42.5613,-00 04 40.854,517.08563,Radio,56140.0,0.208646,1
45,SDSS J220551.15-000303.4,22 05 51.1578,-00 03 03.446,532.1326,Seyfert2,35403.0,0.12597,1
46,2SLAQ J220638.27-001424.4,22 06 38.2751,-00 14 24.428,534.4305,Star,,,1
47,Gaia DR3 2680389106889950848,22 06 09.1582,-00 02 15.446,541.5571,HighPM*,-26.62,-8.9e-05,1
48,2MASS J22063193-0005063,22 06 31.9155,-00 05 06.502,545.5399,Low-Mass*,25.122,8.4e-05,1
49,* alf Aqr,22 05 47.0359,-00 19 11.456,548.76776,Star,6.829,2.3e-05,1
50,SDSS J220633.43-001708.3,22 06 33.4409,-00 17 08.290,554.92725,Galaxy,44702.0,0.1621,1
51,SDSS J220631.85-000442.5,22 06 31.858,-00 04 42.58,561.2894,QSO,233641.0,1.839682,1
52,SDSS J220539.84-000414.6,22 05 39.8472,-00 04 14.613,563.6759,Radio,115500.0,0.50115,1
53,SDSSCGB 25647.3,22 06 23.649,-00 19 38.69,577.55347,Galaxy,,,1
54,SDSSCGB 25647.2,22 06 22.973,-00 19 44.90,578.1974,Galaxy,,,1
55,SDSS J220526.17-001118.7,22 05 26.1699,-00 11 18.673,582.47186,QSO,237317.0,1.932092,1
