,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,3XMM J012023.3-000444,01 20 20.28,-00 06 22.4,0.056850642,GroupG,22474.0,0.078,1
1,SDSS J012016.29-000639.4,01 20 16.291,-00 06 39.48,62.230278,Galaxy,131152.0,0.59856,1
2,2MASS J01201780-0005242,01 20 17.8003,-00 05 24.262,69.01748,Star,28.938999,9.7e-05,1
3,SDSS J012025.56-000617.6,01 20 25.5579,-00 06 17.582,79.31507,QSO,251863.0,2.3926,1
4,1RXS J012021.4-000455,01 20 21.401,-00 04 54.98,89.02247,X,,,1
5,SDSS J012020.56-000452.0,01 20 20.5731,-00 04 52.014,90.49216,BrightestCG,23545.0,0.08188,1
6,SDSS J012018.22-000802.0,01 20 18.2179,-00 08 02.052,104.341896,Galaxy,21813.0,0.07561,1
7,2MASX J01202313-0004443,01 20 23.1416,-00 04 44.293,107.08595,BrightestCG,22311.0,0.07741,1
8,2MASS J01201223-0005482,01 20 12.2356,-00 05 48.271,125.39826,Star,-30.768,-0.000103,1
9,SN 2016gvd,01 20 22.63,-00 04 20.2,127.18254,Supernova,,,1
10,SDSS J012011.74-000557.0,01 20 11.7443,-00 05 57.068,130.51651,QSO,245150.0,2.158,1
11,SDSS J012019.96-000408.2,01 20 19.9680,-00 04 08.241,134.24,Galaxy,156684.0,0.78598303,1
12,SDSS J012013.27-000441.2,01 20 13.2742,-00 04 41.259,145.85167,GtowardsCl,22864.0,0.07941,1
13,FIRST J012025.2-000406,01 20 25.2515,-00 04 06.241,155.24258,AGN_Candidate,,,1
14,2MASS J01200752-0005125,01 20 07.5252,-00 05 12.588,203.6608,Star,-1.637,-5e-06,1
15,2SLAQ J012012.59-000916.3,01 20 12.592,-00 09 16.32,208.6787,Galaxy,,,1
16,LEDA 1150768,01 20 33.381,-00 08 47.43,244.24052,EmissionG,25903.0,0.09048,1
17,LAMOST J012027.96-001004.4,01 20 27.963,-00 10 04.50,250.21643,Galaxy,25974.0,0.09074,1
18,LAMOST J012028.70-000958.6,01 20 28.7018,-00 09 58.677,250.46863,EmissionG,25742.0,0.08989,1
19,LEDA 1152912,01 20 33.0116,-00 03 38.048,251.95822,GtowardsCl,22234.0,0.07713,1
20,SDSS J012036.65-000518.5,01 20 36.655,-00 05 18.51,253.80086,QSO,221291.0,1.576407,1
