,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACO   644,08 17 24.5,-07 30 46,0.0,ClG,20364.0,0.0704,1
1,2MASX J08172559-0730455,08 17 25.598,-07 30 45.59,16.333765,BrightestCG,21176.0,0.073316,1
2,[MMK2007] J081725.35-073101.9,08 17 25.35,-07 31 01.9,20.312359,GtowardsCl,20113.0,0.0695,1
3,[MMK2007] J081723.86-073014.5,08 17 23.86,-07 30 14.5,32.90648,GtowardsCl,65808.0,0.25,1
4,[MMK2007] J081726.52-073012.6,08 17 26.52,-07 30 12.6,44.92187,GtowardsCl,21255.0,0.0736,1
5,[MMK2007] J081725.90-073002.6,08 17 25.90,-07 30 02.6,48.13557,GtowardsCl,93352.0,0.38,1
6,TYC 5426-68-1,08 17 21.0697,-07 30 52.402,51.411934,Star,-9.57,-3.2e-05,1
8,LEDA 1017951,08 17 22.1,-07 29 58,59.81542,GtowardsCl,19806.0,0.0684,1
10,[MMK2007] J081720.88-073005.0,08 17 20.88,-07 30 05.0,67.6695,GtowardsCl,20615.0,0.0713,1
11,[MMK2007] J081719.96-073054.7,08 17 19.96,-07 30 54.7,68.073456,GtowardsCl,18405.0,0.0634,1
13,[MMK2007] J081722.67-073159.3,08 17 22.67,-07 31 59.3,78.18873,GtowardsCl,18040.0,0.0621,1
14,[MMK2007] J081725.54-072929.2,08 17 25.54,-07 29 29.2,78.34189,GtowardsCl,19499.0,0.0673,1
17,[AMA2011] a644 017,08 17 30.69,-07 31 05.0,93.99278,GtowardsCl,23192.0,0.0806,1
20,LEDA 1017753,08 17 32.4,-07 30 42,117.55099,GtowardsCl,19610.0,0.0677,1
21,[MMK2007] J081730.30-072922.5,08 17 30.30,-07 29 22.5,120.051056,GtowardsCl,22059.0,0.0765,1
22,LEDA 1017289,08 17 29.4,-07 32 24,122.12112,GtowardsCl,21088.0,0.073,1
24,[MMK2007] J081729.53-072901.7,08 17 29.53,-07 29 01.7,128.35205,GtowardsCl,20949.0,0.0725,1
25,[MMK2007] J081719.42-072846.5,08 17 19.42,-07 28 46.5,141.37845,GtowardsCl,19722.0,0.0681,1
26,[MMK2007] J081715.42-072938.0,08 17 15.42,-07 29 38.0,151.18901,GtowardsCl,19443.0,0.0671,1
27,[MMK2007] J081719.00-072835.8,08 17 18.9732,-07 28 35.362,154.34288,GtowardsCl,20921.0,0.0724,1
29,[MMK2007] J081729.17-072813.8,08 17 29.17,-07 28 13.8,167.29742,GtowardsCl,19862.0,0.0686,1
30,[MMK2007] J081726.14-072750.7,08 17 26.14,-07 27 50.7,176.98862,GtowardsCl,19219.0,0.0663,1
31,[AMA2011] a644 005,08 17 25.82,-07 33 42.7,177.78691,GtowardsCl,20448.0,0.0707,1
34,[MMK2007] J081727.61-073359.4,08 17 27.61,-07 33 59.4,198.8525,GtowardsCl,20476.0,0.0708,1
35,[MMK2007] J081711.72-072947.2,08 17 11.72,-07 29 47.2,198.94589,EmissionG,84927.0,0.3381,1
36,[AMA2011] a644 012,08 17 36.43,-07 32 16.6,199.20393,GtowardsCl,20559.0,0.0711,1
37,LEDA  139066,08 17 27.7,-07 34 10,209.47629,EmissionG,22761.0,0.07904,1
38,[MMK2007] J081726.52-072718.0,08 17 26.52,-07 27 18.0,210.15831,GtowardsCl,19499.0,0.0673,1
42,[MMK2007] J081721.07-072702.3,08 17 21.07,-07 27 02.3,229.44261,GtowardsCl,27079.0,0.0948,1
43,LEDA 1016602,08 17 27.1,-07 34 42,239.14592,GtowardsCl,23578.0,0.082,1
44,[MMK2007] J081716.08-072716.3,08 17 16.08,-07 27 16.3,244.24411,GtowardsCl,20782.0,0.0719,1
45,TYC 4860-1072-1,08 17 32.1610,-07 27 01.780,251.50793,Star,9.48,3.2e-05,1
48,[MMK2007] J081717.04-072646.1,08 17 17.04,-07 26 46.1,264.31317,GtowardsCl,19890.0,0.0687,1
49,2MASX J08173955-0733089,08 17 39.5824,-07 33 08.907,265.9437,AGN,20977.0,0.0726,1
50,[MMK2007] J081740.76-073238.3,08 17 40.76,-07 32 38.3,266.6034,GtowardsCl,81599.0,0.3221,1
56,[MMK2007] J081734.37-073509.8,08 17 34.37,-07 35 09.8,301.87894,GtowardsCl,65762.0,0.2498,1
57,[MMK2007] J081722.53-072542.8,08 17 22.53,-07 25 42.8,304.61234,GtowardsCl,19778.0,0.0683,1
58,[MMK2007] J081707.11-072800.6,08 17 07.11,-07 28 00.6,306.99146,GtowardsCl,68371.0,0.2613,1
59,TYC 4860-262-1,08 17 44.8372,-07 29 51.354,307.34302,SB*,20.37,6.8e-05,1
61,[MMK2007] J081706.15-072818.0,08 17 06.15,-07 28 18.0,310.4488,GtowardsCl,19471.0,0.0672,1
62,LEDA 1016223,08 17 27.1272,-07 36 02.597,318.99884,Galaxy,20683.0,0.07154,1
64,[MMK2007] J081714.18-072604.6,08 17 14.18,-07 26 04.6,320.53638,GtowardsCl,33275.0,0.1179,1
65,[MMK2007] J081718.15-072531.0,08 17 18.15,-07 25 31.0,328.85294,GtowardsCl,19443.0,0.0671,1
66,[MMK2007] J081709.37-072641.8,08 17 09.37,-07 26 41.8,332.06525,GtowardsCl,20253.0,0.07,1
67,[MMK2007] J081707.70-072703.5,08 17 07.667,-07 27 02.94,335.30002,QSO,215355.0,1.47,1
68,[MMK2007] J081721.62-072509.0,08 17 21.62,-07 25 09.0,339.71124,GtowardsCl,21948.0,0.0761,1
71,2MASX J08171141-0725505,08 17 11.3818,-07 25 50.515,354.08435,GtowardsCl,26884.0,0.09409,1
