,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACO    85,00 41 36.21,-09 19 30.4,0.043766346,ClG,16206.0,0.0556,1
1,2MASX J00413620-0919299,00 41 36.2149,-09 19 30.326,0.10377398,GtowardsCl,15900.0,0.05452,1
2,[SDG98] 2-184,00 41 36.36,-09 19 39.9,9.7560005,GtowardsCl,,,1
3,[RRB2014] RM J004136.5-091940.0,00 41 36.5449,-09 19 39.968,10.776199,ClG,104717.0,0.44,1
4,[SDG98] 2-177,00 41 36.28,-09 19 54.3,23.92245,GtowardsCl,,,1
5,[SDG98] 1-1765,00 41 36.76,-09 19 55.0,25.912046,GtowardsCl,,,1
6,[SDG98] 2-168,00 41 35.62,-09 20 00.3,31.149225,GtowardsCl,,,1
7,[SDG98] 2-135,00 41 34.40,-09 19 03.5,37.9657,GtowardsCl,,,1
8,[SDG98] 2-157,00 41 35.07,-09 20 08.3,41.486553,GtowardsCl,,,1
9,[SDG98] 2-141,00 41 34.68,-09 20 08.7,44.494358,GtowardsCl,,,1
10,[SDG98] 2-163,00 41 35.25,-09 18 43.0,49.484173,GtowardsCl,,,1
11,[SDG98] 2-152,00 41 34.90,-09 18 43.9,50.38103,GtowardsCl,,,1
12,[SDG98] 1-1784,00 41 38.01,-09 20 16.5,53.245125,GtowardsCl,,,1
13,[SDG98] 2-122,00 41 33.39,-09 20 03.8,53.458626,GtowardsCl,,,1
14,[SDG98] 2-158,00 41 35.09,-09 20 21.9,54.102386,GtowardsCl,,,1
15,APMUKS (BJ) B003904.46-093502.4,00 41 36.279,-09 18 35.02,55.392315,GtowardsCl,15056.0,0.05155,1
16,[SRM2001] ACO   85 L,00 41 34.93,-09 20 23.3,56.190353,Radio,,,1
17,[SDG98] 2-144,00 41 34.73,-09 20 22.3,56.33374,GtowardsCl,,,1
18,[SDG98] 2-255,00 41 39.783,-09 19 51.68,57.00175,GtowardsCl,21982.0,0.07622,1
19,[SDG98] 2-128,00 41 34.00,-09 20 17.7,57.509296,GtowardsCl,,,1
20,[SDG98] 2-118,00 41 32.89,-09 18 56.7,59.587578,GtowardsCl,,,1
21,[SDG98] 2-269,00 41 40.29,-09 19 47.6,62.792442,GtowardsCl,,,1
