,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACO   500,04 38 55.0,-22 05 55,0.0,ClG,19415.0,0.067,1
1,LEDA  819275,04 38 53.4,-22 05 50,22.79221,Galaxy,,,1
2,2MASS J04385559-2206244,04 38 55.5996,-22 06 24.418,30.576221,Star,-37.006001,-0.000123,1
3,WINGS J043856.72-220621.2,04 38 56.7505,-22 06 21.207,35.75883,GtowardsCl,20040.0,0.0692,1
4,WINGS J043852.68-220624.4,04 38 52.6966,-22 06 24.450,43.498028,GtowardsCl,20405.0,0.0705,1
5,WINGS J043855.63-220642.2,04 38 55.6461,-22 06 42.140,47.988415,EmissionG,18729.0,0.0646,1
6,[LVO2003] J043855.7-220641,04 38 55.6461,-22 06 42.140,47.988415,X,,,1
7,WINGS J043857.96-220520.6,04 38 57.9746,-22 05 20.842,53.628616,GtowardsCl,19575.0,0.0676,1
8,WINGS J043854.14-220500.6,04 38 54.1670,-22 05 00.718,55.502037,GtowardsCl,19594.0,0.0676,1
9,2MASX J04385250-2206391,04 38 52.5262,-22 06 39.072,55.895615,BrightestCG,20340.0,0.070313,1
10,WINGS J043854.15-220714.4,04 38 54.1638,-22 07 14.534,80.379196,GtowardsCl,19709.0,0.0681,1
11,WINGS J043857.01-220424.7,04 38 57.0365,-22 04 24.892,94.44868,GtowardsCl,19789.0,0.0683,1
12,WINGS J043857.75-220423.7,04 38 57.7719,-22 04 23.714,99.08312,EmissionG,20315.0,0.0702,1
13,LEDA  819136,04 38 47.3568,-22 06 24.215,110.16681,Galaxy,,,1
14,LEDA  819187,04 39 02.9,-22 06 10,110.81302,Galaxy,,,1
15,WINGS J043846.09-220622.1,04 38 46.0954,-22 06 22.115,126.68842,GtowardsCl,19452.0,0.0671,1
16,WINGS J043850.86-220748.3,04 38 50.8775,-22 07 48.376,127.02859,GtowardsCl,19311.0,0.0666,1
17,WINGS J043859.35-220353.0,04 38 59.3688,-22 03 53.028,136.2524,Galaxy,19417.0,0.06701,1
18,WINGS J043904.52-220522.0,04 39 04.536,-22 05 22.09,136.56107,GtowardsCl,19624.0,0.0677,1
19,WINGS J043851.97-220342.3,04 38 51.986,-22 03 42.34,139.11795,GtowardsCl,19195.0,0.0662,1
20,Gaia DR3 4898399038470376832,04 38 46.7554,-22 07 19.595,142.41962,Galaxy,,,1
21,TYC 5898-993-1,04 38 44.5791,-22 06 12.681,145.90202,Star,18.066999,6e-05,1
22,LEDA  819815,04 38 49.3019,-22 03 43.782,153.26808,Galaxy,31565.0,0.1115,1
23,LEDA  177632,04 38 56.4,-22 03 14,162.17184,Galaxy,,,1
24,2MASX J04384566-2207380,04 38 45.6906,-22 07 38.335,165.57297,EmissionG,20286.0,0.07012,1
25,WINGS J043853.24-220842.5,04 38 53.2660,-22 08 42.501,169.22536,EmissionG,18652.0,0.0643,1
26,WINGS J043903.86-220350.1,04 39 03.8580,-22 03 50.280,175.25583,Galaxy,20364.0,0.0704,1
27,WINGS J043901.85-220324.3,04 39 01.8636,-22 03 24.433,178.24844,GtowardsCl,19513.0,0.06735,1
28,WINGS J043856.04-220249.5,04 38 56.0582,-22 02 49.689,185.89339,GtowardsCl,18818.0,0.06487,1
29,CD-22  1736,04 38 58.4926,-22 09 15.204,206.00261,Star,18.32,6.1e-05,1
30,Gaia DR3 4898398832311947776,04 38 45.5458,-22 08 38.156,209.47267,Galaxy,,,1
31,WINGS J043858.10-220228.5,04 38 58.114,-22 02 28.16,211.32104,Seyfert,32383.0,0.11454,1
32,WINGS J043840.77-220709.9,04 38 40.7846,-22 07 10.074,211.3357,GtowardsCl,20416.0,0.0706,1
33,EXSS 0436.5-2209,04 38.7,-22 04,214.18634,X,,,1
34,WINGS J043903.55-220249.9,04 39 03.5734,-22 02 50.078,219.9972,GtowardsCl,18798.0,0.0648,1
35,1RXS J043859.1-220220,04 38 59.100,-22 02 20.51,221.93306,X,,,1
