,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACO  2697,00 03 11.5,-06 05 30,0.0,ClG,62122.0,0.234,1
1,2MASX J00031162-0605305,00 03 11.624,-06 05 30.59,1.9413241,GtowardsCl,61935.0,0.23319,1
2,DES J000311.92-060534.6,00 03 11.9260,-06 05 34.678,7.8897343,GtowardsCl,,,1
3,DES J000310.68-060544.6,00 03 10.6829,-06 05 44.553,18.981663,GtowardsCl,,,1
4,DES J000310.66-060507.0,00 03 10.6677,-06 05 06.947,26.182278,GtowardsCl,,,1
5,DES J000309.70-060517.4,00 03 09.7109,-06 05 17.401,29.508589,GtowardsCl,,,1
6,DES J000312.65-060559.3,00 03 12.6563,-06 05 59.370,34.059155,GtowardsCl,,,1
7,DES J000310.81-060455.9,00 03 10.8168,-06 04 55.948,35.54383,GtowardsCl,,,1
8,DES J000313.36-060553.8,00 03 13.3651,-06 05 53.820,36.623924,GtowardsCl,,,1
9,DES J000312.09-060607.6,00 03 12.0999,-06 06 07.669,38.71721,GtowardsCl,,,1
10,DES J000313.50-060556.7,00 03 13.5000,-06 05 56.772,40.082535,GtowardsCl,,,1
11,DES J000308.58-060515.2,00 03 08.5885,-06 05 15.224,45.87057,GtowardsCl,,,1
12,DES J000308.52-060547.1,00 03 08.5261,-06 05 47.112,47.542667,GtowardsCl,,,1
13,DES J000314.08-060558.8,00 03 14.0860,-06 05 58.855,48.169292,GtowardsCl,,,1
14,DES J000308.27-060536.2,00 03 08.2794,-06 05 36.138,48.425373,GtowardsCl,,,1
15,DES J000312.94-060617.3,00 03 12.9409,-06 06 17.358,52.006645,GtowardsCl,,,1
16,DES J000308.49-060500.7,00 03 08.4967,-06 05 00.722,53.514538,GtowardsCl,,,1
17,Gaia DR3 2442811066767629952,00 03 14.4715,-06 04 46.215,62.301647,Galaxy,,,1
18,DES J000311.07-060632.1,00 03 11.0786,-06 06 31.996,62.314064,GtowardsCl,,,1
19,DES J000312.96-060629.0,00 03 12.9606,-06 06 29.088,62.975994,GtowardsCl,,,1
20,DES J000308.77-060619.6,00 03 08.7708,-06 06 19.647,64.201416,GtowardsCl,,,1
21,DES J000307.71-060453.4,00 03 07.7155,-06 04 53.348,67.30212,GtowardsCl,,,1
22,DES J000315.38-060606.9,00 03 15.3857,-06 06 06.969,68.74227,GtowardsCl,,,1
23,DES J000316.11-060514.8,00 03 16.1154,-06 05 14.857,70.48626,GtowardsCl,,,1
24,DES J000308.51-060433.3,00 03 08.5136,-06 04 33.302,72.10338,GtowardsCl,,,1
25,DES J000313.64-060423.8,00 03 13.6477,-06 04 23.813,73.53208,GtowardsCl,,,1
26,DES J000307.70-060438.6,00 03 07.7113,-06 04 38.593,76.3942,GtowardsCl,,,1
27,DES J000309.82-060645.0,00 03 09.8295,-06 06 45.055,79.08203,GtowardsCl,,,1
28,DES J000306.12-060543.2,00 03 06.1206,-06 05 43.226,81.3182,GtowardsCl,,,1
29,DES J000310.86-060409.0,00 03 10.8624,-06 04 09.056,81.50124,GtowardsCl,,,1
30,DES J000313.10-060648.4,00 03 13.1003,-06 06 48.446,81.997,GtowardsCl,,,1
31,DES J000315.88-060623.2,00 03 15.8854,-06 06 23.222,84.326195,GtowardsCl,,,1
32,DES J000315.00-060637.6,00 03 15.0089,-06 06 37.583,85.478516,GtowardsCl,,,1
33,DES J000317.55-060528.0,00 03 17.5569,-06 05 28.044,90.36117,GtowardsCl,,,1
34,1RXS J000316.2-060632,00 03 16.200,-06 06 32.51,93.92348,X,,,1
35,DES J000310.32-060357.3,00 03 10.3267,-06 03 57.314,94.32357,GtowardsCl,,,1
36,FIRST J000313.1-060712,00 03 13.5591,-06 07 09.854,104.47115,RadioG,,,1
37,DES J000304.08-060520.2,00 03 04.0812,-06 05 20.261,111.081276,GtowardsCl,,,1
38,DES J000305.74-060416.9,00 03 05.7496,-06 04 16.991,112.63635,GtowardsCl,,,1
39,DES J000305.52-060419.7,00 03 05.5221,-06 04 19.761,113.5066,GtowardsCl,,,1
40,DES J000308.42-060341.4,00 03 08.4324,-06 03 41.374,117.867966,GtowardsCl,,,1
41,DES J000308.65-060339.3,00 03 08.6538,-06 03 39.378,118.4879,GtowardsCl,,,1
42,DES J000311.00-060733.5,00 03 11.0093,-06 07 33.492,123.708755,GtowardsCl,,,1
43,DES J000319.70-060549.1,00 03 19.7082,-06 05 49.173,123.92015,GtowardsCl,,,1
44,DES J000318.16-060655.3,00 03 18.1658,-06 06 55.342,131.02533,GtowardsCl,,,1
45,DES J000310.52-060317.9,00 03 10.5223,-06 03 17.876,132.92549,GtowardsCl,,,1
46,DES J000319.53-060428.1,00 03 19.5354,-06 04 28.142,134.87494,GtowardsCl,,,1
47,DES J000302.35-060547.4,00 03 02.3544,-06 05 47.406,137.5145,GtowardsCl,,,1
48,DES J000301.90-060504.1,00 03 01.9081,-06 05 04.146,145.38475,GtowardsCl,,,1
49,DES J000316.40-060735.9,00 03 16.4063,-06 07 35.982,145.6927,GtowardsCl,,,1
50,DES J000301.19-060527.9,00 03 01.1974,-06 05 27.957,153.67992,GtowardsCl,,,1
51,DES J000322.33-060517.1,00 03 22.3337,-06 05 17.102,162.10277,GtowardsCl,,,1
52,DES J000321.52-060639.2,00 03 21.5283,-06 06 39.215,164.8113,GtowardsCl,,,1
53,DES J000322.23-060619.4,00 03 22.2313,-06 06 19.443,167.52118,GtowardsCl,,,1
54,DES J000302.49-060346.0,00 03 02.4929,-06 03 46.094,169.83966,GtowardsCl,,,1
55,DES J000322.84-060444.6,00 03 22.8490,-06 04 44.653,175.24438,GtowardsCl,,,1
56,FIRST J000323.0-060458,00 03 23.0815,-06 04 58.417,175.60646,RadioG,,,1
57,DES J000323.09-060603.6,00 03 23.0982,-06 06 03.487,176.2011,GtowardsCl,,,1
58,DES J000259.62-060549.0,00 02 59.6204,-06 05 49.067,178.21037,GtowardsCl,,,1
59,GALEX J000309.2-060233,00 03 09.2288,-06 02 33.343,179.87535,WhiteDwarf,-75.0,-0.00025,1
60,DES J000321.49-060711.6,00 03 21.4942,-06 07 11.650,180.423,GtowardsCl,,,1
61,DES J000259.66-060450.5,00 02 59.6637,-06 04 50.535,180.90163,GtowardsCl,,,1
62,DES J000315.54-060821.2,00 03 15.5408,-06 08 21.270,181.56477,GtowardsCl,,,1
63,DES J000323.67-060509.3,00 03 23.6734,-06 05 09.232,182.75507,GtowardsCl,,,1
64,DES J000323.89-060545.2,00 03 23.8975,-06 05 45.279,185.54178,GtowardsCl,,,1
65,DES J000314.39-060837.5,00 03 14.3916,-06 08 37.587,192.48047,GtowardsCl,,,1
