,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACO S   84,00 49 23.2,-29 31 33,0.0,ClG,30753.0,0.10843,1
1,EDSGC 004656.0-294756,00 49 21.82,-29 31 35.6,18.19839,GtowardsCl,44739.0,0.162249,1
2,2dFGRS TGS289Z220,00 49 23.34,-29 31 13.5,19.585432,Galaxy,30210.0,0.1064,1
3,APMBGC 411-011-017,00 49 23.29,-29 31 13.3,19.734993,Galaxy,,,1
4,2MASX J00492466-2931369,00 49 24.7002,-29 31 36.480,19.888338,GtowardsCl,30726.0,0.108328,1
5,2MASS J00492286-2931124,00 49 22.8587,-29 31 12.849,20.637274,BrightestCG,31600.0,0.111599,1
6,RGO 13969,00 49 21.8211,-29 31 22.600,20.785707,Star,,,1
7,DUGRS 411-062,00 49 23.9,-29 31 13,21.988144,GtowardsCl,29812.0,0.104919,1
8,2MASXI J0049228-293106,00 49 22.8302,-29 31 07.166,26.280542,BrightestCG,30637.0,0.10799,1
9,2MASX J00492505-2931238,00 49 25.0940,-29 31 23.780,26.384945,GtowardsCl,30817.0,0.108669,1
10,LEDA  728113,00 49 21.1,-29 32 30,63.246716,Galaxy,,,1
11,RGO 13963,00 49 21.5336,-29 32 38.056,68.59474,Star,,,1
12,[ZHM99] EIS QSOB  66,00 49 26.46,-29 30 36.8,70.492424,QSO_Candidate,,,1
13,2dFGRS TGS288Z159,00 49 29.20,-29 31 44.7,79.17996,GtowardsCl,32010.0,0.113138,1
14,1RXS J004926.8-293024,00 49 26.801,-29 30 24.52,83.05992,X,,,1
15,Gaia DR3 5032141158970439552,00 49 17.7245,-29 30 50.262,83.27277,Galaxy,,,1
16,2dFGRS TGS369Z149,00 49 29.3247,-29 32 17.622,91.5467,Galaxy,30826.0,0.1087,1
17,EDSGC 004700.2-294624,00 49 26.0,-29 30 04,96.21283,GtowardsCl,30139.0,0.106137,1
18,EDSGC 004700.4-294624,00 49 26.2,-29 30 04,97.234604,GtowardsCl,31050.0,0.109539,1
19,[VV2006] J004928.7-293243,00 49 28.7151,-29 32 43.297,100.61007,QSO,183996.0,1.044,1
20,2dFGRS TGS369Z151,00 49 22.1284,-29 29 53.195,100.78016,Galaxy,31947.0,0.1129,1
21,2dFGRS TGS288Z169,00 49 19.72,-29 33 03.5,101.25612,GtowardsCl,30940.0,0.109129,1
22,2dFGRS TGS289Z227,00 49 17.3404,-29 30 25.846,101.7826,GtowardsCl,30616.0,0.107918,1
23,EDSGC 004705.3-294717,00 49 31.10,-29 30 56.7,109.31876,GtowardsCl,31026.0,0.109449,1
24,2dFGRS TGS289Z228,00 49 18.80,-29 33 07.8,110.834335,Galaxy,30075.0,0.1059,1
25,[ZHM99] EIS VLMB 13,00 49 21.62,-29 29 37.8,117.03182,Star,,,1
26,[ZHM99] EIS QSO 37,00 49 32.48,-29 31 18.1,122.03808,QSO_Candidate,,,1
27,2dFGRS TGS369Z146,00 49 32.67,-29 32 21.6,132.80623,Galaxy,30102.0,0.106,1
28,2MASX J00491585-2929560,00 49 15.8369,-29 29 56.243,136.38109,Galaxy,31066.0,0.1096,1
