,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACO S  971,21 46 15.6,-46 30 59,0.04,ClG,9440.0,0.032,1
1,NGC  7119,21 46 15.61,-46 30 57.5,1.5035474,PairG,,,1
2,ESO 288-2,21 46 15.6,-46 30 56,2.8507845,BrightestCG,9875.0,0.0335,1
3,IRAS 21430-4644,21 46 15.1,-46 31 01,5.886604,FarIR,,,1
4,ESO 288-1,21 46 15.1512,-46 31 06.393,8.724241,Seyfert2,9588.0,0.03251,1
5,SN 2014at,21 46 14.82,-46 31 21.1,23.520765,Supernova,8859.0,0.03,1
6,LEDA  514185,21 46 17.9,-46 30 26,40.653828,Galaxy,,,1
7,LEDA  514120,21 46 07.9252,-46 30 44.305,80.57509,Galaxy,8908.0,0.03017,1
8,[RBB2014] J214623.73-463056.8,21 46 23.738,-46 30 56.88,84.02849,Galaxy,154567.0,0.7688,1
9,[RBB2014] J214624.43-463115.4,21 46 24.434,-46 31 15.49,92.66051,Galaxy,81872.0,0.3234,1
10,IRAS F21431-4644,21 46 24.9,-46 30 50,96.73064,Infrared,,,1
11,GALEX J214605.7-463010,21 46 05.7226,-46 30 10.533,112.90073,HotSubdwarf_Candidate,,,1
