,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACO S 1101,23 13 58.5,-42 43 39,0.0,ClG,16319.0,0.056,1
1,ESO 291-9,23 13 58.6501,-42 43 39.089,1.6573781,BrightestCG,16460.0,0.0565,1
2,[RZS2017] J231400.1-424302,23 14 00.1,-42 43 02,40.986256,Galaxy,18349.0,0.0632,1
3,[RZS2017] J231354.9-424357,23 13 54.9808,-42 43 57.432,42.933475,Galaxy,16517.0,0.0567,1
4,LEDA  558775,23 14 01.3148,-42 44 25.893,56.220913,Galaxy,18012.0,0.062,1
5,[RZS2017] J231403.5-424311,23 14 03.4776,-42 43 10.934,61.615044,Galaxy,16828.0,0.0578,1
6,[RZS2017] J231352.3-424239,23 13 52.3,-42 42 39,90.93094,Galaxy,16941.0,0.0582,1
7,[RZS2017] J231349.6-424444,23 13 49.6468,-42 44 43.742,117.06899,Galaxy,16262.0,0.0558,1
8,LEDA  559524,23 13 57.1970,-42 41 38.488,121.3639,Galaxy,15922.0,0.0546,1
9,[RZS2017] J231400.9-424601,23 14 00.9,-42 46 01,144.43997,Galaxy,135511.0,0.6278,1
10,[RZS2017] J231354.7-424118,23 13 54.7394,-42 41 17.913,147.04932,Galaxy,17674.0,0.0608,1
11,LEDA  558400,23 13 50.8661,-42 45 46.494,152.72969,Galaxy,16658.0,0.0572,1
12,LEDA  558490,23 13 46.0348,-42 45 21.942,171.6218,Galaxy,15071.0,0.0516,1
13,[RZS2017] J231407.7-424117,23 14 07.7,-42 41 17,174.4909,Galaxy,28514.0,0.1001,1
14,[RZS2017] J231416.5-424316,23 14 16.5159,-42 43 16.633,199.7805,Galaxy,16036.0,0.055,1
15,2MASX J23134882-4246342,23 13 48.7780,-42 46 34.408,205.51106,Galaxy,15326.0,0.0525,1
16,[RZS2017] J231341.2-424203,23 13 41.2,-42 42 03,213.47092,Galaxy,32771.0,0.116,1
17,[RZS2017] J231348.1-424034,23 13 48.1,-42 40 34,217.64212,Galaxy,57988.0,0.2164,1
18,2E 2311.5-4259,23 14 18.9,-42 43 11,226.5354,X,,,1
19,2XMM J231416.7-424153,23 14 16.7747,-42 41 53.997,227.14131,AGN,205369.0,1.313,1
20,6dFGS gJ231349.0-424709,23 13 48.9622,-42 47 09.061,234.86218,Galaxy,15752.0,0.054,1
21,UCAC4 237-175851,23 14 16.2808,-42 45 55.398,238.67848,HighPM*,28.9,9.6e-05,1
22,[RZS2017] J231346.5-424016,23 13 46.5800,-42 40 15.729,242.04524,Galaxy,87281.0,0.3496,1
23,LEDA  559728,23 14 15.3,-42 41 00,244.0768,Galaxy,,,1
24,[RZS2017] J231352.3-424734,23 13 52.3,-42 47 34,244.71875,Galaxy,40218.0,0.1445,1
25,LEDA  558200,23 14 14.3140,-42 46 32.650,245.95682,Galaxy,32665.0,0.1156,1
26,[RZS2017] J231347.4-424002,23 13 47.4,-42 40 02,249.12454,Galaxy,47310.0,0.1725,1
27,[RZS2017] J231353.6-423934,23 13 53.6,-42 39 34,250.88516,Star,,,1
28,[RZS2017] J231354.6-424753,23 13 54.6,-42 47 53,257.60553,Galaxy,16800.0,0.0577,1
