,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,[MGJ2010] J010252.5-491458.0,01 02 52.50,-49 14 58.0,0.0,BrightestCG,155952.0,0.78,1
1,ACT-CL J0102-4915,01 02 52.50,-49 14 58.0,0.0,ClG,166460.0,0.87,1
2,SMH J010252.4-491457.4,01 02 52.45,-49 14 57.4,0.7743932,Galaxy,166716.0,0.87232,1
3,[ZMH2013] ACT-CL J0102-4915 c6.1,01 02 52.380,-49 15 00.91,3.138257,LensedImage_Candidate,266127.0,3.1,1
4,SMH J010252.2-491450.6,01 02 52.20,-49 14 50.6,7.96172,Galaxy,165184.0,0.85857,1
5,SMH J010253.4-491458.9,01 02 53.44,-49 14 58.9,9.24789,Galaxy,167404.0,0.87856,1
6,RELICS wfc3ir ACT-CL J0102-49151  769,01 02 51.6338,-49 15 04.810,10.877372,Galaxy,286176.0,5.56,1
7,[CSA2018] ACT-CL J0102-49151 13.2,01 02 53.246,-49 15 06.98,11.57553,LensedImage,281264.0,4.6,1
8,RELICS wfc3ir ACT-CL J0102-49151  832,01 02 51.5211,-49 15 05.910,12.427742,Galaxy,286416.0,5.62,1
9,SMH J010253.0-491510.0,01 02 53.03,-49 15 10.0,13.073985,Galaxy,166785.0,0.87294,1
10,SMH J010251.0-491457.4,01 02 51.02,-49 14 57.4,14.50387,Galaxy,165028.0,0.85718,1
11,[LBH2014] U6,01 02 53.420,-49 15 10.50,15.407521,Radio,,,1
12,SMH J010251.1-491448.8,01 02 51.19,-49 14 48.8,15.785348,Galaxy,166569.0,0.87099,1
13,SMH J010252.3-491514.0,01 02 52.31,-49 15 14.0,16.107784,Galaxy,166778.0,0.87288,1
14,[ZMH2013] ACT-CL J0102-4915 c6.2,01 02 54.167,-49 14 54.54,16.68529,LensedImage_Candidate,174944.0,0.95,1
15,RELICS wfc3ir ACT-CL J0102-49151  460,01 02 53.6508,-49 14 45.171,17.075384,Galaxy,286297.0,5.59,1
16,[ZMH2013] ACT-CL J0102-4915 1.1a,01 02 53.293,-49 15 16.13,19.722595,LensedImage,231966.0,1.8,1
17,[CSA2018] ACT-CL J0102-49151 10.1,01 02 53.340,-49 15 16.00,19.789936,LensedImage,195560.0,1.18,1
18,[CSA2018] ACT-CL J0102-49151 13.1,01 02 54.528,-49 14 58.65,19.867775,LensedImage,254059.0,2.48,1
19,SMH J010252.8-491438.4,01 02 52.88,-49 14 38.4,19.950079,Galaxy,164749.0,0.85471,1
20,[CSA2018] ACT-CL J0102-49151 1.1,01 02 53.489,-49 15 15.65,20.131796,LensedImage,246449.0,2.2,1
21,[CSA2018] ACT-CL J0102-49151 13.3,01 02 51.806,-49 15 17.03,20.206736,LensedImage,253815.0,2.47,1
