,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACT-CL J1431.8+1331,14 31 50.09,+13 32 04.9,0.0,ClG,44154.0,0.15993,1
1,2MASX J14315005+1332051,14 31 50.0913,+13 32 04.908,0.020882312,BrightestCG,44154.0,0.15993,1
2,SDSS J143149.62+133159.1,14 31 49.6224,+13 31 59.008,9.010694,Galaxy,44155.0,0.159936,1
3,[ZEH2003] RX J1431.8+1332  4,14 31 50.8,+13 32 23,20.852287,Galaxy,,,1
4,SDSS J143151.85+133222.5,14 31 51.8504,+13 32 22.430,31.087769,GtowardsCl,44727.0,0.1622,1
5,DES J143152.09+133217.9,14 31 52.0953,+13 32 17.930,32.015434,GtowardsCl,,,1
6,2MASS J14315002+1332569,14 31 49.9771,+13 32 56.424,51.550766,Star,,,1
7,2MASS J14315404+1332310,14 31 54.0404,+13 32 31.114,63.294254,Star,,,1
8,2MASS J14314732+1332575,14 31 47.3316,+13 32 57.415,66.15119,Star,,,1
9,DES J143153.84+133119.6,14 31 53.8417,+13 31 19.523,71.08218,GtowardsCl,,,1
10,DES J143145.23+133146.1,14 31 45.2314,+13 31 45.993,73.33452,GtowardsCl,,,1
11,2MASS J14315408+1332512,14 31 54.0938,+13 32 51.058,74.42989,GtowardsCl,,,1
12,DES J143154.78+133247.7,14 31 54.7826,+13 32 47.592,80.657646,GtowardsCl,,,1
13,DES J143145.98+133309.0,14 31 45.9895,+13 33 08.925,87.606186,GtowardsCl,,,1
14,2MASS J14315375+1333152,14 31 53.7774,+13 33 15.111,88.43794,Seyfert1,44070.0,0.1596,1
15,DES J143143.81+133120.4,14 31 43.8189,+13 31 20.369,101.72127,GtowardsCl,,,1
16,DES J143156.99+133305.2,14 31 56.9942,+13 33 05.202,117.35983,GtowardsCl,,,1
17,DES J143154.39+133352.1,14 31 54.3983,+13 33 51.954,124.12807,GtowardsCl,,,1
18,SDSS J143141.36+133234.4,14 31 41.3629,+13 32 34.348,130.63126,GtowardsCl,44161.0,0.15996,1
19,DES J143143.35+133333.7,14 31 43.3557,+13 33 33.651,132.36597,GtowardsCl,,,1
20,DES J143150.39+132950.3,14 31 50.3983,+13 29 50.277,134.69763,GtowardsCl,,,1
21,LEDA 1434140,14 31 57.9311,+13 33 24.755,139.46971,GtowardsCl,43964.0,0.15918,1
22,DES J143159.77+133154.7,14 31 59.7784,+13 31 54.665,141.6617,GtowardsCl,,,1
23,DES J143157.27+133348.3,14 31 57.2729,+13 33 48.231,147.13596,GtowardsCl,,,1
24,DES J143158.72+133348.2,14 31 58.7259,+13 33 48.085,162.8092,GtowardsCl,,,1
25,DES J143159.63+133339.5,14 31 59.6337,+13 33 39.440,168.24713,GtowardsCl,,,1
26,DES J143157.46+132947.9,14 31 57.4700,+13 29 47.995,174.14963,GtowardsCl,,,1
27,DES J143200.54+133347.6,14 32 00.5463,+13 33 47.648,183.86668,GtowardsCl,,,1
28,SDSS J143159.16+133424.3,14 31 59.1622,+13 34 24.235,192.13588,GtowardsCl,45369.0,0.16475,1
29,SDSS J143154.79+133507.2,14 31 54.7912,+13 35 07.124,194.69281,GtowardsCl,42845.0,0.15477,1
30,DES J143152.89+133518.2,14 31 52.8935,+13 35 18.067,197.4466,GtowardsCl,,,1
31,SDSS J143154.87+132856.0,14 31 54.872,+13 28 56.05,201.31877,Galaxy,24181.0,0.08419,1
32,DES J143143.19+132901.3,14 31 43.1991,+13 29 01.386,209.23286,GtowardsCl,,,1
33,DES J143203.95+133312.8,14 32 03.9537,+13 33 12.700,213.23883,GtowardsCl,,,1
34,SDSSCGB 34668.4,14 31 38.834,+13 35 27.01,260.36063,Galaxy,,,1
35,SDSS J143132.38+133116.0,14 31 32.3855,+13 31 16.086,262.7722,Galaxy,44252.0,0.16032,1
36,SDSSCGB 34668.2,14 31 38.583,+13 35 27.84,263.32236,Galaxy,,,1
37,SDSSCGB 34668,14 31 38.5,+13 35 28,264.21817,Compact_Gr_G,,,1
38,SDSSCGB 34668.3,14 31 38.794,+13 35 31.78,264.44318,Galaxy,,,1
39,SDSSCGB 34668.1,14 31 37.649,+13 35 24.80,269.94452,Galaxy,,,1
40,DES J143137.40+132838.4,14 31 37.4074,+13 28 38.466,277.18542,GtowardsCl,,,1
41,SDSS J143141.83+132726.5,14 31 41.8394,+13 27 26.527,303.27075,QSO,247614.0,2.239,1
42,DES J143204.34+132813.5,14 32 04.3474,+13 28 13.445,311.1503,GtowardsCl,,,1
43,DES J143133.53+132829.4,14 31 33.5404,+13 28 29.428,323.56107,GtowardsCl,,,1
44,XCLASS 3071,14 31 57.6,+13 37 25,338.27338,ClG_Candidate,,,1
45,2MASS J14312941+1329089,14 31 29.440,+13 29 08.25,349.16852,AGN,20133.0,0.06957,1
46,[DCA2018] 202835,14 31 29.74,+13 28 59.1,350.20917,GroupG,19988.0,0.06905,1
