,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ACT-CL J2014.8-2430,20 14 49.7,-24 30 30,0.0,ClG,44424.0,0.161,1
1,[GSB2009] J201451.45-243028.1,20 14 51.45,-24 30 28.1,23.960402,Galaxy,80613.0,0.31742,1
2,2MASX J20145171-2430229,20 14 51.716,-24 30 22.99,28.39453,BrightestCG,43567.0,0.15761,1
3,[GSB2009] J201452.22-243018.4,20 14 52.22,-24 30 18.4,36.29814,Star,234.0,0.00078,1
4,[GSB2009] J201446.27-243028.1,20 14 46.27,-24 30 28.1,46.853043,Galaxy,71972.0,0.27743,1
5,[GSB2009] J201453.31-243011.9,20 14 53.31,-24 30 11.9,52.491447,Galaxy,45396.0,0.1649,1
6,[GSB2009] J201448.93-242922.2,20 14 48.93,-24 29 22.2,68.60979,Galaxy,-1022.0,-0.0034,1
7,[GSB2009] J201454.77-243030.6,20 14 54.77,-24 30 30.6,69.20052,Galaxy,45929.0,0.167,1
8,2MASS J20145435-2429599,20 14 54.3523,-24 29 59.946,70.25249,AGN_Candidate,6096.0,0.0205,1
9,[GSB2009] J201455.27-242953.9,20 14 55.27,-24 29 53.9,84.16086,Galaxy,110299.0,0.47111,1
10,[GSB2009] J201453.93-242922.2,20 14 53.93,-24 29 22.2,89.05315,Galaxy,98380.0,0.40602,1
11,[GSB2009] J201456.26-242922.6,20 14 56.26,-24 29 22.6,112.07291,Star,108.0,0.00036,1
12,UCAC2  21892581,20 14 58.9196,-24 30 30.944,125.83854,Star,-35.53,-0.000119,1
13,NVSS J201502-242529,20 15 02.03,-24 25 29.8,344.1788,Radio,,,1
14,NVSS J201515-243008,20 15 15.0,-24 30 13,345.75214,Radio,,,1
15,HD 192331,20 15 10.8041,-24 26 49.496,362.80826,Star,-8.8,-2.9e-05,1
16,Gaia DR3 6852232708560745216,20 14 21.1649,-24 27 08.854,438.41388,WhiteDwarf_Candidate,,,1
17,GALEX J201521.7-242703,20 15 21.6130,-24 27 04.409,481.73782,WhiteDwarf_Candidate,,,1
18,TYC 6906-1042-1,20 14 34.1898,-24 21 58.505,553.6152,Star,42.48,0.000142,1
19,Gaia DR3 6852246692974272640,20 14 36.4724,-24 21 03.143,594.94586,WhiteDwarf_Candidate,,,1
20,UCAC4 328-199396,20 15 33.2977,-24 33 56.121,629.605,Star,-22.79,-7.6e-05,1
21,XMMXCS J201536.1-242616.6,20 15 36.100,-24 26 16.60,682.27246,ClG,126747.0,0.57,1
22,TYC 6910-482-1,20 14 14.0078,-24 22 31.733,682.86084,Star,3.15,1.1e-05,1
23,UCAC4 329-194752,20 15 31.5503,-24 23 32.410,707.77527,Star,-65.63,-0.000219,1
24,UCAC2  21892632,20 15 24.3040,-24 39 44.717,728.3532,Star,-5.46,-1.8e-05,1
25,UCAC2  21892480,20 14 19.9902,-24 41 00.020,749.0805,Star,,,1
26,GALEX J201547.1-243153,20 15 47.1285,-24 31 54.097,788.2402,HotSubdwarf_Candidate,,,1
27,Gaia DR3 6847720935611032320,20 14 39.4533,-24 43 30.410,792.8208,WhiteDwarf_Candidate,,,1
28,NVSS J201537-242243,20 15 37.5,-24 22 50,798.0398,Radio,,,1
29,TYC 6910-858-1,20 14 33.4551,-24 44 09.053,848.4796,Star,-8.3,-2.8e-05,1
30,UCAC2  21892519,20 14 31.1154,-24 44 00.723,849.4096,Star,41.41,0.000138,1
31,IRAS 20113-2452,20 14 22.0545,-24 43 15.551,853.34467,LongPeriodV*_Candidate,-50.52,-0.000169,1
32,TYC 6910-1137-1,20 14 38.3387,-24 44 41.261,865.2429,Star,33.73,0.000113,1
33,UCAC4 327-191906,20 15 04.2573,-24 44 35.243,868.23865,Star,32.2,0.000107,1
34,Gaia DR3 6850724285983486208,20 14 03.3682,-24 41 06.910,897.20087,Star,,,1
35,TYC 6909-250-1,20 13 50.3662,-24 23 52.693,902.3481,Star,8.82,2.9e-05,1
36,UCAC4 329-194637,20 14 24.9938,-24 16 27.095,907.9673,Star,-16.86,-5.6e-05,1
37,Gaia DR3 6852248655775974016,20 14 33.9606,-24 15 13.241,941.64026,WhiteDwarf_Candidate,,,1
38,LEDA 3082908,20 15 39.2,-24 19 30,944.82886,Galaxy,,,1
39,UCAC4 327-191866,20 14 38.0698,-24 46 07.581,950.896,Star,-43.8,-0.000146,1
40,CD-24 15914,20 15 10.8608,-24 15 06.991,967.22644,SB*,-19.05,-6.4e-05,1
41,IRAS F20107-2431,20 13 46.5,-24 22 06,999.02216,Infrared,,,1
42,ATO J303.4136-24.5860,20 13 39.2775,-24 35 09.806,1000.7752,EclBin,,,1
