,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ATELAIS J003427.38-431859.0,00 34 27.42,-43 18 59.4,0.0,ClG,95883.0,0.393,1
1,DES J003427.40-431859.6,00 34 27.405,-43 18 59.63,0.27742824,GtowardsCl,96288.0,0.3951,1
2,DES J003427.40-431855.9,00 34 27.408,-43 18 55.94,3.4657753,GtowardsCl,,,1
3,ESIS J003426.74-431854.61,00 34 26.745,-43 18 54.78,8.6957855,GtowardsCl,96654.0,0.397,1
4,DES J003426.36-431859.4,00 34 26.363,-43 18 59.41,11.535271,GtowardsCl,,,1
5,DES J003426.43-431908.1,00 34 26.435,-43 19 08.17,13.87501,GtowardsCl,,,1
6,DES J003428.57-431907.7,00 34 28.575,-43 19 07.74,15.116239,GtowardsCl,,,1
7,DES J003428.87-431858.1,00 34 28.875,-43 18 58.15,15.929459,GtowardsCl,96579.0,0.39661,1
8,DES J003426.12-431906.7,00 34 26.123,-43 19 06.77,15.961722,GtowardsCl,,,1
9,[PFD2006] 008.6080313-43.314348,00 34 25.9,-43 18 52,18.164658,GtowardsGroup,,,1
10,DES J003427.89-431918.0,00 34 27.895,-43 19 18.09,19.400059,GtowardsCl,,,1
11,ESIS J003426.10-431923.07,00 34 26.099,-43 19 22.98,27.635742,GtowardsCl,94525.0,0.386,1
12,ESIS J003425.15-431912.25,00 34 25.158,-43 19 12.15,27.780003,GtowardsCl,95883.0,0.393,1
13,DES J003424.50-431848.0,00 34 24.510,-43 18 48.03,33.73424,GtowardsCl,,,1
14,DES J003423.96-431908.9,00 34 23.964,-43 19 08.97,38.907368,GtowardsCl,,,1
15,ESIS J003424.02-431914.95,00 34 24.015,-43 19 14.87,40.25345,GtowardsCl,97421.0,0.401,1
16,ACT-CL J0034.5-4318,00 34 31.3918,-43 18 57.794,43.37646,ClG,96519.0,0.3963,1
17,DES J003422.76-431853.9,00 34 22.766,-43 18 53.98,51.076847,GtowardsCl,,,1
18,DES J003432.12-431858.9,00 34 32.122,-43 18 58.99,51.321033,GtowardsCl,,,1
19,ESIS J003426.69-435001.90,00 34 26.681,-43 18 07.07,52.94399,GtowardsCl,89382.0,0.36,1
20,DES J003430.45-431810.7,00 34 30.460,-43 18 10.79,58.85474,GtowardsCl,,,1
21,[ALF2001]  7,00 34 22.3,-43 18 38,59.838043,ClG,97230.0,0.4,1
22,DES J003430.73-431805.3,00 34 30.738,-43 18 05.35,65.063324,GtowardsCl,,,1
23,ESIS J003424.48-431801.69,00 34 24.51,-43 18 01.5,66.04006,EmissionG,94135.0,0.384,1
24,ESIS J003430.65-431956.81,00 34 30.64,-43 19 56.7,67.21546,Galaxy,96462.0,0.396,1
25,SWIRE J003432.46-431939.2,00 34 32.5,-43 19 39,68.127335,AGN,186695.0,1.074,1
26,DES J003433.99-431920.6,00 34 33.998,-43 19 20.65,74.87094,GtowardsCl,,,1
27,DES J003433.07-431814.9,00 34 33.079,-43 18 14.97,76.08879,GtowardsCl,,,1
28,DES J003425.11-431746.2,00 34 25.111,-43 17 46.26,77.36631,GtowardsCl,,,1
29,DES J003419.87-431830.1,00 34 19.872,-43 18 30.15,87.416435,GtowardsCl,,,1
30,DES J003427.59-431727.0,00 34 27.591,-43 17 27.04,92.37683,GtowardsCl,,,1
31,DES J003436.06-431842.0,00 34 36.065,-43 18 42.08,95.925705,GtowardsCl,,,1
32,TYC 7531-248-1,00 34 22.2203,-43 20 22.836,100.89971,Star,7.94,2.6e-05,1
33,ESIS J003425.47-435020.17,00 34 25.47,-43 17 19.0,102.63174,EmissionG,129847.0,0.59,1
34,SWIRE J003424.32-432037.2,00 34 24.3,-43 20 37,103.36673,AGN,183722.0,1.041,1
35,ESIS J003417.67-431909.94,00 34 17.66,-43 19 09.9,107.03074,EmissionG,96462.0,0.396,1
36,DES J003426.64-432047.0,00 34 26.640,-43 20 47.06,107.99745,GtowardsCl,96960.0,0.39859,1
37,ATELAIS J003417.74-431929.8,00 34 17.78,-43 19 28.4,109.12435,AGN,96846.0,0.398,1
38,DES J003432.93-431725.4,00 34 32.937,-43 17 25.40,111.63452,GtowardsCl,,,1
39,DES J003437.76-431918.5,00 34 37.760,-43 19 18.52,114.45461,GtowardsCl,,,1
40,ESIS J003419.27-431746.50,00 34 19.27,-43 17 46.5,115.015,Star,,,1
41,ESIS J003428.36-431704.38,00 34 28.364,-43 17 04.29,115.57364,GtowardsCl,96076.0,0.394,1
42,ATELAIS J003429.23-432055.9,00 34 29.21,-43 20 55.9,118.12569,Radio,,,1
43,DES J003436.57-431755.6,00 34 36.574,-43 17 55.63,118.532295,GtowardsCl,,,1
44,ESIS J003425.86-432058.03,00 34 25.849,-43 20 57.91,119.74557,GtowardsCl,97038.0,0.399,1
45,2XMM J003429.2-432055,00 34 29.30,-43 20 57.5,119.86807,AGN,112033.0,0.481,1
46,ESIS J003417.63-431653.23,00 34 17.62,-43 20 07.2,126.61895,EmissionG,148846.0,0.724,1
47,ESIS J003417.38-432003.00,00 34 17.37,-43 20 03.0,126.773796,Star,,,1
48,XMMES1 204,00 34 15.65,-43 18 55.6,128.51071,GroupG,205162.0,1.31,1
49,DES J003439.12-431838.3,00 34 39.122,-43 18 38.32,129.44737,GtowardsCl,,,1
50,ESIS J003415.85-431929.00,00 34 15.84,-43 19 29.1,129.8144,Star,,,1
51,SWIRE J003431.20-431654.9,00 34 31.20,-43 16 54.9,131.16048,AGN,97038.0,0.399,1
52,ESIS J003429.64-434702.35,00 34 29.63,-43 21 17.4,140.09056,Star,,,1
53,ESIS J003424.77-435054.16,00 34 24.76,-43 21 18.0,141.60573,Galaxy,96462.0,0.396,1
54,DES J003421.51-432105.8,00 34 21.511,-43 21 05.85,141.93234,GtowardsCl,,,1
55,DES J003439.73-431809.8,00 34 39.733,-43 18 09.90,143.21915,GtowardsCl,,,1
56,ESIS J003439.75-431754.23,00 34 39.75,-43 17 54.1,149.59026,Star,,,1
57,ESIS J003439.11-431740.70,00 34 39.11,-43 17 40.7,149.92091,EmissionG,123413.0,0.549,1
58,ESIS J003416.30-431731.17,00 34 16.28,-43 17 31.2,150.22105,EmissionG,40604.0,0.146,1
59,SWIRE J003413.32-431847.0,00 34 13.3,-43 18 47,154.60287,AGN,201331.0,1.256,1
60,DES J003413.18-431836.9,00 34 13.188,-43 18 36.96,156.94775,GtowardsCl,,,1
61,Gaia DR3 4992433018088183168,00 34 17.6862,-43 17 01.420,158.77676,Galaxy,,,1
62,ESIS J003413.44-431948.38,00 34 13.43,-43 19 48.4,160.33548,EmissionG,89382.0,0.36,1
63,ATELAIS J003441.78-431814.1,00 34 41.784,-43 18 14.13,163.18459,Radio,,,1
64,DES J003417.70-432105.1,00 34 17.706,-43 21 05.12,164.4369,GtowardsCl,,,1
65,ESIS J003427.08-432144.68,00 34 27.09,-43 21 44.7,165.3392,EmissionG,91775.0,0.372,1
66,ESIS J003417.62-432007.23,00 34 17.61,-43 16 53.1,165.59206,Star,,,1
67,ESIS J003440.91-431736.45,00 34 40.89,-43 17 36.6,168.74522,Galaxy,59077.0,0.221,1
68,DES J003440.40-431719.6,00 34 40.408,-43 17 19.69,173.32372,GtowardsCl,,,1
69,ATELAIS J003411.41-431927.0,00 34 11.7,-43 19 28,173.91869,AGN,106353.0,0.449,1
70,ESIS J003441.90-432017.74,00 34 41.90,-43 20 17.6,176.29402,EmissionG,172686.0,0.928,1
71,ESIS J003429.75-432156.59,00 34 29.75,-43 21 56.5,178.91481,Galaxy,58604.0,0.219,1
72,2MASS J00341277-4320207,00 34 12.7865,-43 20 20.680,179.17128,Star,,,1
73,ESIS J003420.88-431615.20,00 34 20.87,-43 16 15.0,179.27966,EmissionG,72319.0,0.279,1
74,ESIS J003413.20-431727.55,00 34 13.204,-43 17 27.48,180.36218,GtowardsCl,96462.0,0.396,1
75,DES J003417.49-431632.9,00 34 17.496,-43 16 32.97,182.1597,GtowardsCl,,,1
76,ELAISP90 J003443-431827,00 34 44.00,-43 18 27.0,183.83897,Infrared,,,1
77,ESIS J003414.01-432053.83,00 34 13.97,-43 20 53.7,186.01085,EmissionG,72980.0,0.282,1
78,ESIS 105193,00 34 16.57,-43 16 33.2,188.16327,GroupG,234067.0,1.85,1
79,DES J003437.98-431629.3,00 34 37.985,-43 16 29.40,189.22008,GtowardsCl,,,1
