,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,AWM 5,16 58 00.8,+27 51 16,0.0,ClG,10309.0,0.035,1
1,NGC  6269,16 57 58.1011,+27 51 15.883,35.792717,GtowardsGroup,10278.0,0.034891,1
2,2MASS J16580259+2750436,16 58 02.5812,+27 50 43.531,40.153114,Star,,,1
3,2MASS J16575924+2750348,16 57 59.2454,+27 50 34.670,46.186256,NearIR,,,1
4,[CG99] SAWM5-10,16 57 58.0,+27 51 50,50.346767,Galaxy,,,1
5,[DT2000] NGC 6269  8,16 57 56.9,+27 51 17,51.731636,Galaxy,,,1
6,[CG99] SAWM5-21,16 58 06.0,+27 51 25,69.54672,Galaxy,,,1
7,[CG99] SAWM5-16,16 58 03.0,+27 50 10,72.162415,GroupG,,,1
8,[BFJ2009] D2,16 57 55.9,+27 51 52,74.2869,GtowardsGroup,,,1
9,[CG99] SAWM5-18,16 58 01.5,+27 52 32,76.56478,Galaxy,,,1
10,[CG99] SAWM5-11,16 57 55.0,+27 51 05,77.703575,Galaxy,,,1
11,[BFJ2009] D3,16 57 55.4,+27 52 01,84.57621,GtowardsGroup,,,1
12,CAN  70,16 57.9,+27 51,91.592186,ClG,,,1
13,2MASX J16575462+2752167,16 57 54.6256,+27 52 16.732,101.94322,GtowardsCl,10480.0,0.035591,1
14,[CG99] SAWM5-14,16 58 03.5,+27 49 30,111.88624,Galaxy,,,1
15,[CG99] SAWM5-19,16 58 00.2,+27 53 25,129.2451,Galaxy,,,1
16,[CG99] SAWM5-17,16 58 10.0,+27 50 25,132.24832,GroupG,,,1
17,NSC J165749+275114,16 57 49.66,+27 51 13.8,147.75615,ClG,14387.0,0.0492,1
18,[CG99] SAWM5-22,16 58 05.0,+27 48 55,151.60701,Galaxy,,,1
19,[CG99] SAWM5-8,16 57 53.0,+27 53 07,151.71893,GroupG,,,1
20,[CG99] SAWM5-7,16 57 49.5,+27 51 40,151.76634,Galaxy,,,1
21,[CG99] SAWM5-5,16 57 49.0,+27 51 22,156.6061,Galaxy,,,1
