,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,BAX 225.2969+01.7020,15 01 11.86,+01 41 53.2,0.0,ClG,1495.0,0.005,1
1,NGC  5813,15 01 11.2302,+01 42 07.141,16.838133,LINER,2059.0,0.006891,1
2,2XMM J150116.5+014134,15 01 16.5482,+01 41 34.114,72.83764,X,,,1
3,2MASS J15011708+0143066,15 01 17.0852,+01 43 06.812,107.500854,Star,,,1
4,2MASS J15011172+0139571,15 01 11.7170,+01 39 57.384,115.83526,Star,,,1
5,2MASS J15011210+0139567,15 01 12.1008,+01 39 56.900,116.355316,Low-Mass*,-9.413,-3.1e-05,1
6,WiggleZ S15J150103892+01405486,15 01 03.8915,+01 40 54.858,132.95897,Galaxy,91436.0,0.37029,1
7,GPM 225.339252+01.698114,15 01 21.4150,+01 41 53.142,143.2621,Star,-6.11,-2e-05,1
8,1RXS J150112.0+013929,15 01 12.0,+01 39 29,144.21527,X,,,1
9,2MASS J15011685+0139368,15 01 16.8503,+01 39 37.058,155.34784,Star,,,1
10,WiggleZ S15J150109276+01442848,15 01 09.2760,+01 44 28.480,160.04019,Galaxy,107986.0,0.45808,1
11,SDSS J150122.24+014230.4,15 01 22.244,+01 42 30.45,160.08652,Galaxy,152944.0,0.75585,1
12,CRTS J150109.7+013911,15 01 09.6808,+01 39 11.420,165.04546,EclBin,-87.0,-0.00029,1
13,WiggleZ S15J150121215+01401765,15 01 21.2150,+01 40 17.650,169.71707,Galaxy,79102.0,0.31029,1
14,GPM 225.250906+01.698931,15 01 00.2165,+01 41 55.865,174.5958,Star,48.04,0.00016,1
15,SDSS J150118.59+014426.2,15 01 18.5981,+01 44 26.252,183.38902,Low-Mass*,12.0,4e-05,1
16,Pul -3 1240231,15 01 05.6228,+01 39 14.182,184.47733,Star,,,1
17,GPM 225.344981+01.721969,15 01 22.8041,+01 43 19.214,185.26622,Star,,,1
18,TXS 1458+018,15 01 13.2,+01 38 49,185.29248,Radio,,,1
19,Pul -3 1240215,15 01 00.5295,+01 43 09.564,186.25539,Star,,,1
20,GPM 225.300060+01.751050,15 01 11.9700,+01 45 03.305,190.1127,Star,,,1
21,WiggleZ S15J150116525+01385294,15 01 16.5255,+01 38 52.944,193.35336,Galaxy,86087.0,0.34375,1
22,2XMM J150121.9+014401,15 01 21.9641,+01 44 01.233,198.35146,Seyfert1,132623.0,0.60832,1
23,Pul -3 1240210,15 00 58.3565,+01 41 50.159,202.48494,Star,,,1
24,SDSS J150102.02+014416.1,15 01 02.020,+01 44 16.10,205.3889,Galaxy,89032.0,0.35826,1
25,Pul -3 1240211,15 00 58.8790,+01 43 24.991,215.1869,Star,,,1
26,WiggleZ S15J150126471+01421093,15 01 26.4706,+01 42 10.933,219.77917,Galaxy,146446.0,0.70587,1
27,SDSS J150100.08+013929.6,15 01 00.0871,+01 39 29.638,227.52632,Galaxy,,,1
28,SDSS J150126.95+014101.3,15 01 26.9577,+01 41 01.312,232.23836,Galaxy,132725.0,0.609,1
29,2MASX J15012404+0139244,15 01 24.0044,+01 39 25.021,234.76176,Galaxy,10413.0,0.03536,1
30,SDSS J150114.74+014554.5,15 01 14.743,+01 45 54.52,245.16028,Galaxy,70083.0,0.26893,1
31,SDSS J150122.07+014505.2,15 01 22.070,+01 45 05.22,245.57579,Galaxy,92031.0,0.37329,1
32,SDSS J150105.65+013800.2,15 01 05.658,+01 38 00.23,250.84857,Galaxy,151579.0,0.74511,1
33,2MASS J15011835+0138000,15 01 18.3454,+01 38 00.160,252.51418,Star,,,1
34,WiggleZ S15J150054902+01412040,15 00 54.9020,+01 41 20.400,256.36578,Galaxy,143303.0,0.6827,1
35,[MTT2005] N5846-059,15 00 59.362,+01 38 57.14,257.1228,GtowardsGroup,2392.0,0.00801,1
36,IRAS 14588+0149,15 01 20.8,+01 38 12,259.33203,FarIR,,,1
37,NGC  5814,15 01 21.1443,+01 38 13.467,260.1167,RadioG,10347.0,0.03513,1
38,SN 1980Q,15 01 21.34,+01 45 34.6,263.0977,Supernova,,,1
39,GPM 225.352727+01.749208,15 01 24.6825,+01 44 57.373,266.23352,Star,,,1
40,LEDA 1205049,15 01 20.759,+01 45 43.63,266.27124,Galaxy,13044.0,0.0445,1
41,Anon J150121+0145,15 01 22.00,+01 45 43.5,275.95544,Galaxy,,,1
42,LEDA 1205406,15 01 15.894,+01 46 24.61,278.0674,GtowardsGroup,1513.0,0.00506,1
43,WiggleZ S15J150109360+01371181,15 01 09.3601,+01 37 11.813,283.8727,Galaxy,162033.0,0.83096,1
44,WiggleZ S15J150104656+01372847,15 01 04.6563,+01 37 28.470,285.91626,Galaxy,151255.0,0.74258,1
45,2MASS J15012911+0144002,15 01 29.1163,+01 44 00.363,288.29108,Star,,,1
46,SDSS J150058.04+013821.0,15 00 58.048,+01 38 21.06,296.46082,Galaxy,73660.0,0.2851,1
47,2XMM J150121.2+014617,15 01 21.2560,+01 46 16.785,298.86996,Star,,,1
48,SDSS J150131.86+014156.5,15 01 31.860,+01 41 56.51,299.87924,Galaxy,155614.0,0.77725,1
49,2MASS J15010131+0137361,15 01 01.3057,+01 37 36.290,301.73566,Star,,,1
50,SDSS J150052.40+014023.9,15 00 52.4075,+01 40 23.942,305.0121,QSO,251506.0,2.37895,1
51,LEDA 1205284,15 01 22.8,+01 46 12,306.40103,Galaxy,35886.0,0.127812,1
52,2XMM J150051.6+014109,15 00 51.616,+01 41 09.97,306.59064,X,,,1
53,Pul -3 1240198,15 00 51.3804,+01 42 30.918,309.36566,Star,,,1
54,SDSS J150122.41+013727.0,15 01 22.415,+01 37 27.08,309.61798,Galaxy,70029.0,0.26869,1
55,SDSS J150117.74+014657.7,15 01 17.747,+01 46 57.78,317.1106,Galaxy,151869.0,0.74738,1
56,GPM 225.265489+01.616339,15 01 03.6598,+01 36 59.110,318.75586,Star,,,1
57,GPM 225.232739+01.638664,15 00 55.8063,+01 38 18.832,322.32175,Star,,,1
58,SDSS J150050.49+014250.3,15 00 50.493,+01 42 50.30,325.41403,Galaxy,112587.0,0.48419,1
59,WiggleZ S15J150132865+01400775,15 01 32.8650,+01 40 07.750,332.1239,Galaxy,131541.0,0.60113,1
60,0ES 1458+01.8,15 00 53,+01 38.9,334.77875,X,,,1
61,GPM 225.394135+01.705386,15 01 34.6653,+01 42 18.738,342.88202,Star,,,1
62,SDSS J150058.67+013712.4,15 00 58.673,+01 37 12.42,343.41013,Galaxy,106633.0,0.45055,1
63,SDSS J150121.47+013640.8,15 01 21.4704,+01 36 40.855,343.9809,Galaxy,24894.0,0.08679,1
64,WiggleZ S15J150101415+01364195,15 01 01.4145,+01 36 41.951,348.43195,Galaxy,163102.0,0.84023,1
65,MATLAS-1952,15 01 19.3,+01 36 19,352.34555,GtowardsGroup,,,1
66,SDSSCGB 58840.2,15 01 31.997,+01 38 50.56,352.86945,Galaxy,,,1
67,Pul -3 1240260,15 01 15.2839,+01 47 49.844,360.3205,Star,,,1
68,GPM 225.289968+01.597628,15 01 09.5821,+01 35 51.285,363.52222,Star,,,1
69,SDSS J150128.35+013724.6,15 01 28.358,+01 37 24.67,365.1032,Galaxy,97157.0,0.39962,1
70,2MASS J15011091+0135473,15 01 10.9099,+01 35 47.493,365.98392,Star,,,1
71,2MASS J15005098+0138418,15 00 50.9868,+01 38 42.023,366.7357,Star,,,1
72,2MASS J15005626+0146417,15 00 56.2678,+01 46 41.887,371.4722,Star,,,1
73,LEDA  160387,15 00 52.5850,+01 45 51.133,374.33813,Galaxy,12204.0,0.04157,1
74,SDSSCGB 58840,15 01 33.3,+01 38 40,375.0531,Compact_Gr_G,,,1
75,GPM 225.199927+01.664064,15 00 47.9721,+01 39 50.489,378.60126,Star,,,1
76,WiggleZ S15J150123955+01472689,15 01 23.9545,+01 47 26.894,379.7815,Galaxy,152889.0,0.75542,1
77,SDSSCGB 58840.4,15 01 33.034,+01 38 24.51,379.92374,Galaxy,,,1
