,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,BAX 339.9121-05.7217,22 39 38.8,-05 43 13,0.0,ClG,63512.0,0.24,1
1,DES J223938.93-054326.6,22 39 38.9329,-05 43 26.660,13.80277,GtowardsCl,,,1
2,DES J223940.03-054312.2,22 39 40.0392,-05 43 12.207,18.511734,GtowardsCl,,,1
3,[W2011] 339.90805-05.72461,22 39 37.93,-05 43 28.6,20.274868,GtowardsCl,64558.0,0.2445,1
4,DES J223939.33-054250.3,22 39 39.3379,-05 42 50.348,24.032688,GtowardsCl,,,1
5,[PHJ2002] WARP J2239.6-0543 R1,22 39 40.32,-05 43 23.0,24.792603,Radio,,,1
6,[W2011] 339.91916-05.72181,22 39 40.6099,-05 43 18.584,27.585907,GtowardsCl,65131.0,0.247,1
7,[W2011] 339.91864-05.72389,22 39 40.479,-05 43 26.44,28.43289,GtowardsCl,64353.0,0.24365,1
8,DES J223937.73-054337.4,22 39 37.7380,-05 43 37.415,29.10905,GtowardsCl,,,1
9,DES J223941.26-054323.7,22 39 41.2669,-05 43 23.659,38.331272,GtowardsCl,,,1
10,DES J223941.43-054311.2,22 39 41.4363,-05 43 11.211,39.38772,GtowardsCl,,,1
11,DES J223936.95-054343.8,22 39 36.9513,-05 43 43.895,41.422142,GtowardsCl,,,1
12,[W2011] 339.91403-05.73167,22 39 39.37,-05 43 54.0,41.876602,Galaxy,64596.0,0.24471,1
13,DES J223938.75-054357.2,22 39 38.7516,-05 43 57.210,44.215427,GtowardsCl,,,1
14,[W2011] 339.91522-05.73214,22 39 39.6346,-05 43 55.575,44.36038,GtowardsCl,63994.0,0.24209,1
15,DES J223940.50-054350.1,22 39 40.5023,-05 43 50.142,45.000885,GtowardsCl,,,1
16,XMMXCS J2239.7-0543,22 39.7,-05 43,49.49874,ClG,,,1
17,[W2011] 339.90982-05.73439,22 39 38.3488,-05 44 03.702,51.147522,Galaxy,64488.0,0.2442,1
18,[W2011] 339.92083-05.73192,22 39 40.9804,-05 43 55.475,53.50911,EmissionG,65731.0,0.24966,1
19,DES J223935.27-054300.0,22 39 35.2769,-05 43 00.060,54.152855,GtowardsCl,,,1
20,DES J223935.32-054344.0,22 39 35.3221,-05 43 44.082,60.502533,GtowardsCl,,,1
21,[W2011] 339.92203-05.73417,22 39 41.2919,-05 44 03.197,62.47524,Galaxy,65635.0,0.2492,1
