,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,BLOX J1414.9-0021.6,14 14 57.78,-00 20 59.3,0.016,ClG,39755.0,0.1427,1
1,2MASX J14145769-0020589,14 14 57.7278,-00 20 58.645,1.0196853,Blazar_Candidate,38768.0,0.13888,1
2,SDSS J141457.98-002047.0,14 14 57.99,-00 20 47.1,12.627828,Galaxy,37762.0,0.135,1
3,SDSS J141456.58-002108.8,14 14 56.59,-00 21 08.9,20.268972,Galaxy,38022.0,0.136,1
4,SDSS J141456.96-002115.4,14 14 56.9629,-00 21 15.488,20.304321,Galaxy,50446.0,0.18517,1
5,GAMA 62904,14 14 56.12,-00 20 52.0,25.956848,Galaxy,39412.0,0.14137,1
6,ULAS J141456.35-002114.6,14 14 56.352,-00 21 14.79,26.433676,EmissionG,38540.0,0.138,1
7,SDSS J141456.31-002122.6,14 14 56.3215,-00 21 22.664,32.00693,GtowardsCl,38022.0,0.136,1
8,SDSS J141500.00-002114.0,14 15 00.0038,-00 21 14.095,36.491035,GtowardsCl,39316.0,0.141,1
9,SDSS J141456.92-002134.5,14 14 56.9253,-00 21 34.498,37.46053,Galaxy,38281.0,0.137,1
10,SDSS J141456.33-002132.7,14 14 56.3336,-00 21 32.701,39.828148,GtowardsCl,38553.0,0.13805,1
11,SDSS J141458.24-002138.7,14 14 58.242,-00 21 38.72,40.024815,Galaxy,40537.0,0.14574,1
12,SDSS J141458.60-002020.2,14 14 58.6046,-00 20 20.230,40.98053,Galaxy,,,1
13,SDSS J141459.19-002015.7,14 14 59.199,-00 20 15.73,48.495914,Galaxy,37762.0,0.135,1
14,SDSS J141454.53-002118.7,14 14 54.5388,-00 21 18.723,52.353573,Galaxy,38799.0,0.139,1
15,GAMA 62830,14 14 56.4335,-00 21 55.888,60.08427,GtowardsCl,38434.0,0.13759,1
16,SDSS J141459.14-002001.7,14 14 59.1470,-00 20 01.705,61.136124,Galaxy,38540.0,0.138,1
17,SDSS J141502.03-002047.5,14 15 02.0335,-00 20 47.518,64.880226,Galaxy,38281.0,0.137,1
18,SDSS J141459.08-002202.6,14 14 59.0836,-00 22 02.672,66.32044,Galaxy,40753.0,0.14658,1
19,SDSS J141458.37-001945.7,14 14 58.3747,-00 19 45.796,74.04254,Galaxy,38799.0,0.139,1
20,2SLAQ J141502.56-002032.8,14 15 02.559,-00 20 32.77,76.43555,EmissionG,24814.0,0.0865,1
21,SDSS J141454.20-002001.7,14 14 54.2081,-00 20 01.723,78.64739,GtowardsCl,40494.0,0.14557,1
22,SDSS J141455.55-001947.5,14 14 55.56,-00 19 47.6,79.051674,Galaxy,38022.0,0.136,1
23,GAMA 62820,14 14 54.6318,-00 19 46.452,86.81354,GtowardsCl,39102.0,0.14017,1
24,GAMA 62893,14 15 03.36,-00 21 36.4,91.53614,Galaxy,34403.0,0.12217,1
25,SDSS J141454.57-002217.9,14 14 54.5798,-00 22 17.950,92.14167,Galaxy,38540.0,0.138,1
26,SDSS J141504.73-002059.6,14 15 04.7310,-00 20 59.677,104.26461,GtowardsCl,39058.0,0.14,1
27,SDSS J141453.11-001937.5,14 14 53.114,-00 19 37.50,107.65533,Galaxy,50498.0,0.18538,1
28,[TTG2014] 78322,14 15 01.1172,-00 22 36.265,109.123795,GroupG,,,1
29,SDSS J141459.88-001914.3,14 14 59.889,-00 19 14.34,109.623634,Galaxy,78716.0,0.30848,1
30,2dFGRS TGN342Z186,14 14 51.7478,-00 22 04.605,111.58575,GtowardsCl,38947.0,0.13957,1
31,SDSS J141504.87-002134.7,14 15 04.879,-00 21 34.71,112.218346,Galaxy,38799.0,0.139,1
32,SDSS J141453.38-001921.6,14 14 53.3826,-00 19 21.729,117.77405,Galaxy,38281.0,0.137,1
33,SDSS J141452.89-001924.4,14 14 52.8953,-00 19 24.397,119.89504,Galaxy,38281.0,0.137,1
34,SDSS J141449.65-002104.1,14 14 49.6545,-00 21 04.150,121.975815,Galaxy,39316.0,0.141,1
35,GAMA 62881,14 15 04.41,-00 19 40.9,126.63857,Galaxy,77957.0,0.30493,1
36,SDSSCG 126b,14 15 03.6314,-00 22 31.633,127.393456,GtowardsGroup,39316.0,0.141,1
37,SDSSCG 126c,14 15 04.451,-00 22 20.95,129.14641,GtowardsGroup,39058.0,0.14,1
38,SDSS J141449.26-002127.8,14 14 49.2669,-00 21 27.902,130.8574,Galaxy,38799.0,0.139,1
39,2dFGRS TGN342Z171,14 15 03.1604,-00 22 42.958,131.37164,GtowardsGroup,39801.0,0.14288,1
40,SDSSCG 126,14 15 04.080,-00 22 34.41,134.07387,Compact_Gr_G,39832.0,0.143,1
41,SDSS J141456.44-002312.3,14 14 56.4434,-00 23 12.382,134.58437,Galaxy,38799.0,0.139,1
42,SDSS J141453.90-002301.1,14 14 53.90,-00 23 01.2,135.0639,Galaxy,39058.0,0.14,1
43,SDSS J141458.98-002314.3,14 14 58.986,-00 23 14.40,136.30046,Galaxy,39868.0,0.14314,1
44,2dFGRS TGN275Z142,14 14 54.389,-00 23 09.12,139.42891,Galaxy,50557.0,0.18562,1
45,1RXS J141451.5-002245,14 14 51.499,-00 22 45.52,141.98167,X,,,1
46,2dFGRS TGN275Z148,14 14 52.9363,-00 18 55.940,143.16495,GtowardsCl,39058.0,0.14,1
47,SDSS J141506.97-002141.6,14 15 06.9768,-00 21 41.601,144.28946,Galaxy,39832.0,0.143,1
48,SDSS J141504.90-002241.0,14 15 04.908,-00 22 41.03,147.58191,GtowardsGroup,38799.0,0.139,1
49,SDSS J141454.91-001835.0,14 14 54.9124,-00 18 35.084,150.49333,GtowardsCl,38022.0,0.136,1
50,SDSS J141456.24-001826.1,14 14 56.2436,-00 18 26.178,154.8462,Galaxy,40460.0,0.14544,1
51,2XMM J141501.7-002326,14 15 01.7626,-00 23 26.806,159.14409,Star,,,1
52,SDSS J141501.81-002330.6,14 15 01.815,-00 23 30.61,162.96576,Galaxy,39316.0,0.141,1
53,2dFGRS TGN275Z134,14 15 07.8542,-00 22 03.394,164.14218,Galaxy,50281.0,0.1845,1
54,SDSS J141457.70-001813.5,14 14 57.7008,-00 18 13.514,165.78926,Galaxy,38944.0,0.13956,1
55,SDSS J141449.10-001914.6,14 14 49.1020,-00 19 14.689,166.99329,Galaxy,40090.0,0.144,1
56,GAMA 62766,14 14 47.857,-00 19 42.83,167.3407,Galaxy,93840.0,0.38249,1
57,2SLAQ J141447.52-002206.4,14 14 47.5262,-00 22 06.432,167.81555,Star,,,1
58,SDSS J141501.22-002346.0,14 15 01.2216,-00 23 46.028,174.53734,Galaxy,39316.0,0.141,1
59,GAMA 62870,14 14 49.070,-00 18 59.13,177.50787,GtowardsCl,38973.0,0.13967,1
60,SDSS J141508.78-001953.4,14 15 08.781,-00 19 53.40,177.68454,Galaxy,40799.0,0.14676,1
61,SDSS J141450.00-001845.1,14 14 50.003,-00 18 45.11,177.80577,Galaxy,38022.0,0.136,1
62,GAMA 62795,14 14 48.08,-00 22 43.4,178.88693,Galaxy,82251.0,0.32521,1
63,GAMA 62871,14 14 49.08,-00 18 56.3,179.30096,Galaxy,35906.0,0.12789,1
