,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,CAN  28,04 54 52.318,-18 06 56.52,0.0,ClG,9150.0,0.031,1
1,ESO 552-20,04 54 52.262,-18 06 56.12,0.89296234,BrightestCG,9267.0,0.031405,1
2,1RXS J045451.3-180652,04 54 51.3,-18 06 52,15.200699,X,,,1
3,[GSB2009] J045449.70-180642.5,04 54 49.70,-18 06 42.5,39.87014,Galaxy,71584.0,0.2757,1
4,[GSB2009] J045454.82-180609.4,04 54 54.82,-18 06 09.4,59.09919,Star,61.0,0.0002,1
5,[GSB2009] J045452.22-180556.8,04 54 52.22,-18 05 56.8,59.736343,Galaxy,9945.0,0.03374,1
6,[GSB2009] J045456.23-180737.6,04 54 56.23,-18 07 37.6,69.266136,Star,-208.0,-0.00069,1
7,[GSB2009] J045448.22-180609.0,04 54 48.22,-18 06 09.0,75.31036,Star,245.0,0.00082,1
8,[GSB2009] J045457.79-180621.6,04 54 57.8275,-18 06 21.862,85.85443,Galaxy,8818.0,0.02986,1
9,[TKK2018] 1807,04 54 59.00,-18 06 36.5,97.339516,PairG,9164.0,0.03105,1
10,[GSB2009] J045459.28-180706.2,04 54 59.28,-18 07 06.2,99.723625,Star,-47.0,-0.0002,1
11,[GSB2009] J045455.37-180504.2,04 54 55.37,-18 05 04.2,120.45456,Star,56.0,0.00019,1
12,[GSB2009] J045447.52-180517.2,04 54 47.52,-18 05 17.2,120.59892,Star,200.0,0.00067,1
13,1RXS J045445.1-180827,04 54 45.101,-18 08 26.99,137.00153,X,,,1
14,2MASS J04544537-1808340,04 54 45.3845,-18 08 34.087,138.88289,Star,,,1
15,LEDA  873006,04 54 45.8789,-18 05 01.150,147.43956,Galaxy,8972.0,0.03039,1
16,LEDA  871956,04 54 49.6,-18 09 27,155.38777,Galaxy,,,1
17,LEDA 3080714,04 55 05.5875,-18 06 16.158,193.43993,Galaxy,9130.0,0.03093,1
18,LEDA  872602,04 54 32.3,-18 06 37,286.05698,EmissionG,16148.0,0.05539,1
19,[DZ2015b] 363,04 54 43,-18 02.6,289.01617,GroupG,9196.388,0.031161,1
20,LEDA  871901,04 54 35.1,-18 09 39,294.34436,Galaxy,,,1
21,LEDA  871192,04 54 50.2,-18 12 32,336.83542,Galaxy,,,1
22,Gaia DR3 2979354530463228672,04 54 54.6866,-18 12 45.683,350.79166,Galaxy,,,1
23,LEDA  871130,04 54 59.0,-18 12 46,362.2237,Galaxy,,,1
24,LEDA  873912,04 55 01.8,-18 01 15,367.3137,Galaxy,,,1
25,BD-18   954,04 55 18.8013,-18 07 11.086,377.8352,Star,60.94,0.000203,1
26,1RXS J045443.7-180057,04 54 43.699,-18 00 57.49,379.48615,X,,,1
27,LEDA  871034,04 55 01.4892,-18 13 09.279,395.013,Galaxy,9800.0,0.03324,1
28,LEDA  870947,04 54 40.8982,-18 13 34.426,429.90494,Galaxy,,,1
29,LEDA  872821,04 54 22.3,-18 05 48,433.42404,Galaxy,,,1
30,Gaia DR3 2979353220495041792,04 54 36.0035,-18 13 19.869,448.35278,Galaxy,,,1
31,[T2015] nest 200086,04 55 23.4,-18 08 39,455.14035,ClG,9467.0,0.032093,1
32,LEDA  872703,04 54 19.4,-18 06 13,471.32382,Galaxy,,,1
33,Gaia DR2 2979385243771426560,04 55 06.7962,-17 59 04.744,514.9844,WhiteDwarf_Candidate,,,1
34,LEDA  874425,04 54 36.7593,-17 59 08.886,517.60754,Galaxy,9290.0,0.03148,1
35,XCLASS 23144,04 54 45.8,-18 15 32,523.78076,ClG_Candidate,,,1
36,[LH2011] 4091,04 55.5,-18 06,540.20087,GroupG,9318.0,0.03158,1
37,TYC 5903-471-1,04 54 52.6813,-18 16 05.230,548.73535,Star,16.43,5.5e-05,1
38,2MASS J04553043-1805068,04 55 30.4307,-18 05 06.991,554.328,ChemPec*,,,1
39,Gaia DR3 2979306873506111360,04 55 12.1532,-18 14 54.714,555.49445,Galaxy,,,1
40,1RXS J045527.7-180227,04 55 27.701,-18 02 27.49,571.788,X,,,1
41,LEDA  874692,04 54 27.7,-17 57 59,642.0353,Galaxy,8966.0,0.03037,1
42,BD-18   951,04 54 07.1481,-18 06 02.573,646.24457,Star,40.11,0.000134,1
43,LEDA  870573,04 55 22.8,-18 15 05,653.6919,Galaxy,,,1
44,6dFGS gJ045423.1-175830,04 54 23.0596,-17 58 29.933,656.3229,EmissionG,8735.0,0.02957,1
45,APMGS 045231.0-182236,04 54 43,-18 17.8,664.872,ClG,8859.0,0.03,1
46,Gaia DR3 2979306220670507264,04 55 15.0222,-18 16 38.021,665.44556,Galaxy,,,1
47,IRAS F04521-1803,04 54 21.4,-17 58 37,666.00244,Infrared,,,1
48,LEDA  146633,04 54 06.2000,-18 03 47.461,684.215,Galaxy,9470.0,0.0321,1
49,GALEX J045412.0-181316,04 54 12.0192,-18 13 17.195,689.0469,WhiteDwarf_Candidate,,,1
50,ATO J073.5231-18.0507,04 54 05.5142,-18 03 02.829,707.1106,Variable*,,,1
51,LEDA  146658,04 54 24.7142,-17 56 56.216,717.8987,Galaxy,9007.0,0.03051,1
52,TYC 5903-221-1,04 55 42.7294,-18 09 00.188,729.18195,Star,22.0,7.3e-05,1
53,Gaia DR3 2979355836132735488,04 54 10.0853,-18 13 49.712,730.0684,Galaxy,,,1
54,TYC 5903-318-1,04 54 05.7282,-18 12 09.475,734.0914,Star,29.32,9.8e-05,1
55,LP  776-29,04 54 44.8092,-18 19 16.502,747.6765,HighPM*,,,1
56,TYC 5903-897-1,04 54 36.3932,-17 54 51.617,759.6612,HighPM*,-23.45,-7.8e-05,1
57,GALEX J045436.3-175427,04 54 36.2927,-17 54 27.842,782.7996,WhiteDwarf_Candidate,,,1
58,LEDA  870461,04 54 10.7,-18 15 30,784.48016,Galaxy,,,1
59,TYC 5903-277-1,04 55 41.6854,-18 00 32.163,802.1048,Star,58.85,0.000196,1
60,DES J045443.06-182047.7,04 54 43.0828,-18 20 47.790,841.6184,RRLyrae_Candidate,,,1
61,BD-18   953,04 54 55.4916,-18 21 13.309,857.98157,Star,92.26,0.000308,1
62,[TSK2008] 2184,04 55 37.8,-18 16 33,867.8618,GroupG,10082.0,0.034215,1
63,LEDA  872047,04 55 52.8,-18 09 00,870.97205,Galaxy,,,1
64,TYC 5903-232-1,04 55 48.2009,-18 00 12.435,893.53864,Star,25.0,8.3e-05,1
65,LEDA  869544,04 55 26.6,-18 19 32,899.6274,Galaxy,,,1
66,LEDA  869085,04 54 41.0472,-18 21 45.194,903.06354,Galaxy,,,1
67,LEDA  869148,04 54 33.8,-18 21 28,910.5368,Galaxy,,,1
68,Gaia DR3 2979304915001026560,04 55 19.6924,-18 20 58.915,928.29443,Galaxy,,,1
69,Gaia DR3 2979301960063580288,04 55 23.9046,-18 20 53.352,950.15826,Galaxy,,,1
70,[TKT2016] 365,04 55 56.34,-18 11 31.3,952.9809,GroupG,,,1
71,Gaia DR3 2979302612895773824,04 55 39.3646,-18 18 28.022,963.09033,Star,,,1
72,NVSS J045556-180112,04 55 55.7,-18 01 15,966.1855,Radio,,,1
73,Gaia DR3 2979333330504636800,04 56 00.5717,-18 05 24.501,977.4682,Galaxy,,,1
74,LEDA  869266,04 55 29.0,-18 20 50,983.77246,Galaxy,,,1
75,TYC 5903-530-1,04 54 22.7415,-18 21 48.474,986.4704,Star,56.44,0.000188,1
76,BD-18   950,04 54 02.6535,-17 55 08.171,1001.8177,Star,50.23,0.000168,1
77,Gaia DR3 2979349479581710080,04 54 00.8955,-18 18 25.592,1005.8181,Galaxy,,,1
78,LEDA  872595,04 56 03.7,-18 06 38,1017.8378,Galaxy,,,1
79,TYC 5903-749-1,04 54 19.8566,-17 51 33.457,1032.7275,Star,29.84,0.0001,1
80,LEDA  869616,04 55 43.6,-18 19 16,1039.5712,Galaxy,,,1
81,2MASX J04552318-1823139,04 55 23.1871,-18 23 13.476,1071.3622,GtowardsCl,10061.0,0.034142,1
82,LEDA  869012,04 55 31.9,-18 22 08,1071.8054,Galaxy,,,1
83,NVSS J045409-175209,04 54 09.61,-17 52 09.1,1076.4525,Radio,,,1
84,[LH2011] 3796,04 53.6,-18 08,1089.8198,GroupG,11629.0,0.039573,1
85,TYC 5903-1046-1,04 55 58.8006,-17 57 38.779,1100.0928,Star,19.24,6.4e-05,1
86,TYC 5903-735-1,04 54 13.5363,-17 50 58.332,1106.4685,Star,5.53,1.8e-05,1
87,GALEX J045522.1-174947,04 55 22.0558,-17 49 47.429,1113.1298,WhiteDwarf_Candidate,,,1
88,[CHM2007] HDC  328,04 56 00.5,-17 57 13,1134.1151,GroupG,9384.0,0.031807,1
89,TYC 5903-394-1,04 54 52.6132,-18 26 13.209,1156.6969,Star,0.36,1e-06,1
90,2MASX J04554102-1822236,04 55 41.0563,-18 22 23.623,1158.2771,Galaxy,9063.0,0.0307,1
91,2MASX J04535533-1820440,04 53 55.2898,-18 20 43.581,1159.3799,GtowardsCl,11423.0,0.038857,1
92,LEDA  869744,04 53 47.1,-18 18 44,1167.9216,Galaxy,,,1
93,2MASS J04534324-1817352,04 53 43.2432,-18 17 35.357,1173.406,Star,,,1
94,LEDA  877451,04 54 44.6,-17 47 24,1177.6809,Galaxy,,,1
95,LEDA  877392,04 55 08.0335,-17 47 37.835,1180.1865,Galaxy,9298.0,0.03151,1
96,LEDA  876720,04 54 07.4,-17 50 03,1199.1473,Galaxy,,,1
