,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,CDGS 9,00 33 46.32,-43 17 31.8,0.0,ClG,59548.0,0.223,1
1,ATELAIS J003346.42-431730.8,00 33 46.384,-43 17 31.05,1.025698,GtowardsGroup,59548.0,0.223,1
2,DES J003347.35-431726.7,00 33 47.3576,-43 17 26.886,12.349017,GtowardsCl,,,1
3,ESIS J003347.90-431720.19,00 33 47.88,-43 17 20.4,20.49553,EmissionG,27676.0,0.097,1
4,ESIS J003348.24-431728.44,00 33 48.2440,-43 17 28.501,21.264057,GtowardsCl,58130.0,0.217,1
5,ESIS J003348.16-434334.75,00 33 48.1551,-43 17 24.659,21.270178,GtowardsCl,59312.0,0.222,1
6,ESIS J003348.49-431446.36,00 33 48.486,-43 17 06.14,34.89594,GtowardsCl,58604.0,0.219,1
7,ESIS J003348.60-431800.11,00 33 48.60,-43 18 00.1,37.689163,EmissionG,127685.0,0.576,1
8,ESIS J003349.93-431746.18,00 33 49.92,-43 17 46.2,41.858395,Star,,,1
9,DES J003349.19-431658.6,00 33 49.2033,-43 16 58.681,45.694504,GtowardsCl,,,1
10,DES J003348.95-431807.3,00 33 48.9571,-43 18 07.463,45.83431,GtowardsCl,,,1
11,ATELAIS J003345.32-431815.7,00 33 45.37,-43 18 16.6,45.984764,Galaxy,81913.0,0.3236,1
12,ESIS J003346.97-431642.63,00 33 46.965,-43 16 42.65,49.648636,GtowardsCl,59077.0,0.221,1
13,DES J003351.46-431728.6,00 33 51.4676,-43 17 28.700,56.288258,GtowardsCl,,,1
14,DES J003341.58-431758.0,00 33 41.5854,-43 17 58.179,58.030605,GtowardsCl,,,1
15,ESIS J003351.12-431700.77,00 33 51.1150,-43 17 00.738,60.87648,GtowardsCl,58604.0,0.219,1
16,DES J003344.02-431829.5,00 33 44.029,-43 18 29.51,62.890285,GtowardsCl,,,1
17,SWIRE J003344.79-431627.8,00 33 44.7834,-43 16 28.019,65.951,GtowardsCl,59289.0,0.2219,1
18,DES J003345.66-431620.9,00 33 45.6718,-43 16 21.063,71.09013,GtowardsCl,,,1
19,[ALF2001]  5,00 33 45.7,-43 18 45,73.512215,X,,,1
20,ESIS J003348.87-431614.84,00 33 48.87,-43 16 15.0,81.69227,EmissionG,88577.0,0.356,1
21,DES J003337.62-431740.8,00 33 37.6269,-43 17 40.994,95.353546,GtowardsCl,,,1
22,XMMES1 131,00 33 39.58,-43 18 33.2,95.83075,GroupG,289482.0,6.5601,1
23,ESIS J003338.04-431653.74,00 33 38.05,-43 16 53.7,98.00839,Star,,,1
24,ESIS J003355.07-433730.23,00 33 55.07,-43 17 59.6,99.48937,Galaxy,92171.0,0.374,1
25,DES J003339.34-431614.8,00 33 39.344,-43 16 14.88,108.25876,GtowardsCl,,,1
26,ATELAIS J003336.26-431733.0,00 33 36.261,-43 17 33.09,109.83139,Radio,,,1
27,2XMM J003336.1-431732,00 33 36.26,-43 17 31.7,109.83513,Galaxy,153467.0,0.76,1
28,ESIS J003355.98-431804.14,00 33 55.96,-43 18 04.1,110.08684,Galaxy,103247.0,0.432,1
29,XMMES1 123,00 33 36.2,-43 17 33,110.496346,EmissionG,201615.0,1.2599,1
30,ESIS J003354.75-431543.42,00 33 54.75,-43 16 29.4,111.20837,Galaxy,160285.0,0.816,1
31,ESIS J003335.65-431748.83,00 33 35.66,-43 17 48.7,117.602005,EmissionG,159337.0,0.808,1
32,ESIS 102982,00 33 42.67,-43 19 22.5,117.65103,GroupG,31173.0,0.11,1
33,2MASS J00333584-4316550,00 33 35.8652,-43 16 54.830,119.992,EmissionG,41629.0,0.15,1
34,ESIS J003347.61-431527.52,00 33 47.62,-43 15 28.4,124.214035,EmissionG,55746.0,0.207,1
35,ESIS J003355.52-431615.41,00 33 55.516,-43 16 15.32,126.221825,GtowardsCl,58840.0,0.22,1
36,ESIS J003334.49-431719.53,00 33 34.48,-43 17 19.5,129.85657,Galaxy,101204.0,0.421,1
37,ATELAIS J003346.27-431944.2,00 33 46.2851,-43 19 43.804,132.00465,LINER,97804.0,0.403,1
38,ATELAIS J003334.33-431818.7,00 33 34.340,-43 18 18.76,138.95894,Radio,,,1
39,ESIS J003355.29-431912.45,00 33 55.33,-43 19 12.6,140.82993,EmissionG,172790.0,0.929,1
40,ESIS J003354.75-431629.33,00 33 54.76,-43 15 43.3,142.36464,EmissionG,59548.0,0.223,1
41,ESIS J003341.37-431946.47,00 33 41.37,-43 19 46.5,145.13116,Galaxy,59077.0,0.221,1
42,ESIS J003335.86-435019.61,00 33 35.85,-43 19 09.7,150.48479,EmissionG,159099.0,0.806,1
43,DES J003333.03-431823.0,00 33 33.034,-43 18 23.08,153.83575,GtowardsCl,,,1
44,ATELAIS J003350.49-431504.8,00 33 50.494,-43 15 04.87,153.83952,Radio,,,1
45,ESIS J003355.35-431532.38,00 33 55.34,-43 15 32.5,154.71312,EmissionG,159337.0,0.808,1
46,ESIS J003345.40-432006.74,00 33 45.40,-43 20 06.8,155.32489,Galaxy,122121.0,0.541,1
47,ESIS J003332.11-431725.57,00 33 32.10,-43 17 25.5,155.38393,Star,,,1
48,ESIS J003349.54-431458.45,00 33 49.53,-43 14 58.6,157.16035,EmissionG,123252.0,0.548,1
49,DES J003400.75-431756.8,00 34 00.7633,-43 17 56.909,159.67044,GtowardsCl,,,1
50,ESIS J003357.82-431911.60,00 33 57.83,-43 19 11.6,160.45193,Galaxy,159218.0,0.807,1
51,2MASS J00334496-4314494,00 33 44.9730,-43 14 49.532,162.93312,Star,,,1
52,ESIS J003355.45-431520.82,00 33 55.43,-43 15 20.7,164.5783,EmissionG,151052.0,0.741,1
53,ESIS J003357.55-431925.07,00 33 57.54,-43 19 25.0,166.77144,EmissionG,104167.0,0.437,1
54,ESIS J003331.41-431654.85,00 33 31.41,-43 16 54.9,166.93051,Galaxy,160048.0,0.814,1
55,ESIS J003348.49-431706.22,00 33 48.53,-43 14 46.1,167.44888,Star,,,1
56,XMMES1 112,00 33 32.7,-43 16 07,171.20813,GroupG,266435.0,3.12,1
57,DES J003401.08-431628.3,00 34 01.0879,-43 16 28.458,173.25414,GtowardsCl,,,1
58,Gaia DR3 4992444081923480448,00 33 31.1679,-43 16 37.914,174.00424,Galaxy,,,1
59,ESIS J003356.06-431512.22,00 33 56.09,-43 15 12.5,175.4707,Galaxy,159575.0,0.81,1
60,2MASS J00333352-4315375,00 33 33.5154,-43 15 37.618,180.53177,HighPM*,,,1
61,DES J003329.45-431743.7,00 33 29.4577,-43 17 43.862,184.49136,GtowardsCl,,,1
62,ESIS J003332.05-432611.88,00 33 32.06,-43 15 51.2,185.39436,Star,,,1
63,ESIS J003348.43-432037.75,00 33 48.42,-43 20 37.9,187.50586,Galaxy,58367.0,0.218,1
64,ESIS J003402.11-431848.06,00 34 02.11,-43 18 48.1,188.49782,AGN,166460.0,0.87,1
65,XMMES1 148,00 33 46.73,-43 20 41.0,189.2529,Galaxy,72098.0,0.278,1
66,[PFD2006] 008.4452075-43.344633,00 33 46.8,-43 20 41,189.2725,GtowardsGroup,,,1
67,ESIS J003335.65-431501.83,00 33 35.64,-43 15 01.9,189.93646,EmissionG,97804.0,0.403,1
68,ESIS J003401.79-431602.65,00 34 01.78,-43 16 02.7,190.89584,Star,,,1
69,ATELAIS J003402.89-431839.0,00 34 02.895,-43 18 39.03,193.02444,Radio,,,1
70,ESIS J003337.83-432022.05,00 33 37.81,-43 20 22.1,193.97949,EmissionG,120324.0,0.53,1
71,ATELAIS J003330.43-431555.7,00 33 30.46,-43 15 55.5,198.1693,AGN,245464.0,2.168,1
72,ESIS J003356.03-432019.73,00 33 56.01,-43 20 19.7,198.43007,Star,,,1
73,ELAISC15 J003330-431553,00 33 30.46,-43 15 53.2,199.2979,Infrared,110633.0,0.473,1
74,ESIS J003351.98-431419.31,00 33 51.99,-43 14 19.3,202.21735,EmissionG,29565.0,0.104,1
75,ATELAIS J003347.89-431410.1,00 33 47.890,-43 14 10.18,202.348,Radio,,,1
76,ESIS J003329.08-431617.06,00 33 29.10,-43 16 17.0,202.37117,Star,,,1
77,ESIS 103210,00 34 02.69,-43 19 08.1,202.98572,GroupG,152202.0,0.75,1
78,ESIS J003405.06-431742.27,00 34 05.05,-43 17 42.5,204.76884,Galaxy,95496.0,0.391,1
79,ESIS J003347.12-432059.27,00 33 47.10,-43 20 59.5,207.87434,Galaxy,58604.0,0.219,1
80,XMMXCS J003346.4-432100.5,00 33 46.400,-43 21 00.50,208.70222,ClG,,,1
81,ESIS J003356.18-431430.95,00 33 56.16,-43 14 31.1,210.2472,Galaxy,58130.0,0.217,1
82,DES J003347.42-432102.6,00 33 47.4352,-43 21 02.684,211.23491,GtowardsCl,,,1
83,ESIS J003328.64-433230.79,00 33 28.63,-43 19 02.1,213.17017,EmissionG,199931.0,1.237,1
84,ESIS J003338.50-431415.22,00 33 38.49,-43 14 15.3,214.30583,Star,,,1
85,ATELAIS J003346.52-431357.3,00 33 46.50,-43 13 56.5,215.30898,Radio,,,1
86,2MASS J00340622-4317536,00 34 06.2311,-43 17 53.673,218.47675,Star,,,1
87,XMMES1 107,00 33 31.6,-43 20 00,218.57355,GroupG,213566.0,1.44,1
88,ESIS 102351,00 33 32.1,-43 20 08,220.19315,AGN,193705.0,1.1568,1
89,SWIRE J003350.87-432108.6,00 33 50.9,-43 21 08,221.90181,AGN,255965.0,2.561,1
90,ESIS 105658,00 34 04.93,-43 15 51.9,226.45651,GroupG,288414.0,6.19,1
91,ESIS J003345.66-432120.47,00 33 45.64,-43 21 20.4,228.7204,Galaxy,97804.0,0.403,1
92,ESIS J003329.24-431102.59,00 33 29.23,-43 19 44.9,229.15002,EmissionG,130306.0,0.593,1
93,ESIS J003330.29-431503.83,00 33 30.30,-43 15 03.7,229.23027,Star,,,1
94,ESIS J003340.11-432112.79,00 33 40.11,-43 21 12.9,231.25204,Galaxy,97804.0,0.403,1
95,ATELAIS J003407.52-431745.6,00 34 07.61,-43 17 44.6,232.78954,AGN,239834.0,2.0,1
96,ESIS J003327.69-431538.52,00 33 27.70,-43 15 38.3,232.87714,Star,,,1
97,DES14E1anf,00 33 56.130,-43 20 58.98,233.20227,Supernova,41117.0,0.148,1
98,2MASX J00335649-4320596,00 33 56.5351,-43 20 59.180,235.44327,EmissionG,41117.0,0.148,1
99,ATELAIS J003325.45-431630.8,00 33 25.460,-43 16 30.87,235.78952,Radio,,,1
100,ESIS J003345.63-432128.28,00 33 45.63,-43 21 28.3,236.61983,Star,,,1
101,ESIS J003357.15-431404.30,00 33 57.14,-43 14 04.3,238.79869,Star,,,1
102,ATELAIS J003408.07-431737.1,00 34 08.19,-43 17 36.3,238.81654,Galaxy,41168.0,0.1482,1
103,ESIS 101485,00 33 45.81,-43 21 34.7,242.96375,Star,68078.0,0.26,1
104,ESIS 104759,00 33 24.1,-43 17 02,244.4377,AGN,225722.0,1.6636,1
105,ESIS 106947,00 33 58.35,-43 14 05.6,244.51135,EmissionG,197771.0,1.2084,1
106,ESIS J003404.96-431514.61,00 34 04.95,-43 15 14.8,245.29039,EmissionG,103432.0,0.433,1
107,ESIS J003404.17-432613.64,00 34 04.16,-43 15 00.4,246.75148,Galaxy,92566.0,0.376,1
108,XMMES1  97,00 33 26.70,-43 19 35.0,247.06035,GroupG,181773.0,1.02,1
109,ESIS J003400.04-432048.72,00 34 00.03,-43 20 48.8,247.37553,Galaxy,106353.0,0.449,1
110,ESIS J003346.87-432140.41,00 33 46.87,-43 21 40.5,248.7724,EmissionG,94330.0,0.385,1
111,ESIS 101473,00 33 53.6,-43 21 28,249.20107,AGN,211260.0,1.4026,1
112,ESIS J003338.02-432128.11,00 33 37.99,-43 21 28.0,253.08665,EmissionG,166237.0,0.868,1
113,ESIS 103380,00 33 24.1,-43 18 45,253.362,EmissionG,25881.0,0.0904,1
114,ATELAIS J003334.00-431353.3,00 33 34.000,-43 13 53.39,256.54208,Radio,,,1
115,ESIS J003331.94-432057.39,00 33 31.94,-43 20 57.5,258.7249,Galaxy,58604.0,0.219,1
116,SWIRE J003343.91-432149.5,00 33 43.91,-43 21 49.5,259.03824,Galaxy,97641.0,0.40215,1
117,ESIS J003328.81-432026.75,00 33 28.81,-43 20 26.8,259.1203,Galaxy,96269.0,0.395,1
118,ESIS J003329.90-432040.34,00 33 29.90,-43 20 40.2,260.01132,Galaxy,114108.0,0.493,1
119,XMMES1 182,00 34 06.19,-43 20 00.7,263.06354,EmissionG,207555.0,1.3453,1
120,ESIS J003331.86-431400.04,00 33 31.85,-43 14 00.0,264.27664,EmissionG,159218.0,0.807,1
121,ESIS J003352.78-432149.89,00 33 52.80,-43 21 50.1,267.80283,EmissionG,88577.0,0.356,1
122,ESIS J003321.79-431800.09,00 33 21.80,-43 18 00.1,269.18375,Galaxy,101204.0,0.421,1
123,ESIS J003339.81-432151.95,00 33 39.81,-43 21 52.1,269.81827,EmissionG,82416.0,0.326,1
124,DES J003409.58-431552.7,00 34 09.5885,-43 15 52.864,272.68427,GtowardsCl,,,1
125,ESIS J003323.23-431924.23,00 33 23.22,-43 19 24.4,276.14087,Galaxy,84287.0,0.335,1
126,ESIS J003321.55-431002.87,00 33 21.53,-43 16 27.1,278.3218,Star,,,1
127,ESIS J003322.43-431910.90,00 33 22.44,-43 19 10.5,278.72366,EmissionG,15752.0,0.054,1
128,ESIS J003400.77-432122.50,00 34 00.82,-43 21 22.6,279.82953,Galaxy,95109.0,0.389,1
129,ESIS J003323.52-431942.61,00 33 23.52,-43 19 42.8,281.22986,EmissionG,169301.0,0.896,1
130,ESIS J003321.58-431854.23,00 33 21.56,-43 18 54.2,282.56033,EmissionG,169301.0,0.896,1
131,ESIS J003328.68-432059.42,00 33 28.65,-43 20 59.2,283.19254,Star,,,1
132,ESIS J003320.28-431720.60,00 33 20.28,-43 17 20.6,284.53244,Galaxy,93156.0,0.379,1
133,ESIS J003359.92-432138.61,00 33 59.90,-43 21 38.6,287.86868,Galaxy,159930.0,0.813,1
134,ESIS 104833,00 34 12.6,-43 17 04,288.2867,GroupG,258142.0,2.66,1
