,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,CXOMP J010610.3+005126,01 06 10.3,+00 51 26,0.0,ClG,67309.0,0.2566,1
1,CAIRNS J010610.38+005120.4,01 06 10.378,+00 51 20.51,5.617065,BrightestCG,68751.0,0.26299,1
2,SDSS J010609.86+005138.8,01 06 09.8587,+00 51 38.749,14.364876,BrightestCG,68472.0,0.26175,1
3,DES J010610.03+005110.9,01 06 10.0320,+00 51 10.959,15.568876,GtowardsCl,,,1
4,DES J010611.53+005138.2,01 06 11.5347,+00 51 38.381,22.276482,GtowardsCl,,,1
5,FIRST J010610.9+005153,01 06 10.8138,+00 51 49.939,25.149591,RadioG,68495.0,0.26185,1
6,DES J010608.45+005128.4,01 06 08.4544,+00 51 28.488,27.792683,GtowardsCl,,,1
7,DES J010608.96+005102.9,01 06 08.9661,+00 51 02.948,30.522926,GtowardsCl,,,1
8,DES J010610.67+005046.3,01 06 10.6735,+00 50 46.376,40.018166,GtowardsCl,,,1
9,DES J010612.99+005120.3,01 06 12.9907,+00 51 20.357,40.74933,GtowardsCl,,,1
10,DES J010608.58+005051.6,01 06 08.5892,+00 50 51.630,42.891747,GtowardsCl,,,1
11,SDSSCGB 20802.4,01 06 09.229,+00 52 08.10,45.060356,Galaxy,,,1
12,DES J010611.63+005207.5,01 06 11.6310,+00 52 07.533,46.081085,GtowardsCl,,,1
13,SDSSCGB 20802.1,01 06 10.100,+00 52 12.82,46.915993,GtowardsCl,,,1
14,SDSSCGB 20802,01 06 09.7,+00 52 14,48.836273,Compact_Gr_G,,,1
15,SDSSCGB 20802.2,01 06 10.074,+00 52 17.82,51.93074,Galaxy,,,1
16,SDSSCGB 20802.3,01 06 09.232,+00 52 16.82,53.284653,Galaxy,,,1
17,DES J010606.42+005129.0,01 06 06.4238,+00 51 29.087,58.218502,GtowardsCl,,,1
18,DES J010613.25+005203.9,01 06 13.2559,+00 52 03.910,58.33203,GtowardsCl,,,1
19,SDSS J010612.63+005212.8,01 06 12.6370,+00 52 12.933,58.577984,BrightestCG,69308.0,0.26547,1
20,DES J010609.98+005026.0,01 06 09.9853,+00 50 26.049,60.136703,GtowardsCl,,,1
21,SDSS J010612.02+005220.3,01 06 12.0264,+00 52 20.326,60.18182,QSO,67407.0,0.257033,1
22,DES J010612.32+005219.4,01 06 12.3283,+00 52 19.493,61.53799,GtowardsCl,,,1
23,DES J010610.00+005014.6,01 06 10.0000,+00 50 14.681,71.46075,GtowardsCl,,,1
24,FIRST J010605.8+005058,01 06 05.8310,+00 50 57.767,72.72981,RadioG,67341.0,0.25674,1
25,DES J010615.39+005142.3,01 06 15.3990,+00 51 42.396,78.213486,GtowardsCl,,,1
26,DES J010605.92+005035.3,01 06 05.9200,+00 50 35.351,82.9502,GtowardsCl,,,1
27,DES J010615.75+005141.0,01 06 15.7600,+00 51 41.040,83.260216,GtowardsCl,,,1
