,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,CXOU J022428.2-041529,02 24 33.8,-04 14 15,0.0,ClG,68686.0,0.2627,1
1,VIDEO J022434.33-041417.62,02 24 34.33,-04 14 17.6,8.34679,Galaxy,,,1
2,VIDEO J022434.12-041407.90,02 24 34.12,-04 14 07.9,8.563027,Galaxy,,,1
3,VIDEO J022434.01-041406.93,02 24 34.01,-04 14 06.9,8.656447,Galaxy,,,1
4,[TGW2020] 18,02 24 34,-04 14.1,9.019869,ClG,179875.0,1.0,1
5,DES J022433.22-041419.2,02 24 33.228,-04 14 19.23,9.543417,GtowardsCl,68900.0,0.26365,1
6,VIDEO J022434.01-041426.49,02 24 34.01,-04 14 26.5,11.917024,Galaxy,,,1
7,VIDEO J022434.71-041413.84,02 24 34.71,-04 14 13.8,13.715008,Galaxy,,,1
8,VIDEO J022434.71-041417.95,02 24 34.71,-04 14 18.0,13.946625,Galaxy,,,1
9,VIDEO J022434.14-041428.71,02 24 34.15,-04 14 28.7,14.679166,Galaxy,,,1
10,VIDEO J022433.89-041429.93,02 24 33.90,-04 14 29.9,15.007719,Galaxy,,,1
11,VIDEO J022433.31-041401.50,02 24 33.31,-04 14 01.5,15.347316,Galaxy,195418.0,1.1782,1
12,VIDEO J022433.65-041359.50,02 24 33.66,-04 13 59.5,15.621022,Galaxy,,,1
13,VIDEO J022434.18-041430.68,02 24 34.19,-04 14 30.7,16.722326,Galaxy,,,1
14,SDSS J022435.02-041414.0,02 24 35.017,-04 14 13.90,18.244753,GtowardsCl,68511.0,0.26192,1
15,VIDEO J022432.95-041401.14,02 24 32.96,-04 14 01.1,18.740301,Galaxy,,,1
16,DES J022434.99-041421.6,02 24 34.997,-04 14 21.63,19.088171,GtowardsCl,68529.0,0.262,1
17,VIRMOS 1.4GHz J022435-041421,02 24 35.0,-04 14 21,19.19205,Radio,,,1
18,VIDEO J022433.61-041433.99,02 24 33.62,-04 14 34.0,19.204538,Galaxy,,,1
19,VIDEO J022434.07-041355.96,02 24 34.08,-04 13 56.0,19.483875,Galaxy,,,1
20,VIDEO J022434.93-041424.73,02 24 34.935,-04 14 24.69,19.54803,Galaxy,135759.0,0.6295,1
21,VIDEO J022434.78-041429.44,02 24 34.79,-04 14 29.4,20.65987,Galaxy,,,1
22,VIDEO J022432.55-041405.93,02 24 32.55,-04 14 05.9,20.767145,Galaxy,,,1
23,SDSS J022435.11-041408.2,02 24 35.118,-04 14 08.25,20.837212,AGN,68346.0,0.261189,1
24,VIDEO J022433.83-041436.16,02 24 33.836,-04 14 36.10,21.106625,Galaxy,135833.0,0.63,1
25,VIDEO J022434.99-041402.79,02 24 34.99,-04 14 02.8,21.637226,Galaxy,,,1
26,VIDEO J022434.61-041356.16,02 24 34.62,-04 13 56.2,22.451706,Galaxy,,,1
27,VIDEO J022434.35-041353.93,02 24 34.35,-04 13 53.9,22.629715,Galaxy,,,1
28,VIDEO J022433.21-041436.32,02 24 33.218,-04 14 36.27,22.983503,Galaxy,159182.0,0.8067,1
29,VIDEO J022433.84-041351.95,02 24 33.85,-04 13 52.0,23.050816,Galaxy,,,1
30,VIDEO J022432.64-041430.65,02 24 32.64,-04 14 30.7,23.373936,Galaxy,,,1
31,VIDEO J022432.10-041413.75,02 24 32.10,-04 14 13.7,25.389778,Galaxy,,,1
32,HSCS J022433.68-041441.2,02 24 33.68,-04 14 41.3,26.344542,Galaxy,193559.0,1.155,1
33,VIDEO J022434.06-041348.63,02 24 34.07,-04 13 48.6,26.65521,Galaxy,,,1
34,VIDEO J022434.72-041438.06,02 24 34.72,-04 14 38.1,26.874336,Galaxy,,,1
35,VIDEO J022434.89-041353.35,02 24 34.89,-04 13 53.4,27.102901,Galaxy,,,1
36,VIDEO J022432.21-041428.15,02 24 32.21,-04 14 28.1,27.167795,Galaxy,,,1
37,VIDEO J022431.97-041415.69,02 24 31.97,-04 14 15.7,27.37752,Galaxy,,,1
38,DES J022432.85-041440.2,02 24 32.8750,-04 14 40.323,28.857382,GtowardsCl,68929.0,0.26378,1
39,VIDEO J022435.14-041436.43,02 24 35.14,-04 14 36.4,29.36901,Galaxy,,,1
40,VIDEO J022435.58-041427.53,02 24 35.58,-04 14 27.5,29.459438,Galaxy,,,1
41,VIRMOS 1.4GHz J022432-041441,02 24 32.85,-04 14 41.1,29.71804,Radio,,,1
42,VIDEO J022433.08-041347.21,02 24 33.08,-04 13 47.2,29.797392,Galaxy,,,1
43,VIDEO J022435.71-041423.55,02 24 35.72,-04 14 23.6,29.92611,Galaxy,,,1
44,VIDEO J022435.35-041354.92,02 24 35.36,-04 13 54.9,30.755003,Galaxy,,,1
45,VIDEO J022431.81-041406.57,02 24 31.82,-04 14 06.6,30.839558,Galaxy,,,1
46,VIDEO J022434.95-041441.26,02 24 34.95,-04 14 41.3,31.419601,Galaxy,,,1
47,SDSS J022432.24-041436.4,02 24 32.235,-04 14 36.18,31.572784,GtowardsCl,68552.0,0.262106,1
48,VIDEO J022432.63-041348.69,02 24 32.63,-04 13 48.7,31.581501,Galaxy,,,1
49,VIDEO J022432.98-041344.87,02 24 32.98,-04 13 44.9,32.515087,Galaxy,,,1
50,VIDEO J022435.95-041409.39,02 24 35.95,-04 14 09.4,32.677986,Galaxy,,,1
51,VIDEO J022431.60-041413.76,02 24 31.61,-04 14 13.8,32.81296,Galaxy,,,1
52,VIDEO J022433.76-041447.95,02 24 33.76,-04 14 48.0,32.981213,Galaxy,,,1
53,HSCS J022433.58-041447.8,02 24 33.59,-04 14 47.9,33.020638,Galaxy,190244.0,1.115,1
54,VIDEO J022432.14-041352.48,02 24 32.15,-04 13 52.5,33.44506,Galaxy,,,1
55,VIDEO J022433.34-041448.04,02 24 33.34,-04 14 48.0,33.747047,Galaxy,,,1
56,DES J022435.00-041443.6,02 24 35.002,-04 14 43.63,33.80243,GtowardsCl,56027.0,0.20817,1
57,VIDEO J022431.57-041407.49,02 24 31.58,-04 14 07.5,34.054424,Galaxy,,,1
58,VIDEO J022431.67-041427.55,02 24 31.67,-04 14 27.6,34.211273,Galaxy,,,1
59,VIDEO J022435.62-041435.84,02 24 35.62,-04 14 35.8,34.297806,Galaxy,,,1
60,VIDEO J022432.91-041447.09,02 24 32.913,-04 14 46.99,34.631508,Galaxy,148189.0,0.719,1
61,VIDEO J022431.55-041424.04,02 24 31.56,-04 14 24.0,34.705067,Galaxy,,,1
62,VIDEO J022436.04-041424.49,02 24 36.039,-04 14 24.41,34.792725,Galaxy,139064.0,0.6524,1
63,VIDEO J022434.89-041343.94,02 24 34.90,-04 13 43.9,35.145412,Galaxy,,,1
64,VIDEO J022432.31-041347.64,02 24 32.32,-04 13 47.6,35.187977,Galaxy,,,1
