,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,CXOU J092053.0+302800,09 20 52.5,+30 27 40,0.16022842,ClG,74601.0,0.2894,1
1,SDSS J092052.53+302740.2,09 20 52.5297,+30 27 40.301,0.48915696,BrightestCG,75363.0,0.2929,1
2,SDSS J092053.12+302742.3,09 20 53.121,+30 27 42.35,8.367691,Galaxy,75935.0,0.29554,1
3,SHELS 140.2200623+30.4643502,09 20 52.7922,+30 27 51.557,12.159197,GtowardsCl,73717.0,0.28536,1
4,SDSS J092051.93+302753.7,09 20 51.936,+30 27 53.79,15.600126,Galaxy,73641.0,0.28501,1
5,SDSS J092051.29+302737.6,09 20 51.294,+30 27 37.62,15.776262,Galaxy,75245.0,0.29236,1
6,SHELS 140.2142179+30.4595208,09 20 51.369,+30 27 33.89,15.85277,GinPair,73785.0,0.28567,1
7,[WGK2010] 188,09 20 51.0,+30 27 38,19.497307,PairG,,,1
8,SHELS 140.2133507+30.4574339,09 20 51.155,+30 27 26.40,22.082012,GinPair,75239.0,0.29233,1
9,SDSS J092054.34+302740.0,09 20 54.346,+30 27 40.09,23.869257,Galaxy,75295.0,0.29259,1
10,SHELS 140.2108274+30.4617256,09 20 50.558,+30 27 41.80,25.171824,GinPair,74111.0,0.28716,1
11,[WGK2010] 190,09 20 51.1,+30 27 22,25.528006,PairG,,,1
12,SHELS 140.2150973+30.4540425,09 20 51.602,+30 27 14.39,28.117844,GtowardsCl,,,1
13,SHELS 140.2121820+30.4549067,09 20 50.878,+30 27 17.26,30.932487,GinPair,74803.0,0.29033,1
14,SHELS 140.2289958+30.4623257,09 20 54.945,+30 27 44.35,31.909298,GtowardsCl,75202.0,0.29216,1
15,SHELS 140.2118523+30.4679521,09 20 50.826,+30 28 04.57,32.745018,GtowardsCl,75367.0,0.29292,1
16,SDSS J092052.31+302813.1,09 20 52.313,+30 28 13.13,33.222054,Galaxy,,,1
17,SHELS 140.2081289+30.4603629,09 20 49.938,+30 27 37.21,33.239998,GtowardsCl,76696.0,0.29906,1
18,SHELS 140.2130766+30.4696015,09 20 51.126,+30 28 10.53,35.324795,GtowardsCl,75363.0,0.2929,1
19,SHELS 140.2271709+30.4680593,09 20 54.508,+30 28 04.99,36.035892,GtowardsCl,74339.0,0.2882,1
20,SHELS 140.2115215+30.4527612,09 20 50.739,+30 27 09.85,37.776855,GtowardsCl,76594.0,0.29859,1
21,SDSS J092051.56+302817.6,09 20 51.569,+30 28 17.64,39.51876,Galaxy,125455.0,0.5618,1
22,[KKD2009] 1,09 20 55.1,+30 28 04,40.678482,GravLens_Candidate,,,1
23,SHELS 140.2188896+30.4730497,09 20 52.523,+30 28 22.95,42.948654,GtowardsCl,75653.0,0.29424,1
24,SHELS 140.2197874+30.4489360,09 20 52.701,+30 26 55.74,44.33136,GinPair,73904.0,0.28621,1
25,SHELS 140.2081739+30.4517215,09 20 49.956,+30 27 06.02,47.29379,GtowardsCl,74716.0,0.28993,1
26,SDSS J092054.96+302704.7,09 20 54.962,+30 27 04.70,47.532436,GinPair,76814.0,0.29961,1
27,SHELS 140.2340706+30.4588477,09 20 56.156,+30 27 31.81,47.97446,GtowardsCl,,,1
28,[WGK2010] 195,09 20 53.3,+30 26 53,48.1249,PairG,,,1
29,SHELS 140.2270776+30.4728332,09 20 54.478,+30 28 22.18,49.332794,GtowardsCl,74912.0,0.29083,1
30,SHELS 140.2244144+30.4472522,09 20 53.806,+30 26 49.70,53.059067,GinPair,74052.0,0.28689,1
31,SHELS 140.2260314+30.4475511,09 20 54.227,+30 26 51.06,53.78729,GtowardsCl,74938.0,0.29095,1
32,SDSS J092048.24+302739.0,09 20 48.244,+30 27 39.09,55.034904,Galaxy,74614.0,0.28946,1
33,SHELS 140.2040414+30.4699668,09 20 48.954,+30 28 11.77,55.78009,GtowardsCl,75136.0,0.29186,1
