,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,CXOXB J143714.3+341503,14 37 16.6,+34 15 05,0.56339645,ClG,121772.0,0.53885,1
1,SDSS J143716.63+341505.6,14 37 16.6,+34 15 06,0.9075029,AGN,123091.0,0.547,1
2,DES J143718.18+341500.1,14 37 18.1858,+34 15 00.101,20.262537,GtowardsCl,,,1
3,DES J143715.08+341455.9,14 37 15.0895,+34 14 55.927,20.809784,GtowardsCl,,,1
4,SDSS J143718.22+341512.4,14 37 18.248,+34 15 12.56,21.784403,AGN,121759.0,0.53877,1
5,[VJL2014] XBS 38,14 37 14.35,+34 15 03.0,27.968636,GroupG,122121.0,0.541,1
6,DES J143715.85+341532.0,14 37 15.8589,+34 15 32.026,28.545013,GtowardsCl,,,1
7,DES J143715.98+341540.0,14 37 15.9806,+34 15 40.049,35.880703,GtowardsCl,,,1
8,SDSS J143713.74+341530.5,14 37 13.787,+34 15 30.77,43.362694,GtowardsCl,122424.0,0.54287,1
9,[KEC2012] 219.330996+34.243716,14 37 19.439,+34 14 37.38,44.74558,AGN,97613.0,0.402,1
10,[SJV2010] J143719.651+341529.883,14 37 19.651,+34 15 29.88,45.27553,Star,,,1
11,[SJV2010] J143715.007+341545.758,14 37 14.9813,+34 15 45.709,45.386814,GtowardsCl,122768.0,0.545,1
12,DES J143719.77+341439.6,14 37 19.7731,+34 14 39.612,46.824356,GtowardsCl,,,1
13,[SJV2010] J143717.278+341551.952,14 37 17.2589,+34 15 51.879,47.585697,GtowardsCl,122930.0,0.546,1
14,[KEC2012] 219.334818+34.247296,14 37 20.356,+34 14 50.27,48.849537,AGN,53577.0,0.198,1
15,[KEC2012] 219.327562+34.239687,14 37 18.615,+34 14 22.87,48.977985,AGN,97230.0,0.4,1
16,[KEC2012] 219.307892+34.241385,14 37 13.894,+34 14 28.99,49.2212,AGN,94720.0,0.387,1
