,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ClG 0451-03,04 54 10.9,-03 01 07,0.0,ClG,121959.0,0.54,1
1,[BKG2010] 22,04 54 11.3120,-03 01 01.400,8.333459,Galaxy,,,1
2,[BGK2007] Fa,04 54 11.47,-03 01 04.3,8.954878,Radio,,,1
3,[BKG2010] 24,04 54 10.8840,-03 00 57.231,9.771939,Galaxy,,,1
4,CNOC MS 0451  101184,04 54 10.886,-03 00 57.23,9.77225,GtowardsCl,18012.0,0.062,1
5,[SES2008] J045411.13-030053.8,04 54 11.13,-03 00 53.8,13.642197,GtowardsCl,123574.0,0.55,1
6,[MET2007] 73.547981-3.015473,04 54 11.515,-03 00 55.70,14.579262,GtowardsCl,121144.0,0.535,1
7,[BGK2007] Fb,04 54 11.03,-03 00 52.4,14.729289,Radio,,,1
8,CNOC MS 0451  101110,04 54 11.9047,-03 01 05.900,15.089739,GtowardsCl,,,1
9,CNOC MS 0451  101234,04 54 10.84,-03 00 51.6,15.426204,BrightestCG,121959.0,0.54,1
10,[MSS2014b] 4.c,04 54 11.03,-03 01 22.4,15.522627,LensedG,,,1
11,[BKG2010] 20,04 54 11.8330,-03 00 59.879,15.685212,Galaxy,,,1
12,[BKG2010] 19,04 54 11.9620,-03 01 04.756,16.065393,Galaxy,,,1
13,[TKN2003] F,04 54 11.22,-03 01 22.9,16.606806,Galaxy,,,1
14,[BKG2010] 21,04 54 11.8170,-03 00 57.484,16.710178,Galaxy,,,1
15,CNOC MS 0451  101180,04 54 11.818,-03 00 57.50,16.713394,EmissionG,100643.0,0.418,1
16,[MSS2014b] 3.c,04 54 11.46,-03 01 21.7,16.924953,LensedG,,,1
17,[TKN2003] E,04 54 10.93,-03 01 24.6,17.605736,Galaxy,,,1
18,[BKG2010] E3,04 54 10.97,-03 01 24.8,17.830856,Radio,,,1
19,[BKG2010] 26,04 54 10.7670,-03 01 24.772,17.883314,Galaxy,,,1
20,[MSS2014b] 2.c,04 54 11.79,-03 01 20.2,18.760801,LensedG,,,1
21,[BKG2010] 23,04 54 11.019,-03 01 25.68,18.764685,BlueCompactG,129792.0,0.58964,1
22,CXOU J045410.8-030125,04 54 10.88,-03 01 25.8,18.802387,X,,,1
23,[BCD2004] ARC1 ci,04 54 11.11,-03 01 26.6,19.850817,LensedG,262981.0,2.91,1
24,[KZP2008] F8,04 54 10.4026,-03 00 48.600,19.851257,EmissionG,105432.0,0.44392,1
25,[BGK2007] Rc2,04 54 11.70,-03 01 22.9,19.91005,Radio,,,1
26,CNOC MS 0451  101141,04 54 12.18,-03 01 00.9,20.120346,GtowardsCl,121959.0,0.54,1
27,CNOC MS 0451  101146,04 54 09.60,-03 01 00.5,20.529154,GtowardsCl,123413.0,0.549,1
28,[MET2007] 73.542000-3.013987,04 54 10.080,-03 00 50.35,20.690422,GtowardsCl,121438.0,0.5368,1
29,[BGK2007] Rc1,04 54 12.27,-03 01 09.9,20.725372,Radio,,,1
30,[BKG2010] 27,04 54 10.0760,-03 00 50.338,20.735691,Galaxy,,,1
31,[MSS2014b] 8,04 54 10.55,-03 01 27.3,20.966066,LensedG,,,1
32,[KZP2008] C11,04 54 10.40,-03 00 46.7,21.637568,GtowardsCl,120489.0,0.531,1
33,[MET2007] 73.539459-3.017350,04 54 09.470,-03 01 02.46,21.89609,GtowardsCl,123252.0,0.548,1
34,[CWB2011] WLTV J045412.28-030059.3,04 54 12.282,-03 00 59.34,22.06793,Galaxy,121884.0,0.53954,1
35,CNOC MS 0451  101213,04 54 12.2185,-03 00 56.100,22.558277,GtowardsCl,,,1
36,[TKN2003] D,04 54 12.33,-03 01 15.6,23.082148,Galaxy,,,1
37,[BKG2010] 15,04 54 12.3340,-03 01 15.892,23.247873,Galaxy,,,1
38,[MET2007] 73.540367-3.022765,04 54 09.688,-03 01 21.95,23.518017,GtowardsCl,120291.0,0.5298,1
39,CNOC MS 0451  101087,04 54 12.47,-03 01 07.7,23.527737,GtowardsCl,120653.0,0.532,1
40,[MSS2014b] 1.c,04 54 12.17,-03 01 21.4,23.85906,LensedG,,,1
41,[BKG2010] 17,04 54 12.2800,-03 00 54.816,23.994852,Galaxy,,,1
42,NAME SMM J04542-0301,04 54 12.5,-03 01 04,24.15374,smmRad,,,1
43,[BKG2010] 12,04 54 12.53,-03 01 04.5,24.54374,Galaxy,,,1
44,[MET2007] 73.551147-3.014812,04 54 12.275,-03 00 53.32,24.725592,GtowardsCl,122526.0,0.5435,1
45,[BKG2010] 14,04 54 12.44,-03 01 16.6,24.985775,Galaxy,121828.0,0.5392,1
46,[BKG2010] 16,04 54 12.2830,-03 00 53.001,25.002703,Galaxy,,,1
47,CNOC MS 0451  101027,04 54 12.4054,-03 01 18.100,25.133566,GtowardsCl,,,1
48,[MSS2014b] 2.b,04 54 12.58,-03 01 11.9,25.637632,LensedG,,,1
49,[BGK2007] Rb2,04 54 12.29,-03 01 22.1,25.720135,Radio,,,1
50,[MET2007] 73.552612-3.017860,04 54 12.627,-03 01 04.30,26.009586,GtowardsCl,122768.0,0.545,1
51,[BKG2010] 9,04 54 12.6390,-03 01 04.288,26.189611,Galaxy,,,1
52,[BKG2010] RJ,04 54 12.54,-03 01 17.2,26.599253,Radio,,,1
53,[BKG2010] 10,04 54 12.6340,-03 01 00.949,26.669453,Galaxy,,,1
54,[MSS2014b] 3.b,04 54 12.68,-03 01 09.1,26.745518,LensedG,,,1
55,[BKG2010] 11,04 54 12.6100,-03 01 15.312,26.929277,Galaxy,,,1
56,[MET2007] 73.552536-3.020934,04 54 12.609,-03 01 15.36,26.929892,GtowardsCl,125961.0,0.565,1
57,[BKG2010] E2,04 54 12.66,-03 01 01.2,26.993856,Radio,,,1
58,[MET2007] 73.541359-3.024954,04 54 09.926,-03 01 29.83,27.093687,GtowardsCl,121747.0,0.5387,1
59,[BGK2007] Rb1,04 54 12.57,-03 01 17.6,27.168377,Radio,,,1
60,[TKN2003] A4,04 54 12.68,-03 01 01.3,27.265438,Galaxy,,,1
61,[BCD2004] B2,04 54 12.69,-03 01 01.5,27.371048,LensedG,,,1
62,[TKN2003] C,04 54 12.65,-03 01 16.5,27.881893,Galaxy,263198.0,2.9223,1
63,[BKG2010] 8,04 54 12.6550,-03 01 16.586,27.981665,Galaxy,,,1
64,[BCD2004] C2,04 54 12.72,-03 00 59.6,28.248621,LensedG,,,1
65,[BGK2007] Fe,04 54 09.30,-03 00 51.7,28.434046,Radio,,,1
66,[TKN2003] A3,04 54 12.74,-03 00 59.2,28.64418,Galaxy,,,1
67,[BKG2010] 5,04 54 12.8310,-03 01 03.476,29.138702,Galaxy,,,1
68,CNOC MS 0451  100920,04 54 10.86,-03 01 36.2,29.206146,GtowardsCl,121078.0,0.5346,1
69,CNOC MS 0451  101144,04 54 12.8260,-03 01 02.200,29.246513,GtowardsCl,,,1
70,CNOC MS 0451  101074,04 54 12.85,-03 01 09.1,29.2848,EmissionG,43158.0,0.156,1
71,[BKG2010] 4,04 54 12.8550,-03 01 09.205,29.367199,Galaxy,,,1
72,[BKG2010] 7,04 54 12.6970,-03 00 54.889,29.516703,Galaxy,,,1
73,CNOC MS 0451  101212,04 54 12.682,-03 00 54.23,29.59602,BlueCompactG,122607.0,0.544,1
74,[BGK2007] Ra1,04 54 12.82,-03 00 58.7,29.933788,Radio,,,1
75,CNOC MS 0451  101242,04 54 09.22,-03 00 50.3,30.202179,GtowardsCl,120456.0,0.5308,1
76,[CWB2011] WLTV J045409.67-030043.0,04 54 09.669,-03 00 43.07,30.20881,BlueCompactG,105446.0,0.444,1
77,[BKG2010] 2,04 54 12.8840,-03 01 01.056,30.307327,Galaxy,,,1
78,[BKG2010] CR2,04 54 12.86,-03 00 59.3,30.352179,Radio,,,1
79,[SPG99] 0451-03 A,04 54 09.080,-03 00 52.69,30.789642,RadioG,,,1
80,[CWB2011] WLTV J045412.79-030052.9,04 54 12.787,-03 00 52.93,31.571527,Galaxy,122657.0,0.54431,1
81,[BKG2010] 3,04 54 12.8860,-03 00 55.685,31.827894,Galaxy,,,1
82,[MSS2014b] 7.b,04 54 12.93,-03 00 57.5,31.857237,LensedG,,,1
83,[LGH99] MS 0456.6-0305 A2,04 54 12.93,-03 00 57.4,31.932621,LensedImage,262981.0,2.91,1
84,[BKG2010] CR1,04 54 12.88,-03 00 53.5,32.58676,Radio,,,1
85,[MET2007] 73.540199-3.011116,04 54 09.648,-03 00 40.02,32.857773,Galaxy,171431.0,0.916,1
86,[LGH99] MS 0456.6-0305 A1,04 54 12.95,-03 00 54.8,33.042145,Galaxy,262999.0,2.911,1
87,ClG 0452-03,04 54 13,-03 00.9,34.03677,ClG,123574.0,0.55,1
88,[BGK2007] Ra2,04 54 12.89,-03 00 50.5,34.070595,Radio,,,1
89,CNOC MS 0451  100896,04 54 11.32,-03 01 40.8,34.380512,GtowardsCl,123734.0,0.551,1
90,CXOU J045412.8-030047,04 54 12.81,-03 00 47.5,34.623695,X,,,1
91,[TKN2003] A2,04 54 12.82,-03 00 47.6,34.691555,Galaxy,,,1
92,[MET2007] 73.542007-3.009571,04 54 10.082,-03 00 34.46,34.770508,GtowardsCl,122607.0,0.544,1
93,[CWB2011] WLTV J045410.47-030141.3,04 54 10.466,-03 01 41.31,34.918324,BlueCompactG,122244.0,0.54176,1
94,[MET2007] 73.536263-3.015160,04 54 08.703,-03 00 54.58,35.174995,GtowardsCl,122607.0,0.544,1
95,[TKN2003] Blue Arc,04 54 13,-03 01.4,35.756035,Unknown,,,1
96,[WSW2010] 8,04 54 12.72,-03 00 43.7,35.862484,Galaxy,234067.0,1.85,1
97,CNOC MS 0451  101381,04 54 10.1823,-03 00 32.500,36.136208,GtowardsCl,122610.0,0.54402,1
98,[MET2007] 73.535370-3.019001,04 54 08.489,-03 01 08.40,36.14194,GtowardsCl,121731.0,0.5386,1
99,[BCD2004] B1,04 54 12.81,-03 00 44.4,36.459717,LensedG,,,1
100,[BKG2010] E1,04 54 12.78,-03 00 43.8,36.486702,Radio,,,1
101,[TKN2003] A1,04 54 12.81,-03 00 44.2,36.584026,Galaxy,,,1
102,[BKG2010] 6,04 54 12.712,-03 00 41.91,36.967518,Galaxy,,,1
103,[MET2007] 73.554771-3.023013,04 54 13.145,-03 01 22.85,37.17632,GtowardsCl,120407.0,0.5305,1
104,[JC2013] MS0451.6-0305 1491,04 54 08.53,-03 01 18.7,37.378925,Galaxy,121454.0,0.5369,1
105,[MET2007] 73.547249-3.008214,04 54 11.340,-03 00 29.57,38.005848,Unknown,,,1
106,[BKG2010] 1,04 54 12.9330,-03 00 41.494,39.723145,Galaxy,,,1
107,[MSS2014b] 4.a,04 54 12.82,-03 00 39.3,39.930386,LensedG,,,1
108,[MET2007] 73.552368-3.009627,04 54 12.568,-03 00 34.66,40.86741,GtowardsCl,120160.0,0.529,1
109,[KZP2008] F5,04 54 10.054,-03 00 27.76,41.235527,GtowardsCl,43412.0,0.157,1
110,[SGM2010] MS0451.6-0305-cand1,04 54 09.968,-03 00 28.18,41.254,Supernova,,,1
111,CNOC MS 0451  101231,04 54 08.2263,-03 00 54.000,42.10696,GtowardsCl,,,1
112,[MSS2014b] 3.a,04 54 13.04,-03 00 39.2,42.431118,LensedG,,,1
113,[MET2007] 73.543991-3.030384,04 54 10.558,-03 01 49.38,42.6885,Galaxy,154218.0,0.766,1
114,[BGK2007] Rc3,04 54 13.16,-03 00 40.7,42.868645,Radio,,,1
115,[MET2007] 73.555710-3.012476,04 54 13.370,-03 00 44.91,43.091434,GtowardsCl,120653.0,0.532,1
116,[TKN2003] G,04 54 13.66,-03 01 21.9,43.94554,Galaxy,,,1
117,[MET2007] 73.551140-3.029658,04 54 12.260,-03 01 45.99,43.99319,GtowardsCl,121828.0,0.5392,1
118,[MSS2014b] 2.a,04 54 13.15,-03 00 38.4,44.202625,LensedG,,,1
119,[TKN2003] B,04 54 13.42,-03 00 43.0,44.73127,Galaxy,,,1
120,CNOC MS 0451  101344,04 54 08.6669,-03 00 37.300,44.732567,GtowardsCl,120653.0,0.532,1
121,[MET2007] 73.535919-3.010576,04 54 08.621,-03 00 38.07,44.747368,GtowardsCl,120653.0,0.532,1
122,[SJV2010] J045408.705-030035.373,04 54 08.70,-03 00 35.5,45.587704,Galaxy,120817.0,0.533,1
123,[CWB2011] WLTV J045412.40-030146.7,04 54 12.395,-03 01 46.76,45.6361,BlueCompactG,129896.0,0.59032,1
