,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ClG 1231.3+1542,12 33 55.3,+15 25 58,0.0,ClG,62122.0,0.234,1
1,2MASX J12335533+1525593,12 33 55.3351,+15 25 59.046,1.1638504,BrightestCG,62122.0,0.234,1
2,DES J123355.99+152547.5,12 33 55.9995,+15 25 47.561,14.53566,GtowardsCl,,,1
3,DES J123356.36+152603.6,12 33 56.3668,+15 26 03.625,16.419052,GtowardsCl,,,1
4,DES J123353.87+152608.3,12 33 53.8730,+15 26 08.379,23.096214,GtowardsCl,,,1
5,DES J123354.69+152619.9,12 33 54.6915,+15 26 19.980,23.675207,GtowardsCl,62157.0,0.23415,1
6,DES J123357.56+152555.7,12 33 57.5700,+15 25 55.761,32.899506,GtowardsCl,,,1
7,SDSS J123352.75+152605.7,12 33 52.7547,+15 26 05.854,37.630135,BrightestCG,55338.0,0.2053,1
8,DES J123355.27+152513.8,12 33 55.2795,+15 25 13.890,44.110737,GtowardsCl,,,1
9,DES J123351.82+152549.3,12 33 51.8250,+15 25 49.328,50.988976,GtowardsCl,,,1
10,DES J123358.87+152610.0,12 33 58.8726,+15 26 10.046,53.041534,GtowardsCl,,,1
11,DES J123352.46+152637.6,12 33 52.4680,+15 26 37.682,57.02102,GtowardsCl,,,1
12,DES J123358.50+152632.7,12 33 58.5018,+15 26 32.763,57.892773,GtowardsCl,,,1
13,DES J123353.84+152503.7,12 33 53.8401,+15 25 03.746,58.21658,GtowardsCl,,,1
14,DES J123354.28+152654.7,12 33 54.2834,+15 26 54.799,58.67052,GtowardsCl,,,1
15,DES J123357.82+152647.8,12 33 57.8210,+15 26 47.859,61.762337,GtowardsCl,,,1
16,DES J123356.86+152655.6,12 33 56.8662,+15 26 55.699,61.983643,GtowardsCl,,,1
17,SDSS J123352.21+152655.0,12 33 52.2109,+15 26 55.098,72.49161,BrightestCG,62096.0,0.23389,1
18,DES J123349.92+152609.3,12 33 49.9260,+15 26 09.357,78.5291,GtowardsCl,,,1
19,DES J123351.34+152708.2,12 33 51.3440,+15 27 08.240,90.58236,GtowardsCl,,,1
20,DES J123356.67+152730.4,12 33 56.6733,+15 27 30.478,94.58614,GtowardsCl,,,1
21,DES J123348.35+152600.5,12 33 48.3508,+15 26 00.568,100.512405,GtowardsCl,,,1
22,2XMMi J123347.9+152547,12 33 47.989,+15 25 46.60,106.32456,GtowardsCl,,,1
23,2XMMi J123349.2+152701,12 33 49.255,+15 27 01.82,108.22233,X,,,1
24,DES J123351.46+152736.5,12 33 51.4700,+15 27 36.594,113.08036,GtowardsCl,,,1
25,DES J123403.40+152521.7,12 34 03.4030,+15 25 21.813,122.62703,GtowardsCl,,,1
26,2XMMi J123349.5+152736,12 33 49.6843,+15 27 37.852,128.69525,X,,,1
27,DES J123401.14+152735.7,12 34 01.1462,+15 27 35.711,129.19792,GtowardsCl,,,1
28,DES J123347.48+152717.7,12 33 47.4899,+15 27 17.720,138.227,GtowardsCl,,,1
29,DES J123404.44+152644.3,12 34 04.4469,+15 26 44.335,140.1347,GtowardsCl,,,1
30,DES J123405.18+152610.7,12 34 05.1898,+15 26 10.791,143.56726,GtowardsCl,,,1
31,2MASS J12340099+1523527,12 34 00.997,+15 23 52.75,149.91377,Low-Mass*,,,1
32,DES J123359.41+152338.8,12 33 59.4117,+15 23 38.849,151.32185,GtowardsCl,,,1
