,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ClG 1603+4313,16 04 23.7,+43 04 52,0.0,ClG,169408.0,0.897,1
1,[PLO2001] J1604+4304 1841,16 04 23.53,+43 04 47.7,4.6860356,GtowardsCl,82792.0,0.3278,1
2,[PLO2001] J1604+4304 1891,16 04 24.21,+43 04 51.8,5.5910454,GtowardsCl,209547.0,1.3757,1
3,[PLO2001] J1604+4304 1956,16 04 23.47,+43 04 57.0,5.5990567,GtowardsCl,105264.0,0.443,1
4,[PLO2001] J1604+4304 2002,16 04 23.72,+43 05 00.9,8.902697,GtowardsCl,169074.0,0.8939,1
5,[PLO2001] J1604+4304 1874,16 04 24.576,+43 04 51.88,9.592776,BlueCompactG,168239.0,0.88619,1
6,[CWB2011] WLTV J160424.41+430446.1,16 04 24.409,+43 04 46.14,9.7328,Galaxy_Candidate,,,1
7,[B2002b] HzCl1604a-450.1,16 04 23.80,+43 04 38.1,13.943112,smmRad,,,1
8,[RKG2013] Cl 1604A BCG,16 04 25.00,+43 04 52.3,14.245706,BrightestCG,,,1
9,[PLO2001] J1604+4304 1888,16 04 25.04,+43 04 51.5,14.689318,GtowardsCl,169344.0,0.8964,1
10,[SLZ2020] SC1604 561,16 04 25.10,+43 04 50.5,15.411362,RadioG,169731.0,0.9,1
11,[B2002b] HzCl1604a-850.1,16 04 23.93,+43 04 35.5,16.691317,smmRad,,,1
12,[RLT2017] SCJ1604  3,16 04 24.00,+43 04 35.1,17.216663,AGN,169623.0,0.899,1
13,SCP 06M50,16 04 25.300,+43 04 51.85,17.529947,Supernova,,,1
14,[B2002b] HzCl1604a-450.2,16 04 22.92,+43 05 07.4,17.611958,smmRad,,,1
15,[PLO2001] J1604+4304 1886,16 04 25.35,+43 04 51.3,18.090668,GtowardsCl,169322.0,0.8962,1
16,[CWB2011] WLTV J160422.21+430506.2,16 04 22.214,+43 05 06.26,21.638262,BlueCompactG,170616.0,0.9083,1
17,[B2002b] HzCl1604a-850.3,16 04 22.82,+43 05 12.1,22.292435,smmRad,,,1
18,[CWB2011] WLTV J160424.64+430427.4,16 04 24.640,+43 04 27.42,26.646545,AGN,169252.0,0.89555,1
19,[YT2003] u2845-089,16 04 21.3952,+43 04 35.810,29.996227,Galaxy,,,1
