,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ClG J0603.3+4214,06 03.3,+42 14,0.0,ClG,60722.0,0.228,1
1,[GDW2019] J090.81636376+42.23618955,06 03 15.9273,+42 14 10.282,25.211401,Galaxy,62205.0,0.234357,1
2,[GDW2019] J090.81780344+42.23802275,06 03 16.2728,+42 14 16.881,25.55257,Galaxy,58778.0,0.219737,1
3,[GDW2019] J090.82452569+42.24094185,06 03 17.8861,+42 14 27.390,27.419819,Galaxy,88596.0,0.356095,1
4,[GDW2019] J090.83118570+42.23951419,06 03 19.4845,+42 14 22.251,27.6936,Galaxy,60147.0,0.225547,1
5,[GDW2019] J090.82584759+42.24267278,06 03 18.2034,+42 14 33.622,33.697815,Galaxy,88691.0,0.356563,1
6,[GDW2019] J090.81312842+42.23793476,06 03 15.1508,+42 14 16.565,35.71619,Galaxy,61420.0,0.230987,1
7,[GDW2019] J090.83775598+42.22702406,06 03 21.0614,+42 13 37.286,40.891033,Galaxy,58750.0,0.219619,1
8,[GDW2019] J090.81042432+42.23688724,06 03 14.5018,+42 14 12.794,40.902664,Galaxy,61471.0,0.231205,1
9,[GDW2019] J090.84061743+42.23023758,06 03 21.7481,+42 13 48.855,43.0951,Galaxy,60525.0,0.227158,1
10,LEDA 2195075,06 03 16.6754,+42 14 41.611,44.134277,Galaxy,60597.0,0.227468,1
11,RELICS wfc3ir RXS J060313.4+4212 N 7437,06 03 14.4755,+42 14 21.133,44.482693,Galaxy,286859.0,5.735,1
12,[GDW2019] J090.80663788+42.23151454,06 03 13.5930,+42 13 53.452,49.380756,Galaxy,61862.0,0.232881,1
13,[GDW2019] J090.83774489+42.24705558,06 03 21.0587,+42 14 49.400,59.95141,Galaxy,124112.0,0.553358,1
14,[GDW2019] J090.84716059+42.23853575,06 03 23.3185,+42 14 18.728,61.964516,Galaxy,60839.0,0.228501,1
15,[GDW2019] J090.81758054+42.24997135,06 03 16.2193,+42 14 59.896,63.076466,Galaxy,59471.0,0.222671,1
16,[GDW2019] J090.83159040+42.25024927,06 03 19.5817,+42 15 00.897,63.37976,Galaxy,61322.0,0.230565,1
17,[GDW2019] J090.84550274+42.22351533,06 03 22.9206,+42 13 24.655,65.08705,Galaxy,61678.0,0.232091,1
18,[GDW2019] J090.80712127+42.22093117,06 03 13.7091,+42 13 15.352,65.30638,Galaxy,116462.0,0.506821,1
19,[GDW2019] J090.81923948+42.25289207,06 03 16.6174,+42 15 10.411,72.06569,Galaxy,61631.0,0.231891,1
20,1RXS J060322.3+421305,06 03 22.3,+42 13 05,72.84403,X,,,1
21,[GDW2019] J090.81517887+42.25251578,06 03 15.6429,+42 15 09.056,73.850716,Galaxy,59171.0,0.221401,1
22,[GDW2019] J090.85283729+42.22949841,06 03 24.6809,+42 13 46.194,75.47564,Galaxy,61396.0,0.230884,1
23,[GDW2019] J090.85326846+42.24359343,06 03 24.7844,+42 14 36.936,83.90997,Galaxy,61296.0,0.230455,1
24,[GDW2019] J090.79772290+42.22115810,06 03 11.4535,+42 13 16.169,84.90255,Galaxy,61969.0,0.233341,1
25,[GDW2019] J090.83347410+42.25684135,06 03 20.0337,+42 15 24.628,87.59026,Galaxy,62059.0,0.23373,1
