,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ClG J0848+4456,08 48 46.9,+44 56 22,0.0,ClG,126747.0,0.57,1
1,DES J084846.80+445631.2,08 48 46.8011,+44 56 31.262,9.321581,GtowardsCl,126709.0,0.56976,1
2,SDSS J084847.99+445615.1,08 48 47.991,+44 56 15.14,13.461392,BrightestCG,117720.0,0.5143,1
3,DES J084848.63+445611.9,08 48 48.6329,+44 56 11.975,20.953938,GtowardsCl,,,1
4,DES J084848.81+445630.4,08 48 48.8184,+44 56 30.419,22.040653,GtowardsCl,,,1
5,DES J084849.71+445623.4,08 48 49.7149,+44 56 23.473,29.924204,GtowardsCl,,,1
6,CXOSEXSI J084845.4+445651,08 48 45.45,+44 56 52.8,34.433064,EmissionG,206461.0,1.329,1
7,ClG J0848+4455,08 48 48.76,+44 55 49.6,37.94534,ClG,122445.0,0.543,1
8,NAME Lynx Arc,08 48 48.76,+44 55 48.6,38.802715,LensedImage,269775.0,3.356,1
9,SDSS J084849.29+445548.3,08 48 49.295,+44 55 48.16,42.33106,BrightestCG,129427.0,0.58726,1
10,NVSS J084849+445553,08 48 49.6,+44 55 50,42.562847,Radio,,,1
11,SDSS J084849.31+445543.4,08 48 49.320,+44 55 43.47,46.312466,BrightestCG,122626.0,0.54412,1
12,[MCR2002] EES-Lynx 4,08 48 48.93,+44 57 09.0,51.70566,Galaxy,,,1
13,EES 109,08 48 52.7,+44 56 13,62.238773,Star,,,1
14,DES J084846.37+445724.0,08 48 46.3757,+44 57 24.094,62.34269,GtowardsCl,,,1
15,EES 118,08 48 50.8,+44 55 34,63.39669,GtowardsCl,206393.0,1.328,1
16,DES J084847.28+445515.2,08 48 47.2810,+44 55 15.241,66.88177,GtowardsCl,,,1
17,DES J084853.24+445638.0,08 48 53.2403,+44 56 38.075,69.20993,GtowardsCl,,,1
18,CXOSEXSI J084840.1+445605,08 48 40.16,+44 56 05.7,73.399605,X,,,1
19,[STS2002] 136,08 48 40.15,+44 56 05.4,73.5703,X,,,1
20,DES J084852.28+445531.8,08 48 52.2815,+44 55 31.848,76.03271,GtowardsCl,,,1
21,DES J084853.32+445540.5,08 48 53.3256,+44 55 40.598,79.81066,GtowardsCl,,,1
22,EES 162,08 48 50.2,+44 55 10,80.07585,GtowardsCl,192167.0,1.138,1
23,DES J084841.33+445526.8,08 48 41.3319,+44 55 26.846,80.85895,GtowardsCl,,,1
24,EES 167,08 48 46.8,+44 55 01,81.00696,GtowardsCl,200154.0,1.24,1
25,DES J084848.10+445456.9,08 48 48.1008,+44 54 56.916,86.03477,GtowardsCl,126697.0,0.56968,1
26,EES 148,08 48 52.9,+44 55 21,88.20861,GtowardsCl,202560.0,1.273,1
27,CXOSEXSI J084845.1+445453,08 48 45.18,+44 54 54.6,89.28844,EmissionG,181303.0,1.015,1
28,[STS2002]  49,08 48 45.17,+44 54 53.0,90.87661,EmissionG,181491.0,1.017,1
29,EES 262,08 48 42.0,+44 55 02,95.43523,Unknown,,,1
30,[JCT2014] 1533,08 48 40.81,+44 55 11.5,95.66874,Galaxy,202911.0,1.2779,1
31,[VV2006] J084840.6+445732,08 48 40.6380,+44 57 33.043,97.29469,QSO,266419.0,3.118974,1
32,[STS2002]  45,08 48 52.36,+44 57 45.1,101.31709,X,,,1
33,CXOSEXSI J084852.3+445744,08 48 52.39,+44 57 46.0,102.2377,X,,,1
34,EES 305,08 48 56.3,+44 55 51,104.51797,GtowardsCl,197893.0,1.21,1
35,[STS2002] 135,08 48 37.03,+44 56 04.7,106.22041,X,,,1
36,CXOSEXSI J084836.9+445605,08 48 36.99,+44 56 05.2,106.559395,X,,,1
37,DES J084855.76+445529.1,08 48 55.7652,+44 55 29.139,107.96723,GtowardsCl,,,1
38,DES J084857.09+445629.0,08 48 57.0970,+44 56 29.019,108.49507,GtowardsCl,,,1
39,2XMM J084837.6+445712,08 48 37.626,+44 57 12.19,110.51212,Seyfert1,126590.0,0.569,1
40,EES  55,08 48 57.1,+44 56 48,111.37219,GtowardsCl,126590.0,0.569,1
41,[STS2002] 127,08 48 40.31,+44 54 55.3,111.42231,X,,,1
42,EES 181,08 48 45.5,+44 54 31,111.99145,GtowardsCl,202345.0,1.27,1
43,CXOSEXSI J084843.2+445806,08 48 43.25,+44 58 07.2,112.10809,AGN,126118.0,0.566,1
44,[JCT2014] 887,08 48 45.58,+44 54 30.3,112.52765,Galaxy,147793.0,0.716,1
45,[JCT2014] 661,08 48 47.17,+44 54 28.3,113.7754,Galaxy,163705.0,0.8455,1
46,EES  82,08 48 57.73,+44 56 09.5,115.6717,EmissionG,134510.0,0.621,1
47,[MCR2002] EES-Lynx 3,08 48 42.81,+44 54 34.0,116.408226,Galaxy,,,1
48,US 1694,08 48 44.7901,+44 54 27.021,117.14131,Star,,,1
49,[STS2002] 143,08 48 48.25,+44 58 20.3,119.16475,X,,,1
50,2XMM J084840.3+445801,08 48 40.406,+44 58 01.01,120.644455,AGN,147793.0,0.716,1
51,[OAU2003]  4,08 48 38.5,+44 57 51,125.98553,X,,,1
52,[RLT2017] ClJ0849 2,08 48 58.80,+44 56 21.8,126.352104,AGN,201840.0,1.263,1
53,[STS2002]  53,08 48 37.75,+44 57 44.7,127.57039,X,,,1
54,[JCT2014] 361,08 48 49.26,+44 54 16.8,127.6677,Galaxy,206427.0,1.3285,1
55,CXOSEXSI J084837.7+445743,08 48 37.76,+44 57 45.0,127.68433,X,,,1
56,[JCT2014] 1173,08 48 42.72,+44 54 16.9,132.74216,Galaxy,190345.0,1.1162,1
57,DES J084859.60+445554.2,08 48 59.6034,+44 55 54.293,137.70714,GtowardsCl,,,1
58,[B2002b] HzCl0848-850.1,08 48 40.38,+44 54 21.0,139.41425,smmRad,,,1
59,CXOSEXSI J084846.5+445358,08 48 46.61,+44 53 59.8,142.23335,EmissionG,187487.0,1.083,1
60,CXOSEXSI J084858.9+445514,08 48 58.90,+44 55 14.1,144.39523,X,,,1
61,[STS2002] 128,08 48 58.93,+44 55 14.1,144.67648,Galaxy,122283.0,0.542,1
62,EES 451,08 48 40.0,+44 54 13,148.36372,GtowardsCl,207201.0,1.34,1
63,[STS2002] 165,08 48 58.64,+44 57 50.9,153.08464,X,,,1
64,[NKS2005] gr2,08 49 01.3,+44 56 33,153.28752,GroupG,,,1
65,CXOSEXSI J084858.6+445751,08 48 58.63,+44 57 52.2,153.75693,X,,,1
66,2MASS J08484740+4453474,08 48 47.3943,+44 53 47.211,154.87773,Star,,,1
67,WSTB 64W393,08 48 50.28,+44 58 53.4,155.59235,Radio,,,1
68,[STS2002] 207,08 48 35.12,+44 57 57.1,157.10269,X,,,1
69,[STS2002] 164,08 48 32.74,+44 57 10.8,158.05272,Galaxy,152202.0,0.75,1
70,CXOSEXSI J084832.7+445711,08 48 32.75,+44 57 12.2,158.38939,EmissionG,152075.0,0.749,1
71,[JCT2014] 1044,08 48 43.28,+44 53 47.9,158.8105,Galaxy,122607.0,0.544,1
72,2XMM J084858.0+445435,08 48 58.1403,+44 54 35.233,160.15707,Seyfert1,127013.0,0.5717,1
73,[SCG2014] 1250,08 48 37.341,+44 54 15.60,162.1253,Galaxy,,,1
74,[MCR2002] EES-Lynx 2,08 48 43.60,+44 53 43.0,162.81787,Galaxy,,,1
75,[JCT2014] 2600,08 48 33.00,+44 55 11.8,163.4848,Galaxy,199311.0,1.2287,1
76,[STS2002] 139,08 48 31.49,+44 56 34.2,164.06978,Star,,,1
77,CXOSEXSI J084831.4+445634,08 48 31.48,+44 56 34.1,164.16829,X,,,1
78,[JCT2014] 654,08 48 46.74,+44 53 36.1,165.91296,Galaxy,201695.0,1.261,1
79,CXOSEXSI J084853.8+445351,08 48 53.85,+44 53 52.7,166.55312,EmissionG,148977.0,0.725,1
80,[JCT2014] 1644,08 48 38.03,+44 54 02.3,168.4934,Galaxy,202553.0,1.2729,1
81,EES 108,08 48 36.16,+44 54 17.2,169.12602,Galaxy,202854.0,1.2771,1
82,EES 200,08 48 53.32,+44 53 46.6,169.6894,GtowardsCl,181189.0,1.0138,1
