,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ClG J1216-1201,12 16 45.10,-12 01 17.3,0.0,ClG,157658.0,0.794,1
1,EDCS J1216453-1201176,12 16 45.26,-12 01 17.6,2.3664594,GtowardsCl,157839.0,0.7955,1
2,EDCS J1216454-1201159,12 16 45.31,-12 01 15.6,3.5188181,GtowardsCl,,,1
3,EDCS J1216449-1201203,12 16 44.87,-12 01 20.3,4.515101,GtowardsCl,158800.0,0.8035,1
4,EDCS J1216453-1201209,12 16 45.32,-12 01 20.9,4.835034,GtowardsCl,159027.0,0.8054,1
5,EDCS J1216446-1201164,12 16 44.6,-12 01 16,7.449829,GtowardsCl,,,1
6,EDCS J1216450-1201253,12 16 45.0,-12 01 25,7.838519,GtowardsCl,,,1
7,EDCS J1216447-1201234,12 16 44.72,-12 01 23.4,8.263801,GtowardsCl,157718.0,0.7945,1
8,EDCS J1216455-1201110,12 16 45.5,-12 01 11,8.609794,GtowardsCl,,,1
9,EDCS J1216454-1201252,12 16 45.4,-12 01 25,8.869126,GtowardsCl,,,1
10,EDCS J1216445-1201132,12 16 44.5,-12 01 13,9.796763,GtowardsCl,,,1
11,EDCS J1216457-1201228,12 16 45.7,-12 01 23,10.486934,GtowardsCl,,,1
12,EDCS J1216446-1201089,12 16 44.59,-12 01 08.9,11.24919,GtowardsCl,158393.0,0.8001,1
13,EDCS J1216443-1201201,12 16 44.3,-12 01 20,12.043377,GtowardsCl,,,1
14,EDCS J1216456-1201080,12 16 45.65,-12 01 08.0,12.312619,GtowardsCl,159075.0,0.8058,1
15,EDCS J1216447-1201282,12 16 44.70,-12 01 28.2,12.379335,GtowardsCl,156747.0,0.7865,1
16,EDCS J1216445-1201075,12 16 44.53,-12 01 07.5,12.883014,GtowardsCl,157585.0,0.7934,1
17,EDCS J1216453-1201300,12 16 45.3,-12 01 30,13.034549,GtowardsCl,,,1
18,EDCS J1216442-1201187,12 16 44.2,-12 01 19,13.312916,GtowardsCl,,,1
19,EDCS J1216448-1201309,12 16 44.84,-12 01 30.9,14.124801,GtowardsCl,158189.0,0.7984,1
20,EDCS J1216452-1201317,12 16 45.2,-12 01 32,14.773028,GtowardsCl,,,1
21,EDCS J1216458-1201283,12 16 45.8,-12 01 28,14.830921,GtowardsCl,,,1
22,EDCS J1216461-1201143,12 16 46.10,-12 01 14.3,14.974652,GtowardsCl,158345.0,0.7997,1
23,[GBA2014] 3.1,12 16 45.52,-12 01 03.1,15.481764,LensedImage,264523.0,3.0,1
24,[GBA2014] 2.1,12 16 45.56,-12 01 03.3,15.5780945,LensedImage,264523.0,3.0,1
25,[GBA2014] 4.2,12 16 46.01,-12 01 09.2,15.6249075,LensedImage,,,1
26,EDCS J1216458-1201056,12 16 45.83,-12 01 05.6,15.861669,GtowardsCl,157428.0,0.7921,1
27,[GBA2014] 4.1,12 16 46.12,-12 01 11.1,16.190193,LensedImage,,,1
28,[GBA2014] 1.2,12 16 44.16,-12 01 26.0,16.267582,LensedImage,264523.0,3.0,1
29,EDCS J1216443-1201293,12 16 44.3,-12 01 29,16.572315,GtowardsCl,,,1
30,[GBA2014] 1.1,12 16 46.05,-12 01 07.6,16.932838,LensedImage,264523.0,3.0,1
31,[JBZ2006] Cl J1216 X46,12 16 44,-12 01.2,16.986208,X,,,1
32,[GBA2014] 2.2,12 16 44.84,-12 01 34.0,17.128807,LensedImage,264523.0,3.0,1
33,[GBA2014] 3.2,12 16 45.00,-12 01 34.7,17.43603,LensedImage,264523.0,3.0,1
34,EDCS J1216463-1201243,12 16 46.3,-12 01 24,18.837006,GtowardsCl,,,1
35,EDCS J1216454-1201370,12 16 45.4,-12 01 37,20.185667,GtowardsCl,,,1
36,EDCS J1216464-1201085,12 16 46.4,-12 01 09,20.80019,GtowardsCl,,,1
37,EDCS J1216458-1200585,12 16 45.7254,-12 00 58.552,20.872639,Star,,,1
38,EDCS J1216453-1201386,12 16 45.3,-12 01 39,21.897474,GtowardsCl,,,1
39,EDCS J1216443-1201361,12 16 44.3,-12 01 36,22.078058,GtowardsCl,,,1
40,EDCS J1216462-1201007,12 16 46.2,-12 01 01,22.937616,GtowardsCl,,,1
41,EDCS J1216441-1201347,12 16 44.1,-12 01 35,22.989685,GtowardsCl,,,1
42,EDCS J1216443-1201384,12 16 44.33,-12 01 38.4,23.933716,GtowardsCl,156699.0,0.7861,1
43,EDCS J1216467-1201112,12 16 46.7,-12 01 11,24.30446,GtowardsCl,,,1
44,EDCS J1216468-1201208,12 16 46.8,-12 01 21,25.213684,GtowardsCl,,,1
45,EDCS J1216447-1201434,12 16 44.7,-12 01 43,26.361475,GtowardsCl,,,1
46,EDCS J1216453-1200507,12 16 45.3,-12 00 51,26.463179,GtowardsCl,,,1
47,EDCS J1216469-1201241,12 16 46.90,-12 01 23.9,27.220055,GtowardsCl,157295.0,0.791,1
48,EDCS J1216443-1201429,12 16 44.35,-12 01 42.9,27.864477,GtowardsCl,157392.0,0.7918,1
49,EDCS J1216470-1201180,12 16 47.0,-12 01 18,27.883762,GtowardsCl,,,1
50,EDCS J1216470-1201216,12 16 47.0,-12 01 22,28.268373,GtowardsCl,,,1
51,EDCS J1216462-1201409,12 16 46.2,-12 01 41,28.672695,GtowardsCl,,,1
52,EDCS J1216465-1201382,12 16 46.5,-12 01 38,29.16077,GtowardsCl,,,1
53,EDCS J1216437-1201392,12 16 43.7,-12 01 39,29.878923,GtowardsCl,,,1
54,EDCS J1216438-1200536,12 16 43.80,-12 00 53.6,30.42127,GtowardsCl,157718.0,0.7945,1
55,EDCS J1216441-1200500,12 16 44.1,-12 00 50,30.992508,GtowardsCl,,,1
56,EDCS J1216459-1201462,12 16 45.9,-12 01 46,31.007084,GtowardsCl,,,1
57,EDCS J1216469-1200598,12 16 46.9,-12 01 00,31.570217,GtowardsCl,,,1
58,EDCS J1216469-1200585,12 16 46.9,-12 00 59,32.129105,GtowardsCl,,,1
59,EDCS J1216474-1201197,12 16 47.4,-12 01 20,33.851204,GtowardsCl,,,1
60,EDCS J1216432-1200576,12 16 43.2,-12 00 58,33.904575,GtowardsCl,,,1
