,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,EXSS 1201.3+0205,12 03 52.800,+01 47 06.50,0.00040000002,ClG,62760.0,0.23675,1
1,SDSS J120353.46+014700.4,12 03 53.4603,+01 47 00.452,11.601592,GtowardsCl,62756.0,0.23673,1
2,GAMA 289002,12 03 54.157,+01 47 02.63,20.712126,GtowardsCl,62538.0,0.23579,1
3,DES J120352.36+014727.7,12 03 52.3629,+01 47 27.770,22.256739,GtowardsCl,,,1
4,GAMA 289001,12 03 54.1590,+01 46 51.066,25.560892,GtowardsCl,62941.0,0.23753,1
5,DES J120350.97+014631.2,12 03 50.9756,+01 46 31.205,44.653095,GtowardsCl,,,1
6,DES J120349.86+014720.7,12 03 49.8625,+01 47 20.722,46.279926,GtowardsCl,,,1
7,SDSS J120356.13+014656.2,12 03 56.135,+01 46 56.22,51.046593,GtowardsCl,62161.0,0.23417,1
8,DES J120356.25+014658.3,12 03 56.2572,+01 46 58.368,52.467606,GtowardsCl,,,1
9,SDSS J120353.54+014801.1,12 03 53.5434,+01 48 01.119,55.745304,BrightestCG,63614.0,0.24044,1
10,DES J120350.24+014747.1,12 03 50.2489,+01 47 47.112,55.78742,GtowardsCl,,,1
11,DES J120353.75+014801.9,12 03 53.7579,+01 48 01.940,57.270187,GtowardsCl,,,1
12,DES J120349.22+014729.2,12 03 49.2248,+01 47 29.340,58.265163,GtowardsCl,,,1
13,DES J120354.06+014610.9,12 03 54.0682,+01 46 10.937,58.726444,GtowardsCl,,,1
14,SDSS J120350.72+014756.5,12 03 50.7233,+01 47 56.567,58.959034,GtowardsCl,63082.0,0.23814,1
15,GAMA 289045,12 03 55.932,+01 46 30.63,59.09235,GtowardsCl,63098.0,0.23821,1
16,DES J120349.88+014625.5,12 03 49.8803,+01 46 25.518,59.96404,GtowardsCl,,,1
17,DES J120349.33+014738.8,12 03 49.3387,+01 47 38.887,61.17185,GtowardsCl,,,1
18,DES J120350.08+014616.8,12 03 50.0843,+01 46 16.923,64.15211,GtowardsCl,,,1
19,SDSS J120357.12+014657.4,12 03 57.122,+01 46 57.44,65.42889,Galaxy,68452.0,0.26166,1
20,SDSS J120350.64+014559.7,12 03 50.6431,+01 45 59.780,74.14318,GtowardsCl,68612.0,0.26237,1
21,DES J120352.12+014542.8,12 03 52.1299,+01 45 42.801,84.30002,GtowardsCl,,,1
22,SDSS J120357.05+014608.2,12 03 57.0527,+01 46 08.229,86.37592,GtowardsCl,62519.0,0.23571,1
23,DES J120358.56+014700.5,12 03 58.5605,+01 47 00.555,86.5697,GtowardsCl,,,1
24,DES J120347.07+014721.0,12 03 47.0682,+01 47 21.112,87.16836,GtowardsCl,,,1
25,DES J120348.26+014802.9,12 03 48.2609,+01 48 02.945,88.415115,GtowardsCl,,,1
26,DES J120357.02+014814.7,12 03 57.0220,+01 48 14.724,93.066284,GtowardsCl,,,1
27,DES J120359.23+014705.3,12 03 59.2339,+01 47 05.390,96.46879,GtowardsCl,,,1
28,DES J120348.64+014551.6,12 03 48.6488,+01 45 51.680,97.32125,GtowardsCl,,,1
29,2XMM J120345.8+014707,12 03 45.8502,+01 47 07.415,104.19973,BrightestCG,68407.0,0.26146,1
30,DES J120347.09+014813.8,12 03 47.0919,+01 48 13.948,108.96414,GtowardsCl,,,1
31,[SPD2011] 124,12 03 54.4,+01 48 58,113.53515,ClG,79763.0,0.3134,1
32,SDSS J120354.36+014857.6,12 03 54.3586,+01 48 57.684,113.613235,Galaxy,62438.0,0.23536,1
33,DES J120353.71+014900.0,12 03 53.7155,+01 49 00.049,114.37605,GtowardsCl,,,1
34,[VV2006c] J120355.6+014516,12 03 55.6338,+01 45 16.220,118.18119,Seyfert2,60851.0,0.22855,1
35,DES J120355.77+014857.0,12 03 55.7739,+01 48 57.037,119.190895,GtowardsCl,,,1
36,2dFGRS TGN382Z169,12 03 55.82,+01 45 15.4,119.97226,Galaxy,60839.0,0.2285,1
37,DES J120351.00+014508.8,12 03 51.0094,+01 45 08.893,120.632515,GtowardsCl,,,1
38,GAMA 289004,12 03 54.5246,+01 49 06.194,122.455215,GtowardsCl,63664.0,0.24066,1
39,SDSS J120356.10+014514.1,12 03 56.1045,+01 45 14.145,122.79301,Galaxy,61283.0,0.2304,1
40,DES J120357.75+014845.5,12 03 57.7488,+01 48 45.574,123.77795,GtowardsCl,,,1
41,DES J120354.32+014916.3,12 03 54.3216,+01 49 16.329,131.81807,GtowardsCl,,,1
42,DES J120343.70+014741.6,12 03 43.7098,+01 47 41.623,140.74016,GtowardsCl,,,1
43,DES J120401.52+014532.4,12 04 01.5224,+01 45 32.434,161.09035,GtowardsCl,,,1
44,DES J120402.02+014830.4,12 04 02.0215,+01 48 30.428,161.73473,GtowardsCl,,,1
45,SDSS J120359.16+014454.3,12 03 59.1577,+01 44 54.418,162.88564,GtowardsCl,63193.0,0.23862,1
46,DES J120345.86+014446.1,12 03 45.8610,+01 44 46.105,174.73969,GtowardsCl,,,1
47,SDSS J120348.97+014416.3,12 03 48.972,+01 44 16.35,179.56883,Galaxy,68218.0,0.26062,1
48,DES J120403.06+014844.8,12 04 03.0664,+01 48 44.838,182.65233,GtowardsCl,,,1
49,DES J120401.56+014914.6,12 04 01.5625,+01 49 14.685,183.54904,GtowardsCl,,,1
50,LEDA 1207490,12 03 51.930,+01 50 09.89,183.85435,AGN_Candidate,5633.0,0.01897,1
51,NVSS J120405+014605,12 04 04.935,+01 46 04.34,192.26317,Radio,,,1
52,SDSS J120405.62+014717.4,12 04 05.6232,+01 47 17.389,192.56335,GtowardsCl,64408.0,0.24389,1
53,DES J120404.02+014840.8,12 04 04.0230,+01 48 40.857,192.91231,GtowardsCl,,,1
54,SDSS J120359.10+014956.1,12 03 59.106,+01 49 56.14,194.2063,AGN_Candidate,6315.0,0.02129,1
55,DES J120342.79+014458.6,12 03 42.7998,+01 44 58.606,197.06917,GtowardsCl,,,1
56,DES J120405.74+014631.8,12 04 05.7429,+01 46 31.868,197.11647,GtowardsCl,,,1
57,DES J120355.77+014353.9,12 03 55.7748,+01 43 53.997,197.60265,GtowardsCl,,,1
58,DES J120356.79+015017.5,12 03 56.7956,+01 50 17.504,200.17746,GtowardsCl,,,1
59,SDSS J120355.18+014348.9,12 03 55.187,+01 43 48.97,200.74583,QSO,263227.0,2.924,1
60,DES J120404.71+014517.3,12 04 04.7133,+01 45 17.398,209.29964,GtowardsCl,,,1
61,SDSS J120401.53+014953.4,12 04 01.5298,+01 49 53.470,212.15459,Galaxy,50171.0,0.18405,1
62,2XMM J120406.9+014644,12 04 06.8849,+01 46 45.209,212.2422,BrightestCG,63701.0,0.24082,1
63,2dFGRS TGN382Z186,12 03 44.3723,+01 50 09.588,222.45428,GtowardsCl,5739.0,0.01933,1
64,SDSS J120407.80+014722.3,12 04 07.8008,+01 47 22.312,225.45886,Galaxy,44795.0,0.16247,1
65,DES J120407.86+014700.6,12 04 07.8616,+01 47 00.652,225.88992,GtowardsCl,,,1
66,SDSS J120337.58+014629.4,12 03 37.585,+01 46 29.46,231.10248,Galaxy,62110.0,0.23395,1
67,GAMA 289009,12 03 56.9116,+01 50 50.055,231.89883,GtowardsCl,61768.0,0.23248,1
68,DES J120403.58+014953.7,12 04 03.5777,+01 49 53.672,232.50104,GtowardsCl,,,1
69,DES J120357.02+015057.3,12 03 57.0222,+01 50 57.404,239.42465,GtowardsCl,,,1
