,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,GHCG 174,23 53 35.66,+07 56 20.6,0.062700264,GroupG,5256.0,0.01769,1
1,[DMP2012] 85,23 53 35.0,+07 59 10,169.6835,Compact_Gr_G,5218.0,0.01756,1
2,Gaia DR3 2746579771307065344,23 53 33.5024,+07 53 15.721,187.63681,WhiteDwarf_Candidate,,,1
3,USGC U860,23 53 20.9,+07 55 50,221.40504,GroupG,5305.0,0.017856,1
4,1RXS J235334.9+080025,23 53 34.901,+08 00 25.49,245.14941,X,,,1
5,RASSCALS SRGb047,23 53 19.7,+07 55 15,246.018,GroupG,5199.0,0.017495,1
6,GALEX J235319.2+075527,23 53 19.2684,+07 55 26.435,249.47287,WhiteDwarf,45.33,0.000151,1
7,NGC  7779,23 53 26.7798,+07 52 32.369,263.6216,GtowardsGroup,5137.0,0.017285,1
8,NOGG H 1087,23 53 26.0,+07 52 33,269.0732,GroupG,5416.0,0.018233,1
9,FIRST J235351.4+075835,23 53 51.4,+07 58 35,269.70016,Radio,,,1
10,SN 2003gl,23 53 53.99,+07 57 23.7,279.52417,Supernova,,,1
11,2MASX J23535429+0757368,23 53 54.294,+07 57 36.81,287.12268,Galaxy,,,1
12,HIPASS J2353+07,23 53 55.1,+07 56 25,288.83826,HI,5146.2,0.017316,1
13,NGC  7782,23 53 53.8783,+07 58 14.183,293.5143,LINER,5357.0,0.018032,1
14,LAMOST J235354.89+075802.0,23 53 54.895,+07 58 02.09,303.23822,Galaxy,5217.0,0.017555,1
15,NGC  7781,23 53 45.9944,+07 51 37.828,321.7702,GtowardsGroup,5513.0,0.01856,1
16,TYC 1171-959-1,23 53 15.823,+07 53 41.43,334.95422,Star,,,1
17,NGC  7778,23 53 19.6650,+07 52 15.319,341.5222,GtowardsGroup,5209.0,0.01753,1
18,PB  5572,23 53 11.2361,+07 56 52.763,364.26492,WhiteDwarf_Candidate,,,1
19,TYC 1171-715-1,23 53 38.0512,+07 50 17.079,365.25308,Star,-8.13,-2.7e-05,1
20,AGC 335005,23 53 30.4,+07 49 58,390.50067,Galaxy,5109.0,0.01719,1
21,LEDA 1337873,23 53 31.4,+08 03 26,430.0806,Galaxy,,,1
22,SDSS J235312.81+080158.7,23 53 12.813,+08 01 58.73,479.07358,QSO,206586.0,1.330858,1
