,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,HCG   7,00 39 15.9,+00 53 17,0.0,Compact_Gr_G,4197.0,0.0141,1
1,SDSS J003914.77+005248.2,00 39 14.771,+00 52 48.24,33.374596,QSO,239175.0,1.981815,1
2,NGC   197,00 39 18.7935,+00 53 31.087,45.62756,GinPair,4231.0,0.014213,1
3,SDSS J003918.49+005415.9,00 39 18.5029,+00 54 16.035,70.776405,Star,-39.0,-0.00013,1
4,SDSS J003916.41+005429.3,00 39 16.419,+00 54 29.59,73.00616,EmissionG,65298.0,0.24777,1
5,[TMD2009] HCG   7  2,00 39 16.20,+00 54 38.0,81.10893,UV,,,1
6,NGC   192,00 39 13.4,+00 51 51,93.61281,RadioG,4307.0,0.01447,1
7,NGC   196,00 39 17.8424,+00 54 45.971,93.62028,GtowardsGroup,4209.0,0.01414,1
8,USGC U024,00 39 22.07,+00 52 43.8,98.33619,GroupG,4236.0,0.01423,1
9,[TMD2009] HCG   7  7,00 39 08.80,+00 53 06.9,106.920784,UV,,,1
10,[VV2003c] J003922.1+005412,00 39 22.1,+00 54 12,108.03651,Seyfert1,87362.0,0.35,1
11,SDSS J003922.12+005216.8,00 39 22.1198,+00 52 16.916,110.96162,QSO,220799.0,1.567167,1
12,SDSS J003913.46+005131.9,00 39 13.4746,+00 51 31.826,111.28621,Galaxy,3981.0,0.01337,1
13,[TMD2009] HCG   7  6,00 39 22.75,+00 54 11.1,116.11532,UV,,,1
14,[LSL2000] 0036.8+00.61,00 39.4,+00 53,122.66916,ClG,4300.0,0.014448,1
15,[TMD2009] HCG   7  4,00 39 23.26,+00 54 31.4,133.11421,UV,,,1
16,WiggleZ R01J003924485+00541585,00 39 24.4943,+00 54 15.750,141.65547,Galaxy,87703.0,0.35168,1
17,[TMD2009] HCG   7  3,00 39 07.40,+00 55 00.4,164.18263,UV,,,1
18,SDSS J003905.83+005425.5,00 39 05.831,+00 54 25.54,165.83792,QSO,259314.0,2.71653,1
19,[TMD2009] HCG   7  1,00 39 19.31,+00 56 17.0,187.15158,UV,,,1
20,SDSS J003927.13+005152.8,00 39 27.130,+00 51 52.87,188.27559,QSO,251534.0,2.38,1
21,2MASS J00390713+0055380,00 39 07.1421,+00 55 38.114,192.78612,Low-Mass*,-27.032,-9e-05,1
22,2MASS J00390740+0055464,00 39 07.4147,+00 55 46.556,196.3744,Low-Mass*,2.904,1e-05,1
23,2MASS J00391546+0056331,00 39 15.4680,+00 56 33.320,196.42761,GtowardsCl,4182.0,0.01405,1
24,[TMD2009] HCG   7  9,00 39 25.08,+00 50 48.0,202.91426,UV,,,1
25,2MASS J00392919+0053572,00 39 29.2064,+00 53 57.333,203.60748,Low-Mass*,-25.287,-8.4e-05,1
26,[TMD2009] HCG   7  8,00 39 28.260,+00 51 48.30,205.50404,Galaxy,30411.0,0.10715,1
27,WiggleZ R01J003905726+00554269,00 39 05.7350,+00 55 42.586,210.80293,Galaxy,142738.0,0.6786,1
28,2XMM J003924.2+005607,00 39 24.186,+00 56 07.56,211.03271,X,,,1
29,2MASS J00392272+0050103,00 39 22.7352,+00 50 10.392,212.91342,Low-Mass*,5.652,1.9e-05,1
30,2MASS J00390344+0051338,00 39 03.4423,+00 51 33.749,213.47353,Low-Mass*,14.386,4.8e-05,1
31,WiggleZ R01J003908695+00563573,00 39 08.7036,+00 56 35.632,226.06183,Galaxy,74762.0,0.29014,1
32,SDSS J003903.91+005058.2,00 39 03.9184,+00 50 58.315,226.99417,GtowardsCl,34851.0,0.12387,1
33,2MASS J00390571+0050076,00 39 05.7274,+00 50 07.849,243.01361,HorBranch*,-202.6,-0.000676,1
34,[TMD2009] HCG   7 10,00 39 26.96,+00 50 19.4,243.0414,UV,,,1
35,2MASS J00393041+0055126,00 39 30.4167,+00 55 12.697,246.55586,Low-Mass*,-4.346,-1.4e-05,1
36,SDSS J003915.27+004903.0,00 39 15.2778,+00 49 03.095,254.07588,Galaxy,99517.0,0.41202,1
37,[TMD2009] HCG   7 12,00 39 10.77,+00 49 05.8,262.6825,UV,,,1
38,2XMM J003859.2+005450,00 38 59.2142,+00 54 50.969,267.31586,Seyfert1,99825.0,0.41365,1
39,SN 2019yc,00 39 34.996,+00 52 04.13,295.53113,Supernova,1793.0,0.006,1
40,IRAS 00370+0035,00 39 34.7,+00 51 37,299.0876,FarIR,,,1
41,WiggleZ R01J003855991+00525658,00 38 55.9995,+00 52 56.478,299.17603,Galaxy,65156.0,0.24715,1
