,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,HCG  35,08 45 20.71,+44 32 23.1,0.0,Compact_Gr_G,15809.0,0.0542,1
1,2MASX J08452066+4432231,08 45 20.7023,+44 32 22.883,0.23139562,AGN,15344.0,0.05256,1
2,LEDA   24600,08 45 20.8700,+44 31 59.637,23.524607,Galaxy,16330.0,0.056039,1
3,2MASX J08451842+4431391,08 45 18.4200,+44 31 39.573,49.94113,Galaxy,15911.0,0.05456,1
4,[LH2011] 2868,08 45 21,+44 33.3,54.93007,GroupG,16195.391,0.055563,1
5,MLCG 1198,08 45 20.438,+44 31 20.09,63.077812,Compact_Gr_G,15809.0,0.0542,1
6,2MASX J08452122+4431141,08 45 21.2508,+44 31 14.023,69.31856,AGN,15545.0,0.05327,1
7,[ISW2010] GMRT J084516+443321,08 45 16.6,+44 33 22,73.48168,Radio,,,1
8,[K80] Lynx-2  5709,08 45 18.17,+44 33 31.8,73.870926,Galaxy,,,1
9,WMOKK 0842+44.01,08 45 28.48,+44 32 38.8,84.54015,Radio,,,1
10,WMOKK  85,08 45 28.5,+44 32 39,84.7875,Radio,,,1
11,16V 38,08 45 28.64,+44 32 38.6,86.185394,Radio,,,1
12,16V 39,08 45 28.90,+44 31 58.8,90.87721,Radio,,,1
13,LEDA  167284,08 45 19.21,+44 33 59.2,97.42835,Galaxy,,,1
14,16V 33,08 45 11.3,+44 32 18,100.737045,Radio,,,1
15,[K80] Lynx-2  5318,08 45 11.24,+44 32 24.5,101.25747,Galaxy,,,1
16,2MASX J08452057+4430321,08 45 20.5896,+44 30 32.154,110.95345,BrightestCG,15917.0,0.05458,1
17,[K80] Lynx-2  5216,08 45 09.91,+44 32 08.3,116.416435,Galaxy,,,1
