,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,DES J022548.05-055341.8,02 25 48.053,-05 53 41.81,0.8114424,GtowardsCl,62047.0,0.23368,1
1,HSCS J022549-055346,02 25 48,-05 53.7,7.161925,ClG,61656.0,0.232,1
2,DES J022546.93-055334.8,02 25 46.936,-05 53 34.84,17.417885,GtowardsCl,61836.0,0.23277,1
3,2XLSSd J022549.0-055344,02 25 49.294,-05 53 46.15,19.75239,GtowardsCl,61854.0,0.23285,1
4,SDSS J022549.65-055349.0,02 25 49.658,-05 53 49.03,25.716003,X,,,1
5,DES J022549.85-055352.1,02 25 49.8706,-05 53 52.403,29.787369,GtowardsCl,62324.0,0.23487,1
6,DES J022546.13-055357.9,02 25 46.138,-05 53 57.90,32.008553,GtowardsCl,,,1
7,DES J022548.57-055422.4,02 25 48.578,-05 54 22.42,41.331062,GtowardsCl,,,1
8,GAMA 1763860,02 25 48.32,-05 52 56.1,46.14644,Galaxy,61227.0,0.23016,1
9,DES J022549.86-055422.7,02 25 49.861,-05 54 22.72,49.289574,GtowardsCl,,,1
10,DES J022544.85-055409.0,02 25 44.8570,-05 54 09.005,54.11552,GtowardsCl,,,1
11,DES J022552.02-055339.9,02 25 52.030,-05 53 39.90,60.16459,GtowardsCl,61402.0,0.23091,1
12,DES J022552.18-055327.2,02 25 52.189,-05 53 27.29,64.217735,GtowardsCl,,,1
13,DES J022543.78-055402.7,02 25 43.788,-05 54 02.78,66.19056,GtowardsCl,,,1
14,DES J022549.79-055446.5,02 25 49.797,-05 54 46.54,69.88642,GtowardsCl,,,1
15,GAMA 1763651,02 25 52.88,-05 53 53.4,73.68978,Galaxy,85160.0,0.33923,1
16,DES J022552.08-055257.5,02 25 52.0863,-05 52 57.649,75.39559,GtowardsCl,62071.0,0.23378,1
17,VIPERS 107116993,02 25 43.0550,-05 54 08.327,78.33862,Galaxy,69852.0,0.2679,1
18,DES J022550.82-055458.2,02 25 50.823,-05 54 58.24,87.1047,GtowardsCl,,,1
19,DES J022553.63-055308.5,02 25 53.6462,-05 53 08.674,90.598206,GtowardsCl,60138.0,0.22551,1
20,DES J022545.91-055212.3,02 25 45.912,-05 52 12.39,94.86918,GtowardsCl,61369.0,0.23077,1
21,DES J022541.47-055307.1,02 25 41.4796,-05 53 07.310,103.2888,GtowardsCl,61938.0,0.23321,1
22,VIPERS 107115760,02 25 41.7984,-05 54 31.851,105.105,Galaxy,124963.0,0.5587,1
23,DES J022541.95-055247.8,02 25 41.9508,-05 52 47.820,105.27167,GtowardsCl,,,1
24,DES J022546.64-055157.9,02 25 46.6538,-05 51 58.045,105.87741,GtowardsCl,,,1
25,DES J022540.86-055327.5,02 25 40.8723,-05 53 27.626,107.31639,GtowardsCl,61694.0,0.23216,1
26,VIPERS 107122933,02 25 44.2231,-05 52 05.715,111.565094,Galaxy,172165.0,0.923,1
27,SDSS J022546.47-055145.0,02 25 46.4765,-05 51 45.025,119.16253,GtowardsCl,61327.0,0.23059,1
28,DES J022539.93-055342.5,02 25 39.939,-05 53 42.57,120.27871,GtowardsCl,60713.0,0.22796,1
29,VIPERS 107119036,02 25 39.9768,-05 53 27.898,120.54004,Star,,,1
30,VIPERS 107115923,02 25 55.9190,-05 54 20.991,124.42334,Galaxy,105191.0,0.4426,1
31,GAMA 1763338,02 25 41.20,-05 54 54.7,124.797516,Galaxy,62040.0,0.23365,1
32,GAMA 2334147,02 25 55.44,-05 52 38.0,128.12492,Galaxy,61845.0,0.23281,1
33,VIPERS 107123037,02 25 54.0005,-05 52 06.667,130.78535,Galaxy,125613.0,0.5628,1
34,VIPERS 107116481,02 25 56.8323,-05 54 09.127,134.54579,Galaxy,105573.0,0.4447,1
