,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,HSCS J221422+004706,22 14 21.344,+00 47 29.99,0.00481618,ClG,81199.0,0.3202,1
1,DES J221420.38+004733.3,22 14 20.3882,+00 47 33.309,14.715264,GtowardsCl,,,1
2,DES J221422.82+004727.1,22 14 22.8244,+00 47 27.126,22.387203,GtowardsCl,,,1
3,DES J221422.40+004713.6,22 14 22.4087,+00 47 13.662,22.838703,GtowardsCl,,,1
4,CFHIZELS-SM14-260456,22 14 20.87,+00 47 07.7,23.45832,EmissionG,,,1
5,NVSS J221422+004705,22 14 22.30,+00 47 09.0,25.420006,Radio,,,1
6,[YHW2016] 333.59308+00.78492,22 14 22.3386,+00 47 05.767,28.448286,BrightestCG,81208.0,0.32024,1
7,[PWJ2018] J221422.10+004703.78,22 14 22.10,+00 47 03.8,28.526442,Radio,,,1
8,SDSS J221422.02+004657.9,22 14 22.0212,+00 46 57.964,33.597992,GtowardsCl,81185.0,0.32013,1
9,DES J221423.45+004749.0,22 14 23.4568,+00 47 49.037,36.97291,GtowardsCl,,,1
10,DES J221419.16+004803.4,22 14 19.1674,+00 48 03.484,46.772003,GtowardsCl,,,1
11,DES J221421.48+004818.3,22 14 21.4831,+00 48 18.349,48.40421,GtowardsCl,,,1
12,DES J221423.91+004652.6,22 14 23.9140,+00 46 52.648,53.66754,GtowardsCl,,,1
13,DES J221420.18+004831.5,22 14 20.1857,+00 48 31.585,63.99796,GtowardsCl,,,1
14,DES J221425.87+004735.1,22 14 25.8741,+00 47 35.166,68.14203,GtowardsCl,,,1
15,DES J221420.17+004840.8,22 14 20.1739,+00 48 40.899,73.048645,GtowardsCl,,,1
16,DES J221425.96+004656.8,22 14 25.9600,+00 46 56.883,76.74267,GtowardsCl,,,1
17,DES J221421.09+004847.9,22 14 21.0951,+00 48 47.949,78.048836,GtowardsCl,,,1
18,DES J221424.39+004622.8,22 14 24.3910,+00 46 22.807,81.25329,GtowardsCl,80102.0,0.315,1
19,VVDS J221423.00+004612.0,22 14 23.0033,+00 46 12.069,81.799,Galaxy,,,1
20,DES J221427.01+004711.1,22 14 27.0155,+00 47 11.116,87.13294,GtowardsCl,,,1
21,DES J221416.87+004826.0,22 14 16.8704,+00 48 26.069,87.44653,GtowardsCl,,,1
22,DES J221426.60+004812.2,22 14 26.6019,+00 48 12.277,89.48281,GtowardsCl,,,1
23,VVDS J221424.89+004615.6,22 14 24.90,+00 46 15.7,91.47563,Galaxy,10020.0,0.034,1
24,CFHIZELS-SM14-310046,22 14 15.12,+00 47 26.5,93.3796,EmissionG,,,1
25,DES J221425.47+004839.8,22 14 25.4755,+00 48 39.883,93.407425,GtowardsCl,,,1
26,SDSS J221426.23+004624.8,22 14 26.234,+00 46 24.84,98.09867,Galaxy,27602.0,0.09673,1
27,VVDS J221422.35+004552.2,22 14 22.36,+00 45 52.3,98.895355,Galaxy,135628.0,0.6286,1
28,DES J221427.83+004646.5,22 14 27.8369,+00 46 46.515,106.64801,GtowardsCl,,,1
29,DES J221416.12+004612.2,22 14 16.1268,+00 46 12.265,110.29164,GtowardsCl,,,1
30,Gaia DR3 2679007669314628608,22 14 18.3032,+00 49 14.083,113.64659,Star,-153.806,-0.000513,1
31,CFHIZELS-SM14-266045,22 14 14.16,+00 48 06.7,113.81854,EmissionG,,,1
32,VVDS J221426.63+004852.7,22 14 26.632,+00 48 52.72,114.60132,Galaxy,,,1
33,VVDS J221427.52+004852.9,22 14 27.53,+00 48 53.0,124.41627,Galaxy,215648.0,1.475,1
34,VVDS J221426.60+004550.8,22 14 26.6078,+00 45 50.898,126.69836,Galaxy,,,1
35,CFHIZELS-SM14-177798,22 14 12.83,+00 47 29.6,127.69236,EmissionG,,,1
36,DES J221413.57+004831.3,22 14 13.5764,+00 48 31.341,131.66937,GtowardsCl,,,1
37,DES J221424.17+004522.3,22 14 24.1787,+00 45 22.300,134.58191,GtowardsCl,,,1
38,CFHIZELS-SM14-176121,22 14 14.09,+00 46 10.4,134.78143,EmObj,,,1
39,DES J221417.77+004524.6,22 14 17.7800,+00 45 24.669,136.24542,GtowardsCl,,,1
40,CFHIZELS-SM14-222822,22 14 28.94,+00 48 46.1,137.01172,EmissionG,,,1
41,CFHIZELS-SM14-175737,22 14 30.30,+00 46 16.5,153.16238,EmissionG,,,1
42,DES J221420.30+005002.9,22 14 20.3098,+00 50 02.957,153.75143,GtowardsCl,,,1
43,VVDS 220073392,22 14 12.36,+00 46 05.8,158.88628,Galaxy,120931.0,0.5337,1
44,DES J221421.45+004450.7,22 14 21.4578,+00 44 50.794,159.20543,GtowardsCl,,,1
45,CFHIZELS-SM14-108877,22 14 16.40,+00 49 51.3,159.53508,EmissionG,,,1
46,CFHIZELS-SM14-216425,22 14 26.43,+00 45 09.7,159.67944,EmissionG,,,1
47,DES J221419.40+004451.4,22 14 19.4061,+00 44 51.413,161.21887,GtowardsCl,,,1
48,VVDS J221429.45+004542.3,22 14 29.4511,+00 45 42.354,162.39175,Galaxy,175470.0,0.9552,1
49,CFHIZELS-SM14-156070,22 14 25.58,+00 44 58.5,164.3411,EmissionG,,,1
50,VVDS J221429.38+004922.1,22 14 29.39,+00 49 22.2,164.70451,Galaxy,95031.0,0.3886,1
51,SDSS J221431.51+004833.5,22 14 31.513,+00 48 33.57,165.24774,Galaxy,12657.0,0.04315,1
52,CFHIZELS-SM14-178996,22 14 31.72,+00 46 33.4,165.5441,EmissionG,,,1
53,DES J221417.82+004450.3,22 14 17.8262,+00 44 50.349,168.13376,GtowardsCl,,,1
54,VVDS 220085994,22 14 28.24,+00 49 42.9,168.41248,Galaxy,116103.0,0.5047,1
55,CFHIZELS-SM14-127883,22 14 25.82,+00 44 51.1,172.43137,EmissionG,,,1
56,CFHIZELS-SM14-115592,22 14 31.84,+00 48 40.6,172.46866,EmissionG,,,1
57,VVDS J221431.50+004608.5,22 14 31.50,+00 46 08.5,172.78152,Galaxy,80567.0,0.3172,1
58,VVDS 220083394,22 14 31.65,+00 48 55.3,176.5674,Galaxy,159135.0,0.8063,1
59,VVDS 220074442,22 14 10.31,+00 46 26.5,177.22609,Galaxy,165288.0,0.8595,1
60,VVDS J221412.35+004931.5,22 14 12.35,+00 49 31.5,181.58142,Galaxy,100624.0,0.4179,1
61,VVDS 220084243,22 14 10.65,+00 48 58.8,183.36389,Galaxy,47683.0,0.174,1
62,VVDS J221425.75+005026.5,22 14 25.7597,+00 50 26.558,188.57996,Galaxy,,,1
63,CFHIZELS-SM14-242548,22 14 19.12,+00 50 36.7,189.64291,EmissionG,,,1
64,VVDS J221431.95+004545.9,22 14 31.95,+00 45 45.9,190.0998,Galaxy,80609.0,0.3174,1
