,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,LCS-CL J232634-5501.9,23 26 33.60,-55 01 11.5,0.0,ClG,101017.0,0.42,1
1,DES J232633.64-550111.3,23 26 33.646,-55 01 11.40,0.41097838,GtowardsCl,96128.0,0.39427,1
2,DES J232633.04-550108.2,23 26 33.043,-55 01 08.23,5.8015323,GtowardsCl,,,1
3,DES J232633.08-550115.4,23 26 33.086,-55 01 15.43,5.914873,GtowardsCl,,,1
4,XXL-AAOmega J232632.89-550117.2,23 26 32.905,-55 01 17.19,8.252993,GtowardsCl,95529.0,0.39117,1
5,DES J232634.89-550106.8,23 26 34.894,-55 01 06.82,12.073167,GtowardsCl,,,1
6,DES J232631.63-550110.5,23 26 31.631,-55 01 10.54,16.956924,GtowardsCl,,,1
7,DES J232631.46-550119.5,23 26 31.461,-55 01 19.52,20.068539,GtowardsCl,,,1
8,DES J232632.81-550048.4,23 26 32.819,-55 00 48.48,23.975739,GtowardsCl,,,1
9,DES J232633.29-550041.2,23 26 33.294,-55 00 41.20,30.411722,GtowardsCl,,,1
10,DES J232632.36-550143.8,23 26 32.369,-55 01 43.84,34.0271,GtowardsCl,,,1
11,DES J232633.85-550031.7,23 26 33.857,-55 00 31.80,39.762817,GtowardsCl,,,1
12,XXL-AAOmega J232634.82-550156.3,23 26 34.8559,-55 01 56.266,46.050835,GtowardsCl,96752.0,0.39751,1
13,DES J232635.56-550155.6,23 26 35.560,-55 01 55.63,47.23776,GtowardsCl,,,1
14,DES J232639.01-550103.0,23 26 39.012,-55 01 03.04,47.30665,GtowardsCl,,,1
15,DES J232633.16-550158.9,23 26 33.163,-55 01 58.98,47.628624,GtowardsCl,,,1
16,DES J232627.14-550104.3,23 26 27.142,-55 01 04.35,55.994366,GtowardsCl,,,1
17,XXL-AAOmega J232639.21-550026.4,23 26 39.1,-55 00 26,65.565414,Star,,,1
18,DES J232641.82-550101.1,23 26 41.828,-55 01 01.17,71.50802,GtowardsCl,,,1
19,XXL-ATCA J232627.7-550020,23 26 27.7330,-55 00 20.201,71.95802,Radio,,,1
20,XXL-AAOmega J232628.80-550011.4,23 26 28.8,-55 00 12,72.815544,Galaxy,118421.0,0.5185,1
21,DES J232639.05-550015.6,23 26 39.051,-55 00 15.68,72.89803,GtowardsCl,,,1
22,DES J232643.63-550104.6,23 26 43.637,-55 01 04.60,86.591705,GtowardsCl,,,1
23,XXL-AAOmega J232623.79-550137.8,23 26 23.8024,-55 01 37.997,88.313705,AGN,189399.0,1.10508,1
24,XXL-AAOmega J232645.28-550106.0,23 26 45.2790,-55 01 06.296,100.569496,Star,,,1
25,DES J232634.39-550253.4,23 26 34.397,-55 02 53.46,102.185165,GtowardsCl,,,1
26,DES J232633.80-550253.8,23 26 33.810,-55 02 53.85,102.36708,GtowardsCl,,,1
27,DES J232644.28-550022.6,23 26 44.284,-55 00 22.60,104.091,GtowardsCl,,,1
28,XXL-AAOmega J232630.54-550255.3,23 26 30.5569,-55 02 55.369,107.11272,Star,,,1
29,DES J232646.37-550118.7,23 26 46.377,-55 01 18.75,110.11387,GtowardsCl,,,1
30,DES J232631.29-545920.8,23 26 31.291,-54 59 20.90,112.37315,GtowardsCl,,,1
31,DES J232642.89-545944.2,23 26 42.897,-54 59 44.26,118.34488,GtowardsCl,,,1
32,DES J232638.29-550335.2,23 26 38.292,-55 03 35.26,149.30733,GtowardsCl,96546.0,0.39644,1
33,XXL-AAOmega J232628.67-545821.5,23 26 28.6,-54 58 21,175.5798,Galaxy,93652.0,0.38153,1
34,XXL-AAOmega J232650.52-550254.0,23 26 50.6,-55 02 54,178.71349,Galaxy,95605.0,0.39156,1
35,LEDA  413678,23 26 53.6,-55 00 21,179.27737,Galaxy,,,1
