,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,M  60,12 43 39.9680,+11 33 09.696,0.0,GinPair,1015.0,0.00339,1
1,[JPB2009] 190.9171149+11.5522342,12 43 39.96,+11 33 07.7,1.9994595,GlobCluster,,,1
2,[JPB2009] 190.9168514+11.5521711,12 43 39.90,+11 33 07.4,2.5040548,GlobCluster,,,1
3,[JPB2009] 190.9173724+11.5539972,12 43 40.03,+11 33 14.0,4.399389,GlobCluster,,,1
4,[JPB2009] 190.9165969+11.5539206,12 43 39.84,+11 33 13.7,4.4238615,GlobCluster,,,1
5,[JPB2009] 190.9180461+11.5529403,12 43 40.3311,+11 33 10.585,5.4091945,GlobCluster,,,1
6,[JPB2009] 190.9180165+11.5522500,12 43 40.3240,+11 33 08.100,5.4692793,GlobCluster,,,1
7,[JPB2009] 190.9193082+11.5538902,12 43 40.49,+11 33 13.6,8.607609,GlobCluster,,,1
8,[JPB2009] 190.9165781+11.5550958,12 43 39.9787,+11 33 18.345,8.650321,GlobCluster,,,1
9,[JPB2009] 190.9196021+11.5524126,12 43 40.56,+11 33 08.3,8.811394,GlobCluster,,,1
10,[JPB2009] 190.9187166+11.5508659,12 43 40.35,+11 33 02.7,8.969966,GlobCluster,,,1
11,[JPB2009] 190.9189669+11.5517794,12 43 40.5521,+11 33 06.406,9.192353,GlobCluster,,,1
12,[JPB2009] 190.9197081+11.5531143,12 43 40.59,+11 33 10.8,9.207404,GlobCluster,,,1
13,[JPB2009] 190.9197580+11.5522817,12 43 40.60,+11 33 07.8,9.479498,GlobCluster,,,1
14,[JPB2009] 190.9149307+11.5508130,12 43 39.4661,+11 33 03.398,9.697647,GlobCluster,,,1
15,[JPB2009] 190.9157229+11.5549845,12 43 39.6570,+11 33 18.398,9.829323,GlobCluster,,,1
16,[PBB2015] 223,12 43 39.6570,+11 33 18.398,9.829323,GlobCluster,1303.0,0.004356,1
17,[JPB2009] 190.9199034+11.5522590,12 43 40.63,+11 33 07.7,9.931479,GlobCluster,,,1
18,[JPB2009] 190.9147508+11.5543568,12 43 39.40,+11 33 15.3,10.054024,GlobCluster,,,1
19,[JPB2009] 190.9136657+11.5522030,12 43 39.2798,+11 33 07.931,10.267224,GlobCluster,,,1
20,[JPB2009] 190.9204402+11.5526567,12 43 40.76,+11 33 09.2,11.649889,GlobCluster,,,1
21,[JPB2009] 190.9140004+11.5540538,12 43 39.22,+11 33 14.2,11.879595,GlobCluster,,,1
22,[JPB2009] 190.9131464+11.5532622,12 43 39.1551,+11 33 11.744,12.120199,GlobCluster_Candidate,,,1
23,[JPB2009] 190.9195269+11.5501816,12 43 40.5684,+11 33 01.111,12.311574,GlobCluster,,,1
24,[JPB2009] 190.9139147+11.5514136,12 43 39.20,+11 33 04.7,12.342947,GlobCluster,,,1
25,[H2009] NGC 4649  25,12 43 39.44,+11 32 59.9,12.496911,GlobCluster_Candidate,,,1
26,[JPB2009] 190.9191121+11.5496900,12 43 40.44,+11 32 58.5,13.170683,GlobCluster,,,1
27,[JPB2009] 190.9144875+11.5502158,12 43 39.33,+11 33 00.4,13.203336,GlobCluster,,,1
28,[JPB2009] 190.9190189+11.5496061,12 43 40.42,+11 32 58.2,13.277169,GlobCluster,,,1
29,[JPB2009] 190.9203022+11.5531666,12 43 40.8725,+11 33 11.400,13.401775,GlobCluster_Candidate,,,1
30,[JPB2009] 190.9178191+11.5562329,12 43 40.2766,+11 33 22.438,13.52537,GlobCluster,,,1
31,[JPB2009] 190.9180440+11.5565741,12 43 40.19,+11 33 23.3,13.989739,GlobCluster_Candidate,,,1
32,[JPB2009] 190.9194213+11.5493476,12 43 40.5445,+11 32 58.117,14.347735,GlobCluster,,,1
33,[JPB2009] 190.9210992+11.5512359,12 43 40.92,+11 33 04.1,15.0683775,GlobCluster,,,1
34,[JPB2009] 190.9213375+11.5539725,12 43 40.98,+11 33 13.9,15.455193,GlobCluster,,,1
35,[JPB2009] 190.9197859+11.5493131,12 43 40.60,+11 32 57.1,15.650118,GlobCluster,,,1
36,[JPB2009] 190.9140916+11.5494912,12 43 39.24,+11 32 57.8,15.999371,GlobCluster,,,1
37,[JPB2009] 190.9190172+11.5486870,12 43 40.42,+11 32 54.9,16.218723,GlobCluster,,,1
38,[JPB2009] 190.9210828+11.5504570,12 43 40.92,+11 33 01.3,16.316683,GlobCluster,,,1
39,[FAB2017] NGC4649 UCD5,12 43 39.1708,+11 32 58.328,16.323359,Galaxy,1526.0,0.005103,1
40,[JPB2009] 190.9156203+11.5571455,12 43 39.7489,+11 33 25.724,16.34811,GlobCluster_Candidate,,,1
41,[JPB2009] 190.9192373+11.5568911,12 43 40.47,+11 33 24.4,16.450945,GlobCluster_Candidate,,,1
42,[JPB2009] 190.9207554+11.5560589,12 43 40.84,+11 33 21.4,17.355293,GlobCluster,,,1
