,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,MARD J061651.1-474734,06 16 51.4,-47 47 41,0.3322343,ClG,33036.0,0.117,1
1,ESO 206-2,06 16 51.6482,-47 47 42.884,3.1324682,BrightestCG,32909.0,0.11652,1
2,1RXS J061651.1-474737,06 16 51.1,-47 47 37,5.013883,X,,,1
3,[GSB2009] J061650.11-474743.1,06 16 50.11,-47 47 43.1,13.167576,Galaxy,26334.0,0.09206,1
4,Gaia DR3 5553909213612667392,06 16 48.0710,-47 47 20.836,39.14053,Galaxy,,,1
5,RXC J1016.8-4748,06 16 53.6,-47 48 18,43.131992,ClG,32877.0,0.1164,1
6,UCAC4 212-008032,06 16 55.6025,-47 47 08.781,53.214058,Star,50.490813,0.000168,1
7,Gaia DR3 5553909282331629312,06 16 49.1175,-47 46 33.868,70.963905,Galaxy,,,1
8,UCAC4 211-008312,06 16 48.5227,-47 48 46.741,71.84899,Star,-3.558,-1.2e-05,1
9,Gaia DR3 5553908526417379712,06 16 59.3615,-47 47 22.152,82.41558,Galaxy,,,1
10,TYC 8106-604-1,06 16 56.4937,-47 48 49.713,85.762634,Star,76.196999,0.000254,1
11,2XMM J061659.6-474859,06 16 59.70,-47 48 59.5,114.66364,AGN_Candidate,,,1
12,UCAC4 212-008043,06 17 05.3649,-47 47 25.049,141.62956,Star,14.64,4.9e-05,1
13,Gaia DR3 5553907972365324032,06 16 35.5484,-47 47 30.295,160.0967,Galaxy,,,1
14,HD  44025,06 16 55.4427,-47 44 48.661,177.09187,Star,29.92,0.0001,1
15,TYC 8106-751-1,06 17 05.6759,-47 45 19.221,202.01788,Star,36.07,0.00012,1
16,Gaia DR3 5553912512147550080,06 16 48.9367,-47 44 11.737,210.73146,Galaxy,,,1
17,UCAC4 211-008325,06 17 06.9526,-47 50 04.807,212.65788,Star,52.301998,0.000174,1
18,UCAC4 212-008011,06 16 30.5784,-47 46 38.324,219.01042,Star,35.312,0.000118,1
19,1RXS J061638.4-475100,06 16 38.400,-47 51 00.00,238.2088,X,,,1
20,1RXS J061713.0-474920,06 17 13.001,-47 49 19.99,239.06906,X,,,1
21,UCAC4 211-008299,06 16 37.3551,-47 50 57.449,242.07732,Star,14.823,4.9e-05,1
22,Gaia DR3 5553896637948419072,06 17 13.5109,-47 49 16.311,242.28645,Galaxy,,,1
23,ESO 206-5,06 16 58.7906,-47 51 46.038,256.09158,EmissionG,11092.0,0.03771,1
24,Gaia DR3 5553912580867026944,06 16 46.6833,-47 43 19.588,265.70285,Galaxy,,,1
25,MASTER OT J061701.22-475148.0,06 17 01.22,-47 51 48.0,266.06024,Supernova_Candidate,,,1
26,UCAC4 212-008007,06 16 26.4417,-47 45 51.802,274.25058,Star,32.421001,0.000108,1
27,Gaia DR3 5553911343916477184,06 16 34.8174,-47 43 31.795,300.10345,Galaxy,,,1
28,UCAC4 211-008331,06 17 20.8627,-47 48 50.898,304.95407,Star,-9.603,-3.2e-05,1
29,UCAC4 212-008035,06 16 56.6705,-47 42 24.302,321.1269,Star,56.396,0.000188,1
30,UCAC4 211-008283,06 16 23.9534,-47 50 37.839,328.1664,Star,27.278999,9.1e-05,1
31,Gaia DR3 5553906567912814464,06 16 30.4025,-47 51 54.503,330.11038,Galaxy,,,1
32,TYC 8106-641-1,06 16 18.3273,-47 48 17.033,335.17758,Star,22.32,7.4e-05,1
33,UCAC2  11241140,06 17 14.9813,-47 43 32.022,344.28287,Star,40.51,0.000135,1
34,UCAC4 212-008048,06 17 07.5380,-47 42 21.398,358.65768,Star,74.013,0.000247,1
35,Gaia DR3 5553894542004384896,06 16 42.4315,-47 53 39.493,369.68756,Galaxy,,,1
36,UCAC4 211-008286,06 16 27.8195,-47 52 43.992,384.93436,Star,33.076,0.00011,1
37,UCAC4 211-008314,06 16 55.8922,-47 54 06.871,388.5127,Star,0.618,2e-06,1
38,HD  43901,06 16 13.9171,-47 49 46.140,397.7795,Star,,,1
39,Gaia DR3 5553901860628123776,06 17 34.3881,-47 47 54.221,433.37106,Galaxy,,,1
40,TYC 8106-673-1,06 17 34.8835,-47 46 54.589,440.68158,Star,15.78,5.3e-05,1
41,2XMM J061734.9-474653,06 17 35.00,-47 46 53.5,441.9605,X,,,1
42,1RXS J061735.8-474655,06 17 35.80,-47 46 55.5,449.773,X,,,1
43,GLEAM J061701-475508,06 17 00.7,-47 55 08,457.1775,Radio,,,1
44,HD  44024,06 16 58.5452,-47 39 59.831,466.76868,Star,21.8,7.3e-05,1
45,2MASX J06160666-4749457,06 16 06.6445,-47 49 45.347,467.67722,Galaxy,13023.0,0.04443,1
46,UCAC4 211-008342,06 17 35.1607,-47 50 19.621,468.45502,Star,5.653,1.9e-05,1
47,UCAC4 212-007989,06 16 03.8968,-47 47 06.081,479.99774,Star,39.66,0.000132,1
48,Gaia DR3 5553902925780477184,06 17 37.6804,-47 45 39.548,482.06165,Galaxy,,,1
49,UCAC3 85-18539,06 16 20.7311,-47 41 14.699,494.90756,HighPM*,23.85,8e-05,1
50,GALEX J061603.2-474553,06 16 03.1950,-47 45 53.631,497.61392,WhiteDwarf_Candidate,,,1
51,TYC 8106-794-1,06 16 20.8218,-47 41 09.403,498.48883,Star,25.65,8.6e-05,1
52,TYC 8106-421-1,06 16 18.5095,-47 54 10.623,511.29703,Star,-2.03,-7e-06,1
53,UCAC4 212-008060,06 17 27.0748,-47 41 32.820,514.823,Star,8.288,2.8e-05,1
54,Gaia DR3 5554663061975473024,06 16 30.5070,-47 39 45.882,519.7822,Star,,,1
55,TYC 8106-423-1,06 16 16.4326,-47 54 06.258,521.8489,Star,-23.17,-7.7e-05,1
56,UCAC4 211-008298,06 16 37.0979,-47 56 03.197,522.4151,Star,-5.846,-1.9e-05,1
57,Gaia DR3 5553911408341753216,06 15 58.3515,-47 47 18.840,535.0505,Galaxy,,,1
58,UCAC4 211-008282,06 16 23.1705,-47 55 15.196,535.7395,Star,24.247,8.1e-05,1
59,UCAC4 211-008323,06 17 03.9380,-47 57 01.161,574.1911,Star,-25.129,-8.4e-05,1
60,UCAC4 211-008339,06 17 28.5831,-47 54 58.546,575.7685,Star,12.878,4.3e-05,1
61,LEDA  148607,06 16 32.5,-47 56 49,580.06006,Galaxy,,,1
62,TYC 8106-573-1,06 16 25.1925,-47 56 24.065,585.7852,Star,19.38,6.5e-05,1
63,Gaia DR3 5553887944934123776,06 15 52.1621,-47 47 46.242,596.9446,Galaxy,,,1
64,Gaia DR3 5554662890181548288,06 16 15.6269,-47 39 30.110,609.3097,Galaxy,,,1
65,UCAC4 212-008065,06 17 30.6513,-47 39 52.026,613.817,Star,22.499001,7.5e-05,1
66,UCAC4 212-008039,06 17 00.7357,-47 37 28.447,619.7581,Star,26.854,9e-05,1
67,UCAC4 211-008288,06 16 28.7320,-47 57 29.338,630.99426,Star,36.935001,0.000123,1
68,Gaia DR3 5553883817469378944,06 15 54.6430,-47 52 33.267,641.8822,Star,,,1
69,TYC 8106-632-1,06 16 27.8603,-47 37 19.866,665.0266,Star,27.74,9.3e-05,1
70,UCAC4 212-008089,06 17 56.8790,-47 44 29.477,687.3797,Star,30.351,0.000101,1
71,GALEX J061739.9-475618,06 17 39.8313,-47 56 17.736,710.3067,WhiteDwarf_Candidate,,,1
72,TYC 8106-576-1,06 16 50.1323,-47 35 42.282,718.8311,Star,18.96,6.3e-05,1
73,UCAC4 211-008362,06 17 58.2430,-47 52 04.038,722.663,Star,27.847,9.3e-05,1
74,Gaia DR3 5554638773936798720,06 15 39.7960,-47 46 34.074,724.7657,Galaxy,,,1
75,TYC 8106-535-1,06 15 42.7049,-47 51 21.310,726.05273,Star,4.206,1.4e-05,1
76,UCAC2  11241114,06 16 57.6657,-47 35 35.852,727.9014,Star,31.03,0.000104,1
77,UCAC4 212-008091,06 17 58.7220,-47 43 15.929,728.78735,Star,125.525002,0.000419,1
78,Gaia DR3 5553887803198879616,06 15 40.0380,-47 49 56.495,731.4997,Star,,,1
79,TYC 8106-721-1,06 18 03.6746,-47 45 35.840,739.2156,Star,25.486,8.5e-05,1
80,UCAC4 212-008080,06 17 45.5340,-47 39 20.687,740.7278,Star,62.078999,0.000207,1
81,Gaia DR3 5553882447376421888,06 15 56.3951,-47 56 26.204,763.0183,Galaxy,,,1
82,UCAC4 211-008242,06 15 35.9106,-47 49 30.846,768.3619,Star,75.510002,0.000252,1
83,CRTS J061807.4-474636,06 18 07.4453,-47 46 36.552,769.13293,RRLyrae,,,1
84,2MASX J06155537-4756383,06 15 55.3778,-47 56 38.903,779.1735,Galaxy,12846.0,0.04381,1
85,UCAC4 211-008340,06 17 33.7380,-47 58 36.640,781.8192,Star,8.206,2.7e-05,1
86,Gaia DR3 5554666811483299072,06 16 01.9166,-47 37 34.204,785.9036,Galaxy,,,1
87,Gaia DR3 5553850041846291968,06 17 49.4483,-47 56 49.373,801.167,Star,,,1
88,UCAC4 211-008348,06 17 43.1706,-47 57 54.628,804.86084,Star,54.669998,0.000182,1
89,UCAC4 211-008369,06 18 07.0068,-47 52 25.115,812.58606,Star,28.136999,9.4e-05,1
90,Gaia DR3 5554638361620359040,06 15 30.6883,-47 47 36.671,813.3379,Galaxy,,,1
91,Gaia DR3 5553887395178743168,06 15 32.6033,-47 51 00.919,818.38947,Galaxy,,,1
92,UCAC4 212-007969,06 15 39.9872,-47 41 00.680,824.1397,Star,3.628,1.2e-05,1
93,UCAC4 212-008081,06 17 45.7785,-47 37 24.611,825.3401,Star,76.705002,0.000256,1
94,UCAC4 212-008071,06 17 35.5442,-47 36 05.876,825.7169,Star,24.466999,8.2e-05,1
95,Gaia DR3 5554665815051295360,06 16 53.9320,-47 33 42.503,838.8863,Galaxy,,,1
96,UCAC4 212-007973,06 15 41.7831,-47 39 40.495,851.0422,Star,15.183458,5.1e-05,1
97,Gaia DR3 5553850698978219136,06 18 07.3680,-47 54 06.218,856.2723,Galaxy,,,1
98,TYC 8106-671-1,06 16 27.5336,-48 01 27.036,860.18536,Star,45.672001,0.000152,1
99,UCAC4 211-008370,06 18 07.4085,-47 54 42.337,873.4097,Star,62.256001,0.000208,1
100,UCAC4 212-007979,06 15 50.5883,-47 37 05.065,883.85425,Star,72.573997,0.000242,1
101,2XMM J061740.4-475957,06 17 40.40,-47 59 57.1,885.80743,X,,,1
102,UCAC4 213-008383,06 17 07.8502,-47 33 10.597,886.1188,Star,57.228001,0.000191,1
