,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,MCS J1149.5+2223,11 49 35.8,+22 23 55,0.0,ClG,122768.0,0.545,1
1,[OOP2020] MACS1149.5+2223 BCG,11 49 35.688,+22 23 54.60,1.6112769,BrightestCG,122121.0,0.541,1
2,[ZFM2015] M1149 1.5,11 49 35.614,+22 23 54.22,2.6995947,LensedImage,,,1
3,[GKS2016] 50,11 49 35.662,+22 23 53.04,2.739859,Galaxy,122283.0,0.542,1
4,[REE2012] J114935.7+222355,11 49 36.00,+22 23 53.0,3.41954,BrightestCG,,,1
5,[GKS2016] 23,11 49 35.919,+22 23 58.55,3.9148295,Galaxy,121307.0,0.536,1
6,[RJL2014] MACS J1149 1.2,11 49 35.849,+22 23 50.82,4.2344337,LensedG,215939.0,1.48,1
7,[GKS2016] c183,11 49 36.0530,+22 23 52.563,4.2718325,Galaxy,123574.0,0.55,1
8,[DSS2020] MACSJ1149  4,11 49 36.096,+22 23 53.51,4.3673525,AGN,122121.0,0.541,1
9,[SEL2009] A1.4,11 49 35.482,+22 23 54.42,4.4441786,LensedG,216645.0,1.4922,1
10,[GKS2016] 109c,11 49 35.900,+22 23 50.13,5.0636177,Galaxy,216460.0,1.489,1
11,MACSg J114935.95+222350.4,11 49 35.953,+22 23 50.18,5.2663755,Galaxy,125170.0,0.56,1
12,[TBD2016] 1.5,11 49 35.966,+22 23 49.68,5.800057,LensedImage,,,1
13,[GKS2016] 69,11 49 35.403,+22 23 58.33,6.435634,Galaxy,123091.0,0.547,1
14,MACSg J114936.24+222352.5,11 49 36.246,+22 23 52.39,6.7134137,AGN,122121.0,0.541,1
15,[GKS2016] 119,11 49 35.4970,+22 23 49.533,6.8955755,Galaxy,68078.0,0.26,1
16,[MAT2017] MACS1149CLS 2205,11 49 36.2841,+22 23 57.211,7.06853,Galaxy,116998.0,0.51,1
17,[KDR2018] LS1,11 49 35.66,+22 23 48.0,7.264278,LensedImage,,,1
18,NAME SN Refsdal,11 49 36.010,+22 23 48.13,7.4618225,Supernova,216576.0,1.491,1
19,[GKS2016] 88,11 49 35.255,+22 23 53.02,7.8128614,LensedImage,145927.0,0.702,1
20,[GKS2016] 70,11 49 35.801,+22 24 03.14,8.139213,Galaxy,123574.0,0.55,1
21,[GBA2017] MACSJ1149-EL01,11 49 36.090,+22 23 47.90,8.159977,EmObj,,,1
22,[GKS2016] 81,11 49 35.370,+22 24 00.88,8.373594,Galaxy,124214.0,0.554,1
23,[DSS2020] MACSJ1149  5,11 49 36.406,+22 23 55.55,8.423314,AGN,122445.0,0.543,1
