,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,MCS J1206.2-0847,12 06 12.2,-08 48 02,0.0,ClG,104717.0,0.44,1
1,[CGR2017c] MACS J1206 24c,12 06 12.219,-08 48 02.19,0.33263385,EmissionG,286730.0,5.70072,1
2,[RCL2021] MACS1206     7,12 06 12.23,-08 48 01.8,0.4607287,Galaxy,212743.0,1.4265,1
3,[OOP2020] MACS J1206.2-0847 BCG,12 06 12.1447,-08 48 03.348,1.577339,BrightestCG,104958.0,0.44132,1
4,[ZRN2012] 9.4,12 06 12.310,-08 48 01.21,1.8118705,LensedG,,,1
5,[ZRN2012] 10.4,12 06 12.310,-08 48 01.21,1.8118705,LensedG,,,1
6,[CGR2017c] MACS J1206  7c,12 06 12.321,-08 48 01.18,1.9767088,LensedG,212694.0,1.4257,1
7,NVSS J120612-084802,12 06 12.1,-08 48 03,2.266651,Radio,,,1
8,[RCL2021] MACS1206     8,12 06 12.040,-08 48 02.25,2.3848839,LensedG,212658.0,1.4251,1
9,[CGR2017c] MACS J1206 21b,12 06 12.351,-08 48 02.93,2.4223583,EmissionG,277386.0,4.07541,1
10,[CGR2017c] MACS J1206 10c,12 06 12.119,-08 47 59.51,2.7643757,LensedG,255482.0,2.54,1
11,[FBC2017] J120612.3-084759.1,12 06 12.34,-08 47 59.0,3.5912366,Galaxy,102359.0,0.4272,1
12,[ZB2017] CLASH J120612.5-084802.1,12 06 12.5136,-08 48 02.089,4.6494794,Galaxy_Candidate,,,1
13,[ZRN2012] 9.3,12 06 12.530,-08 48 01.47,4.920352,LensedG,,,1
14,[ZRN2012] 10.3,12 06 12.530,-08 48 01.47,4.920352,LensedG,,,1
15,[CGR2017c] MACS J1206  7d,12 06 12.531,-08 48 01.43,4.94099,LensedG,212694.0,1.4257,1
16,[RCL2021] MACS1206  3837,12 06 11.84,-08 48 02.3,5.28588,Galaxy,104698.0,0.4399,1
17,[RCL2021] MACS1206  3838,12 06 11.81,-08 48 02.2,5.7785225,Galaxy,104625.0,0.4395,1
18,[CGR2017c] MACS J1206 27b,12 06 12.406,-08 47 57.00,5.856463,EmissionG,288026.0,6.06795,1
19,[RCL2021] MACS1206  3794,12 06 12.61,-08 48 02.1,6.072932,Galaxy,212762.0,1.4268,1
20,[FBC2017] J120612.3-084755.9,12 06 12.28,-08 47 55.9,6.2557306,Galaxy,103763.0,0.4348,1
21,[CGR2017c] MACS J1206  1b,12 06 11.905,-08 47 57.46,6.3050513,LensedG,181029.0,1.0121,1
22,[ZRN2012] 11.2,12 06 11.770,-08 48 00.49,6.550483,LensedG,,,1
23,[RCL2021] MACS1206    12,12 06 12.04,-08 48 08.1,6.6000314,EmissionG,278329.0,4.18994,1
24,[CGR2017c] MACS J1206 13a,12 06 11.860,-08 48 06.36,6.669069,EmissionG,270335.0,3.39934,1
25,[CGR2017c] MACS J1206  4b,12 06 11.719,-08 48 00.21,7.3496137,LensedG,212639.0,1.4248,1
26,[CGR2017c] MACS J1206 21c,12 06 12.684,-08 48 04.01,7.451843,EmissionG,277371.0,4.07365,1
27,[FBC2017] J120612.7-084805.1,12 06 12.70,-08 48 04.8,7.9229546,Galaxy,104753.0,0.4402,1
28,[RCL2021] MACS1206  3486,12 06 12.07,-08 48 09.9,8.151469,Galaxy,110195.0,0.470515,1
29,[RCL2021] MACS1206  3559,12 06 12.61,-08 48 08.2,8.684569,Galaxy,104698.0,0.4399,1
30,[RCL2021] MACS1206  3686,12 06 11.66,-08 48 05.4,8.707701,Galaxy,104000.0,0.43609,1
31,[CGR2017c] MACS J1206 12c,12 06 12.784,-08 48 00.71,8.757268,EmissionG,270231.0,3.39123,1
32,[EMK2009] J120611.76-084755.5,12 06 11.76,-08 47 55.5,9.208179,Galaxy,101529.0,0.42274,1
33,[CGR2017c] MACS J1206 26a,12 06 12.171,-08 48 11.20,9.213485,LensedG,287836.0,6.0106,1
34,[GMB2015] 300,12 06 12.78,-08 48 05.6,9.320841,Galaxy,105373.0,0.4436,1
35,[CGR2017c] MACS J1206 21d,12 06 12.823,-08 48 04.33,9.528321,EmissionG,277368.0,4.07324,1
36,[RCL2021] MACS1206  3468,12 06 12.54,-08 48 10.7,10.07864,Galaxy,105664.0,0.4452,1
37,[RCL2021] MACS1206  7864,12 06 11.71,-08 47 54.7,10.22079,Galaxy,101148.0,0.4207,1
38,[CGR2017c] MACS J1206 27a,12 06 12.780,-08 47 55.77,10.620391,EmissionG,288009.0,6.06271,1
39,[FBC2017] J120612.9-084800.5,12 06 12.92,-08 48 00.4,10.792121,Galaxy,106660.0,0.4507,1
40,CLASH MACSJ1206.2-0847  908,12 06 12.1224,-08 47 50.957,11.102911,LensedG,288445.0,6.2,1
41,[RCL2021] MACS1206  7767,12 06 11.85,-08 47 52.1,11.187831,Galaxy,132079.0,0.6047,1
42,[CGR2017c] MACS J1206  1a,12 06 12.220,-08 47 50.72,11.284633,LensedG,181029.0,1.0121,1
43,[CGR2017c] MACS J1206 26b,12 06 12.291,-08 48 13.20,11.2850685,EmissionG,287847.0,6.01389,1
44,[RCL2021] MACS1206  3907,12 06 12.97,-08 48 01.3,11.429796,Galaxy,105519.0,0.4444,1
45,[RCL2021] MACS1206  7923,12 06 12.82,-08 47 55.0,11.564604,Galaxy,101853.0,0.424479,1
46,[CGR2017c] MACS J1206  3b,12 06 11.427,-08 47 59.32,11.773026,LensedG,183932.0,1.0433,1
47,CLASH MACSJ1206.2-0847  895,12 06 12.1371,-08 47 50.196,11.840247,LensedG,285929.0,5.5,1
48,[CGR2017c] MACS J1206 20a,12 06 11.393,-08 48 01.71,11.961766,LensedG,277214.0,4.0553,1
49,[CGR2017c] MACS J1206 13b,12 06 11.486,-08 48 07.61,11.978542,EmissionG,270322.0,3.39832,1
50,[FBC2017] J120613.0-084805.3,12 06 12.98,-08 48 05.4,12.064448,Galaxy,105373.0,0.4436,1
51,[RCL2021] MACS1206  7774,12 06 11.79,-08 47 51.5,12.133205,Galaxy,107794.0,0.457004,1
52,[FBC2017] J120611.5-084755.0,12 06 11.52,-08 47 55.0,12.272131,Galaxy,105900.0,0.4465,1
53,[CGR2017c] MACS J1206  5b,12 06 13.017,-08 48 05.59,12.629097,LensedG,212676.0,1.4254,1
54,[RCL2021] MACS1206  7770,12 06 11.72,-08 47 51.1,12.986478,Galaxy,88092.0,0.3536,1
55,[CGR2017c] MACS J1206  8b,12 06 13.080,-08 48 04.00,13.197015,LensedG,216310.0,1.4864,1
56,[RCL2021] MACS1206  3549,12 06 11.46,-08 48 09.8,13.434314,Galaxy,105573.0,0.4447,1
57,[RCL2021] MACS1206     5,12 06 11.40,-08 48 09.1,13.874809,Galaxy,143756.0,0.686,1
58,[RCL2021] MACS1206  7620,12 06 11.78,-08 47 49.6,13.900124,Galaxy,100943.0,0.4196,1
59,[RCL2021] MACS1206  7806,12 06 12.88,-08 47 52.0,14.151101,EmissionG,279336.0,4.32074,1
60,[RCL2021] MACS1206  7594,12 06 12.14,-08 47 47.8,14.228236,Galaxy,30531.0,0.1076,1
61,[RCL2021] MACS1206  4010,12 06 13.150,-08 47 59.84,14.246937,LensedG,255482.0,2.54,1
62,[FBC2017] J120613.0-084808.9,12 06 13.04,-08 48 09.0,14.256406,Galaxy,104863.0,0.4408,1
63,[FBC2017] J120612.3-084816.3,12 06 12.29,-08 48 16.3,14.3381405,Galaxy,103616.0,0.434,1
64,[CGR2017c] MACS J1206 10d,12 06 13.174,-08 48 00.62,14.497977,LensedG,259587.0,2.73,1
65,[RCL2021] MACS1206  3442,12 06 12.78,-08 48 13.8,14.5611515,Galaxy,104972.0,0.4414,1
66,[RCL2021] MACS1206    14,12 06 12.64,-08 48 15.0,14.592638,EmissionG,277636.0,4.10505,1
67,[RCL2021] MACS1206  7647,12 06 11.74,-08 47 48.8,14.864537,Galaxy,106317.0,0.4488,1
68,[RCL2021] MACS1206  8002,12 06 11.23,-08 47 56.7,15.254922,Galaxy,102711.0,0.4291,1
69,[RCL2021] MACS1206  7800,12 06 11.32,-08 47 54.0,15.340453,Galaxy,212743.0,1.4265,1
70,[RCL2021] MACS1206  3842,12 06 13.23,-08 48 02.9,15.348822,Galaxy,104039.0,0.4363,1
71,[CGR2017c] MACS J1206  6a,12 06 11.990,-08 47 46.89,15.427328,LensedG,212682.0,1.4255,1
72,[RCL2021] MACS1206  3416,12 06 12.90,-08 48 13.5,15.4864855,Galaxy,111282.0,0.4767,1
73,[RCL2021] MACS1206  7580,12 06 12.61,-08 47 47.6,15.632376,Galaxy,105100.0,0.4421,1
74,CLASH MACSJ1206.2-0847 1135,12 06 13.250,-08 48 03.81,15.669452,EmissionG,286729.0,5.70057,1
75,[CGR2017c] MACS J1206 16b,12 06 11.152,-08 47 58.82,15.86377,EmissionG,274483.0,3.76341,1
76,[CGR2017c] MACS J1206  6b,12 06 11.550,-08 47 49.36,15.8936405,LensedG,212682.0,1.4255,1
77,[CGR2017c] MACS J1206  7b,12 06 11.320,-08 47 52.81,15.956777,LensedG,212694.0,1.4257,1
78,[RCL2021] MACS1206  3321,12 06 11.33,-08 48 13.3,17.155296,EmissionG,277629.0,4.10419,1
79,[CGR2017c] MACS J1206  7a,12 06 12.130,-08 47 44.48,17.550701,LensedG,212694.0,1.4257,1
80,[ADR2016] MACSJ1206.2-0847 3227,12 06 11.06,-08 47 56.5,17.813873,Galaxy,104296.0,0.4377,1
81,[RCL2021] MACS1206  7891,12 06 11.11,-08 47 54.1,17.960588,Galaxy,103007.0,0.4307,1
82,[CGR2017c] MACS J1206  3a,12 06 12.137,-08 47 44.04,17.979624,LensedG,183932.0,1.0433,1
83,[RCL2021] MACS1206    15,12 06 13.40,-08 47 59.2,18.070063,EmissionG,277131.0,4.0456,1
84,[FBC2017] J120613.4-084804.4,12 06 13.41,-08 48 04.4,18.108011,Galaxy,60979.0,0.2291,1
85,[RCL2021] MACS1206  7449,12 06 12.22,-08 47 43.7,18.345533,Galaxy,212743.0,1.4265,1
86,[CGR2017c] MACS J1206 13c,12 06 12.905,-08 48 17.13,18.388563,EmissionG,270323.0,3.39844,1
87,[RCL2021] MACS1206  7708,12 06 11.25,-08 47 50.1,18.446638,Galaxy,255501.0,2.5408,1
88,[ZRN2012] 4.2,12 06 11.220,-08 47 50.27,18.671545,LensedG,255482.0,2.54,1
89,[RCL2021] MACS1206  3849,12 06 10.94,-08 48 03.2,18.694931,Galaxy,105755.0,0.4457,1
90,[CGR2017c] MACS J1206 10b,12 06 11.184,-08 47 50.87,18.726744,LensedG,255466.0,2.5393,1
91,[CGR2017c] MACS J1206  3c,12 06 11.666,-08 48 19.01,18.76505,LensedG,183932.0,1.0433,1
92,[FBC2017] J120611.0-084758.9,12 06 10.95,-08 47 58.9,18.806995,Galaxy,106714.0,0.451,1
93,[RCL2021] MACS1206  7377,12 06 12.58,-08 47 43.4,19.423555,Galaxy,255513.0,2.54131,1
94,[CGR2017c] MACS J1206 18b,12 06 13.422,-08 47 54.94,19.447342,EmissionG,277316.0,4.06711,1
