,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,MCXC J0303.7-7752,03 03 48.4,-77 52 41,0.20625228,ClG,71655.0,0.276,1
1,[GSB2009] J030346.22-775243.3,03 03 46.22,-77 52 43.3,7.2415547,Galaxy,71850.0,0.2769,1
2,[GSB2009] J030345.29-775229.6,03 03 45.29,-77 52 29.6,15.031625,Star,132.0,0.0004,1
3,[GSB2009] J030353.78-775223.9,03 03 53.78,-77 52 23.9,24.077015,Galaxy,70233.0,0.2696,1
4,[GSB2009] J030340.39-775244.7,03 03 40.39,-77 52 44.7,25.499475,Galaxy,71029.0,0.27318,1
5,[GSB2009] J030336.53-775302.4,03 03 36.53,-77 53 02.4,43.072514,Galaxy,71940.0,0.27729,1
6,[GSB2009] J030354.14-775152.6,03 03 54.14,-77 51 52.6,51.67028,Galaxy,26724.0,0.0935,1
7,[GSB2009] J030358.03-775139.6,03 03 58.03,-77 51 39.6,68.49348,Galaxy,70990.0,0.273,1
8,[GSB2009] J030351.31-775356.4,03 03 51.31,-77 53 56.4,75.95417,Galaxy,74468.0,0.2888,1
9,[GSB2009] J030338.02-775129.5,03 03 38.02,-77 51 29.5,78.63204,Galaxy,71502.0,0.2753,1
10,[GSB2009] J030328.27-775327.6,03 03 28.27,-77 53 27.6,78.66275,Galaxy,72863.0,0.28147,1
11,[GSB2009] J030327.84-775338.7,03 03 27.84,-77 53 38.7,86.70596,Galaxy,70173.0,0.26933,1
12,[GSB2009] J030415.19-775155.1,03 04 15.19,-77 51 55.1,96.099594,Star,-23.0,-0.0001,1
13,TYC 9366-1201-1,03 04 03.1136,-77 55 01.750,148.16154,Star,57.74,0.000193,1
14,RXC J0303.8-7752,03 03 00.0,-77 52 00,157.93985,ClG,71256.0,0.2742,1
15,[GSB2009] J030253.86-775307.1,03 02 53.86,-77 53 07.1,173.71648,Galaxy,54322.0,0.2011,1
16,2MASS J03045117-7750145,03 04 51.1898,-77 50 14.564,246.35396,LongPeriodV*_Candidate,,,1
17,IRAS 03039-7801,03 02 46.8,-77 49 24,276.46472,FarIR,,,1
18,UCAC4 062-002041,03 02 29.4204,-77 47 48.228,384.72635,Star,,,1
19,UCAC4 062-002069,03 04 14.9833,-77 46 08.584,401.32703,Star,16.673,5.6e-05,1
20,UCAC4 061-002170,03 01 39.1532,-77 52 19.250,407.79254,Star,29.844999,0.0001,1
21,2XMM J030131.5-775526,03 01 31.54,-77 55 26.3,460.94852,AGN_Candidate,,,1
22,UCAC4 061-002167,03 01 27.7857,-77 48 23.748,513.31665,Star,61.761,0.000206,1
23,UCAC4 061-002162,03 01 00.4683,-77 55 11.612,549.12286,Star,-6.48,-2.2e-05,1
24,UCAC4 062-002091,03 06 04.1930,-77 46 18.628,575.1013,Star,17.424,5.8e-05,1
25,LEDA  233952,03 05 24.5,-78 01 21,600.7947,Galaxy,,,1
26,UCAC4 062-002095,03 06 34.1163,-77 47 22.239,613.21954,Star,10.153,3.4e-05,1
27,TYC 9366-641-1,03 04 12.8629,-77 41 46.923,658.66595,Star,29.9,0.0001,1
28,Gaia DR2 4638716721523222528,03 02 34.8987,-78 03 21.944,680.90857,WhiteDwarf_Candidate,,,1
29,UCAC4 062-002102,03 07 10.8918,-77 47 55.760,700.57,Star,9.705,3.2e-05,1
