,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,MCXC J1011.3+5333,10 11 19.3,+53 34 30,0.4016598,ClG,95225.0,0.3896,1
1,2MASX J10111933+5334298,10 11 19.3395,+53 34 30.512,0.6219153,BrightestCG,95225.0,0.3896,1
2,DES J101118.54+533424.4,10 11 18.5400,+53 34 24.457,8.748424,GtowardsCl,,,1
3,DES J101120.51+533435.6,10 11 20.5172,+53 34 35.657,12.228192,GtowardsCl,,,1
4,DES J101120.68+533430.1,10 11 20.6815,+53 34 30.105,12.305022,GtowardsCl,,,1
5,DES J101119.17+533443.6,10 11 19.1906,+53 34 43.353,13.388726,GtowardsCl,,,1
6,DES J101120.89+533421.1,10 11 20.8916,+53 34 21.138,16.718699,GtowardsCl,,,1
7,DES J101117.40+533414.8,10 11 17.4006,+53 34 14.891,22.682615,GtowardsCl,,,1
8,DES J101119.66+533452.5,10 11 19.6622,+53 34 52.511,22.740702,GtowardsCl,,,1
9,DES J101117.29+533451.9,10 11 17.2932,+53 34 51.949,28.305286,GtowardsCl,,,1
10,DES J101121.06+533400.2,10 11 21.0681,+53 34 00.219,33.68912,GtowardsCl,,,1
11,DES J101114.74+533423.1,10 11 14.7488,+53 34 23.145,41.111874,GtowardsCl,,,1
12,DES J101118.15+533349.5,10 11 18.1524,+53 33 49.594,41.67921,GtowardsCl,,,1
13,[PLO2002] 112  7,10 11 15.67,+53 35 01.3,44.99727,Galaxy,97153.0,0.3996,1
14,[PLO2002] 112  8,10 11 22.1283,+53 35 09.577,46.911964,GtowardsCl,94817.0,0.3875,1
15,DES J101116.25+533346.7,10 11 16.2545,+53 33 46.719,51.080982,GtowardsCl,,,1
16,DES J101114.66+533500.4,10 11 14.6661,+53 35 00.448,51.285034,GtowardsCl,,,1
17,[PLO2002] 112  5,10 11 12.2078,+53 34 30.617,63.16989,GtowardsCl,95186.0,0.3894,1
18,DES J101116.27+533535.1,10 11 16.2732,+53 35 35.188,70.54017,GtowardsCl,,,1
19,[PLO2002] 112  4,10 11 21.56,+53 33 21.0,71.87734,Galaxy,131173.0,0.5987,1
20,FIRST J101126.8+533507,10 11 26.9383,+53 35 07.310,77.58287,AGN_Candidate,,,1
21,DES J101119.18+533310.8,10 11 19.1894,+53 33 10.846,79.15969,GtowardsCl,,,1
22,[PLO2002] 112  3,10 11 15.1069,+53 33 19.829,79.49405,GtowardsCl,95186.0,0.3894,1
23,DES J101117.39+533549.4,10 11 17.3921,+53 35 49.477,81.272514,GtowardsCl,,,1
24,DES J101130.98+533436.8,10 11 30.9855,+53 34 36.801,104.29749,GtowardsCl,,,1
25,DES J101109.67+533542.2,10 11 09.6795,+53 35 42.221,112.04647,GtowardsCl,,,1
26,DES J101106.54+533503.0,10 11 06.5459,+53 35 03.096,118.30608,GtowardsCl,,,1
27,DES J101113.49+533242.0,10 11 13.4977,+53 32 42.077,119.66631,GtowardsCl,,,1
28,SDSS J101105.84+533451.5,10 11 05.843,+53 34 51.59,121.779175,Galaxy,9260.0,0.03138,1
29,[PLO2002] 112  1,10 11 13.20,+53 32 24.6,136.67236,Galaxy,,,1
30,[PLO2002] 112  2,10 11 04.86,+53 33 15.9,148.45721,Galaxy,113299.0,0.4883,1
31,Gaia DR3 851694527353893120,10 11 25.9666,+53 36 46.457,148.80507,Star,-7.673,-2.6e-05,1
32,SDSS J101109.35+533735.8,10 11 09.3720,+53 37 35.933,205.86491,QSO,82806.0,0.327867,1
33,2MASX J10111341+5330587,10 11 13.4379,+53 30 58.554,217.80472,Galaxy,9800.0,0.03324,1
34,TYC 3815-895-1,10 10 55.6562,+53 33 10.706,225.06905,Star,-42.96,-0.000143,1
