,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,Mahtessian 127,11 28 44.0,+09 05 17,0.0,Compact_Gr_G,6288.391,0.0212,1
1,IC  696,11 28 39.9092,+09 05 55.363,71.713936,RadioG,6215.0,0.02095,1
2,GPM 172.206537+09.088164,11 28 49.5219,+09 05 16.747,81.78986,Star,-9.8,-3.3e-05,1
3,[T2015] nest 100523,11 28 49.2,+09 04 48,82.42788,GroupG,6269.0,0.021134,1
4,HIPASS J1128+09b,11 28 36.5,+09 06 31,133.47577,HI,6284.6,0.021188,1
5,[TKK2018] 3747,11 28 35.48,+09 06 05.2,135.0573,PairG,6232.0,0.02101,1
6,IRAS 11259+0922,11 28 33.6,+09 06 17,165.31104,Galaxy,6324.0,0.021322,1
7,TYC  856-770-1,11 28 52.3987,+09 03 08.533,178.83138,Star,-9.6,-3.2e-05,1
8,SDSS J112853.64+090705.6,11 28 53.6399,+09 07 05.639,179.4105,LINER,27892.0,0.0978,1
9,RASSCALS NRGb137,11 28 53.3,+09 07 38,197.11331,GroupG,6352.0,0.021418,1
10,LEDA 1359426,11 28 57.4,+09 05 26,198.68005,Galaxy,,,1
11,IC 2857,11 28 31.043,+09 06 15.95,200.76743,RadioG,6250.0,0.02107,1
12,NAME IC 698 Group,11 28 54.0,+09 07 43,207.97154,GroupG,6195.0,0.020881,1
13,GPM 172.181832+09.029980,11 28 43.5417,+09 01 47.971,209.13914,Star,,,1
14,GPM 172.131670+09.126230,11 28 31.6384,+09 07 31.853,227.38913,Star,,,1
15,[AO95] 1126.4+0923,11 29.0,+09 06,240.8528,Galaxy,,,1
16,GPM 172.180562+09.155083,11 28 43.3235,+09 09 17.713,240.92142,Star,,,1
17,IC 2867,11 29 00.537,+09 05 21.78,244.99266,AGN_Candidate,6230.0,0.021002,1
18,IC  698,11 29 03.8179,+09 06 43.328,305.9597,RadioG,6174.0,0.02081,1
19,GPM 172.137070+09.013236,11 28 32.8921,+09 00 47.354,315.88403,Star,60.0,0.0002,1
20,GPM 172.108916+09.040050,11 28 26.1002,+09 02 24.018,316.58163,Star,,,1
21,SDSS J112905.60+090419.5,11 29 05.6030,+09 04 19.502,325.10947,QSO,245526.0,2.17,1
22,[TKK2018] 3751,11 29 05.13,+09 03 01.3,341.0773,PairG,6150.0,0.02073,1
23,GPM 172.198887+08.985358,11 28 47.7021,+08 59 06.824,374.21567,Star,,,1
24,LP  492-78,11 28 58.6420,+09 00 10.766,375.266,HighPM*,28.09,9.4e-05,1
25,GALEX J112838.2+085827,11 28 38.2264,+08 58 26.974,418.85104,WhiteDwarf_Candidate,,,1
26,GPM 172.076849+09.146597,11 28 18.3379,+09 08 47.705,434.56653,Star,,,1
27,LEDA 1359149,11 29 13.3350,+09 04 32.898,436.74182,AGN_Candidate,6306.0,0.02126,1
28,GPM 172.253999+09.193380,11 29 00.9734,+09 11 35.837,454.64722,Star,,,1
29,IC 2850,11 28 12.9838,+09 03 43.330,468.87054,GtowardsGroup,6256.0,0.02109,1
30,GPM 172.077207+09.010061,11 28 18.4650,+09 00 35.963,471.23288,Star,,,1
31,IC 2853,11 28 14.8487,+09 08 49.454,481.18616,RadioG,6300.0,0.02124,1
32,SDSS J112814.79+090854.3,11 28 14.799,+09 08 54.33,484.011,RadioG,6256.0,0.02109,1
33,BD+09  2501,11 28 16.3576,+09 09 37.235,485.0998,Star,3.05,1e-05,1
34,IC  699,11 29 06.4805,+08 59 18.940,488.98816,LINER,6127.0,0.02065,1
35,TYC  856-584-1,11 29 19.1209,+09 04 22.016,523.1097,HighPM*,31.58,0.000105,1
36,ZwCl 1126+0913,11 28.9,+08 56,576.3654,ClG,,,1
37,SDSSCGB 16796.5,11 29 21.967,+09 08 04.47,586.72754,Galaxy,,,1
38,SDSSCGB 16796.2,11 29 22.7003,+09 08 12.793,599.5306,Galaxy,,,1
39,SDSSCGB 16796.4,11 29 22.829,+09 08 06.97,599.6776,Galaxy,,,1
40,2MASX J11285667+0855469,11 28 56.6943,+08 55 46.354,600.8372,Galaxy,41445.0,0.14928,1
41,SDSSCGB 16796,11 29 22.8,+09 08 18,602.4847,Compact_Gr_G,,,1
42,BD+10  2289,11 28 16.6792,+09 12 51.594,608.5662,HighPM*,33.29,0.000111,1
43,SDSS J112903.24+091419.7,11 29 03.2384,+09 14 19.794,613.01776,QSO,251004.0,2.36,1
44,SDSSCGB 16796.1,11 29 23.1509,+09 08 36.982,613.3646,Galaxy,,,1
45,SDSSCGB 16796.3,11 29 23.4283,+09 08 26.104,613.81433,Galaxy,,,1
46,TYC  856-884-1,11 28 06.1468,+09 01 02.745,615.6767,Star,-7.49,-2.5e-05,1
47,GPM 172.348528+09.140364,11 29 23.6502,+09 08 25.059,616.6229,Star,,,1
48,TYC  856-1048-1,11 29 24.9852,+09 02 40.606,626.9184,HighPM*,39.38,0.000131,1
49,GPM 172.359987+09.115089,11 29 26.3745,+09 06 53.698,635.0218,Star,,,1
50,GPM 172.362787+09.099483,11 29 27.0147,+09 05 58.575,638.4664,Star,,,1
51,GPM 172.178574+09.269822,11 28 42.8609,+09 16 11.007,654.2246,Star,,,1
52,SDSS J112758.71+090331.3,11 27 58.714,+09 03 31.34,679.0593,BrightestCG,111480.0,0.47783,1
53,SDSSCGB 64477.2,11 29 10.884,+09 15 00.49,706.36383,Galaxy,,,1
54,SDSSCGB 64477.4,11 29 10.061,+09 15 19.84,715.78485,Galaxy,,,1
55,CRTS J112902.1+091621,11 29 02.1710,+09 16 21.191,716.6249,RRLyrae,,,1
56,SDSSCGB 64477,11 29 10.7,+09 15 15,716.88873,Compact_Gr_G,,,1
57,SDSSCGB 64477.3,11 29 11.566,+09 15 13.52,722.8187,Galaxy,,,1
58,SDSSCGB 64477.1,11 29 10.471,+09 15 26.08,724.31525,Galaxy,,,1
59,NVSS J112847+091720,11 28 47.2,+09 17 21,725.294,Radio,,,1
60,SDSS J112757.94+090048.1,11 27 57.9499,+09 00 48.419,733.1198,Low-Mass*,126.0,0.00042,1
61,GALEX J112811.8+085520,11 28 11.8710,+08 55 20.965,762.7759,WhiteDwarf_Candidate,,,1
62,GPM 172.172324+09.300716,11 28 41.3398,+09 18 01.535,765.5493,Star,,,1
63,SDSS J112934.97+090215.6,11 29 34.9738,+09 02 15.569,776.5542,Galaxy,49357.0,0.18075,1
64,LEDA 1358040,11 29 33.6,+09 01 00,778.38434,Galaxy,,,1
65,[SPD2011] 15105,11 27 51.8,+09 03 33,780.61865,ClG,118837.0,0.521,1
