,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME ACO 1035B,10 32 19.36,+40 10 10.4,0.0,ClG,20531.0,0.071,1
1,LEDA 2161588,10 32 22.6452,+40 09 43.274,46.409977,Galaxy,18978.0,0.06544,1
2,LEDA 3536772,10 32 15.2853,+40 10 12.283,46.74173,BrightestCG,19440.0,0.06709,1
3,2MASX J10322347+4010086,10 32 23.4471,+40 10 08.529,46.88445,BrightestCG,19398.0,0.06694,1
4,[LVO2003] J103222.1+401054,10 32 22.1,+40 10 54,53.732,X,,,1
5,1RXS J103220.8+401105,10 32 20.801,+40 11 04.99,57.033443,X,,,1
6,NSC J103223+400923,10 32 23.04,+40 09 22.6,63.752487,ClG,13302.0,0.0454,1
7,LEDA 2161541,10 32 13.8654,+40 09 30.684,74.46057,Galaxy,19048.0,0.06569,1
8,TYC 3005-450-1,10 32 27.5649,+40 10 24.567,95.1042,HighPM*,,,1
9,Gaia DR3 756263961808774272,10 32 26.2753,+40 09 11.998,98.46355,Galaxy,,,1
10,2MASX J10321990+4008265,10 32 19.8961,+40 08 26.157,104.42358,GtowardsCl,19011.0,0.06556,1
11,SDSS J103229.04+400923.0,10 32 29.0434,+40 09 23.009,120.69612,Galaxy,20509.0,0.07092,1
12,SDSS J103210.74+401121.0,10 32 10.7460,+40 11 21.070,121.40783,Galaxy,19745.0,0.06818,1
13,SDSS J103221.63+401217.3,10 32 21.634,+40 12 17.33,129.57478,QSO,230331.0,1.762594,1
14,2MASX J10322889+4008546,10 32 28.8588,+40 08 54.264,132.86977,BrightestCG,19398.0,0.06694,1
15,2MASX J10320742+4010303,10 32 07.4145,+40 10 30.475,138.37854,GtowardsCl,22322.0,0.07745,1
16,LEDA 2161162,10 32 12.5513,+40 08 08.495,144.7552,Galaxy,19112.0,0.06592,1
17,2MASS J10323023+4008519,10 32 30.2340,+40 08 51.903,147.31421,Star,4.43885,1.5e-05,1
18,SDSS J103225.79+400800.8,10 32 25.7971,+40 08 00.858,149.09064,Galaxy,18821.0,0.06488,1
19,SDSS J103232.24+401104.3,10 32 32.2441,+40 11 04.333,157.20425,Galaxy,19297.0,0.06658,1
