,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME ACO 1750N,13 31 12.37,-01 42 51.0,0.0,ClG,24403.0,0.085,1
1,[DFJ2001] J133111.2-014335,13 31 11.2,-01 43 34,46.44055,GtowardsGroup,25381.0,0.08857,1
2,2dFGRS TGN266Z106,13 31 11.0644,-01 43 37.980,50.894836,EmissionG,23999.0,0.08353,1
3,[WLH2009] 667,13 31 10.9,-01 43 44,57.400032,PairG,24018.0,0.0836,1
4,LEDA   95660,13 31 10.8,-01 43 44,57.992256,GroupG,25019.0,0.087247,1
5,[WLH2009] J202.79512-01.73026,13 31 10.8276,-01 43 49.024,62.462414,BrightestCG,24032.0,0.08365,1
6,USGC U540,13 31 15.8,-01 43 31,65.151505,GroupG,6350.0,0.021412,1
7,LEDA 1112523,13 31 11.7,-01 41 46,65.771675,Galaxy,,,1
8,[ZS2020] cCGs-1424,13 31 10.3,-01 44 11,85.94693,Compact_Gr_G,24043.0,0.08369,1
9,DES J133108.93-014405.5,13 31 08.9339,-01 44 05.586,90.648895,GtowardsCl,,,1
10,2dFGRS TGN198Z145,13 31 19.2726,-01 42 18.293,108.539,GtowardsCl,23350.0,0.08117,1
11,LEDA   95659,13 31 09.8683,-01 41 08.236,109.394745,GtowardsCl,23443.0,0.08151,1
12,DES J133109.75-014433.8,13 31 09.7528,-01 44 33.855,110.086266,GtowardsCl,,,1
13,DES J133110.60-014054.8,13 31 10.6020,-01 40 54.899,119.08865,GtowardsCl,,,1
14,2dFGRS TGN266Z107,13 31 09.6450,-01 44 44.840,120.94965,GtowardsCl,24101.0,0.0839,1
15,LEDA   95658,13 31 06.5,-01 44 16,122.355095,GtowardsCl,24400.0,0.084989,1
16,DES J133106.35-014414.5,13 31 06.3551,-01 44 14.582,122.95845,GtowardsCl,,,1
17,NVSS J133103-014223,13 31 04.092,-01 42 29.55,125.95453,Radio,,,1
18,DES J133106.40-014441.4,13 31 06.4071,-01 44 41.410,142.06746,GtowardsCl,,,1
19,LEDA   95657,13 31 05.8,-01 41 05,144.70508,Galaxy,,,1
20,2XMM J133122.0-014250,13 31 22.0870,-01 42 49.729,145.69676,X,,,1
21,2MASX J13312216-0143137,13 31 22.1603,-01 43 13.668,148.52951,GtowardsCl,23812.0,0.08285,1
22,SDSS J133106.03-014047.1,13 31 06.0339,-01 40 47.218,156.03427,GtowardsCl,24101.0,0.0839,1
23,DES J133110.11-014526.5,13 31 10.1123,-01 45 26.538,159.17934,GtowardsCl,,,1
24,DES J133104.80-014447.3,13 31 04.8068,-01 44 47.360,162.47534,GtowardsCl,,,1
25,SDSS J133123.42-014333.5,13 31 23.4295,-01 43 33.652,171.21594,GtowardsCl,21743.0,0.07536,1
26,DES J133105.64-014510.1,13 31 05.6458,-01 45 10.100,171.7933,GtowardsCl,124791.0,0.55762,1
27,DES J133109.80-013959.0,13 31 09.8103,-01 39 59.021,176.20842,GtowardsCl,,,1
28,DES J133105.05-014511.8,13 31 05.0563,-01 45 11.885,178.52963,GtowardsCl,,,1
29,DES J133105.86-014524.9,13 31 05.8681,-01 45 24.915,182.18846,GtowardsCl,,,1
30,[LH2011] 2184,13 31.3,-01 40,190.70027,GroupG,6386.0,0.021533,1
31,SDSS J133059.81-014336.4,13 30 59.8191,-01 43 36.447,193.58817,Galaxy,41225.0,0.14842,1
32,DES J133110.64-014604.0,13 31 10.6473,-01 46 04.021,194.7418,GtowardsCl,,,1
33,2dFGRS TGN198Z154,13 30 59.7,-01 43 40,196.18213,GtowardsCl,24780.0,0.086375,1
