,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME ACO 1758S,13 32 32.8,+50 24 48,0.0,GroupG,70989.0,0.273,1
1,DES J133233.68+502450.1,13 32 33.6862,+50 24 50.137,8.736141,GtowardsCl,71529.0,0.27543,1
2,DES J133232.18+502458.2,13 32 32.1900,+50 24 58.260,11.801324,GtowardsCl,,,1
3,[MCM2017] A1758S  16,13 32 34.00,+50 24 54.5,13.183898,Galaxy,33364.0,0.11824,1
4,DES J133231.37+502444.2,13 32 31.3762,+50 24 44.239,14.119512,GtowardsCl,70152.0,0.26924,1
5,2MASS J13323297+5025028,13 32 32.9601,+50 25 02.333,14.414923,BrightestCG,70958.0,0.27286,1
6,DES J133233.26+502420.9,13 32 33.2604,+50 24 20.989,27.36678,GtowardsCl,71347.0,0.27461,1
7,SDSS J133235.62+502428.2,13 32 35.6250,+50 24 28.257,33.45265,BrightestCG,71936.0,0.27727,1
8,2MASS J13322890+5024405,13 32 28.91,+50 24 40.5,37.932877,NearIR,,,1
9,DES J133235.97+502512.7,13 32 35.9772,+50 25 12.754,39.17854,GtowardsCl,,,1
10,DES J133229.57+502520.2,13 32 29.5730,+50 25 20.258,44.630642,GtowardsCl,,,1
11,2MASS J13323031+5025275,13 32 30.3160,+50 25 27.621,46.18936,Star,,,1
12,[MCM2017] A1758S  21,13 32 36.00,+50 25 23.4,46.78222,Galaxy,70532.0,0.27094,1
13,[MCM2017] A1758S  23,13 32 33.70,+50 25 36.3,49.059937,Galaxy,69365.0,0.26572,1
14,DES J133227.30+502443.4,13 32 27.3092,+50 24 43.500,52.67808,GtowardsCl,,,1
15,2MASS J13322884+5025261,13 32 28.8516,+50 25 26.050,53.589634,Star,,,1
16,DES J133226.25+502509.9,13 32 26.2590,+50 25 09.908,66.2472,GtowardsCl,71892.0,0.27707,1
17,DES J133238.23+502403.3,13 32 38.2319,+50 24 03.316,68.506996,GtowardsCl,,,1
18,DES J133225.70+502501.7,13 32 25.7032,+50 25 01.737,69.21016,GtowardsCl,,,1
19,SDSS J133240.60+502434.9,13 32 40.6109,+50 24 34.850,75.81407,QSO,199183.0,1.227,1
20,[MCM2017] A1758S  25,13 32 36.50,+50 25 56.7,77.265884,Galaxy,46006.0,0.1673,1
21,LIRAS J133241.05+502502.9,13 32 41.0494,+50 25 02.866,80.23903,AGN,104717.0,0.44,1
22,DES J133224.39+502443.0,13 32 24.3922,+50 24 43.051,80.52073,GtowardsCl,,,1
23,DES J133229.30+502603.0,13 32 29.3041,+50 26 03.087,82.18411,GtowardsCl,,,1
24,DES J133224.51+502425.7,13 32 24.5180,+50 24 25.521,82.29954,GtowardsCl,71590.0,0.27571,1
25,[MCM2017] A1758S  27,13 32 41.70,+50 25 15.0,89.24756,Galaxy,71813.0,0.27671,1
26,DES J133237.76+502606.4,13 32 37.7634,+50 26 06.487,91.70632,GtowardsCl,93478.0,0.3806,1
27,[MCM2017] A1758S  30,13 32 35.30,+50 26 23.9,98.830864,Galaxy,69910.0,0.26816,1
28,DES J133223.07+502413.4,13 32 23.0785,+50 24 13.442,99.15149,GtowardsCl,,,1
29,DES J133229.43+502622.3,13 32 29.4398,+50 26 22.367,99.68044,GtowardsCl,,,1
30,[RGD2013] J133222.98+502410.01,13 32 22.9851,+50 24 09.913,101.26274,GtowardsCl,71003.0,0.27306,1
31,[RGD2013] J133239.096+502611.292,13 32 39.0960,+50 26 11.292,102.75012,Galaxy,94645.0,0.38661,1
32,DES J133221.70+502511.2,13 32 21.7069,+50 25 11.263,108.54958,GtowardsCl,,,1
33,DES J133238.39+502309.7,13 32 38.3988,+50 23 09.748,111.88897,GtowardsCl,72375.0,0.2793,1
34,DES J133221.99+502358.4,13 32 22.0060,+50 23 58.075,114.63304,GtowardsCl,61886.0,0.23298,1
35,DES J133228.39+502635.5,13 32 28.3916,+50 26 35.542,115.49783,GtowardsCl,,,1
36,DES J133227.70+502301.5,13 32 27.7051,+50 23 01.549,117.06844,GtowardsCl,,,1
37,[MCM2017] A1758S  22,13 32 21.40,+50 25 31.2,117.206825,Galaxy,70028.0,0.26869,1
