,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME Hydra I Cluster,10 36 36.0,-27 31 04,0.0,ClG,4168.0,0.014,1
1,NGC  3309,10 36 35.6607,-27 31 05.732,4.8345923,GtowardsGroup,4058.0,0.01363,1
2,[SGM95]  18,10 36 38.12,-27 31 13.8,29.856237,GlobCluster_Candidate,,,1
3,[SGM95]  13,10 36 36.42,-27 31 35.0,31.499445,GlobCluster_Candidate,,,1
4,[SGM95]   5,10 36 33.69,-27 31 12.4,31.85703,GlobCluster_Candidate,,,1
5,[SGM95]  19,10 36 38.38,-27 30 49.9,34.65942,GlobCluster_Candidate,,,1
6,[SGM95]  98,10 36 33.87,-27 30 42.9,35.329147,GlobCluster_Candidate,,,1
7,[SGM95]  14,10 36 36.42,-27 30 27.5,36.9252,GlobCluster_Candidate,,,1
8,[MMH2011] HUCD46,10 36 33.2,-27 30 55,38.32072,GlobCluster_Candidate,3927.0,0.013186,1
9,[MMH2011] 73,10 36 38.8,-27 30 55,38.32072,GlobCluster_Candidate,3134.0,0.010509,1
10,[SGM95]   4,10 36 32.97,-27 30 58.1,40.737938,GlobCluster_Candidate,,,1
11,[MMH2011] 66,10 36 38.98,-27 31 23.7,44.267117,Galaxy,3950.0,0.013264,1
12,[SGM95] 101,10 36 39.316,-27 30 53.73,45.293064,GlobCluster_Candidate,3395.0,0.011389,1
13,[SGM95]  67,10 36 34.05,-27 31 44.5,48.094803,GlobCluster_Candidate,,,1
14,[SGM95]  76,10 36 35.07,-27 31 50.8,48.40747,GlobCluster_Candidate,,,1
15,[SGM95]  20,10 36 38.64,-27 31 40.9,50.94022,GlobCluster_Candidate,,,1
16,[MMH2011] 68,10 36 39.5,-27 31 28,52.380844,GlobCluster_Candidate,4502.0,0.015132,1
17,[MMH2011] HUCD5,10 36 34.4,-27 30 15,53.423775,GlobCluster_Candidate,3804.0,0.01277,1
18,[SGM95]  22,10 36 39.47,-27 31 31.7,53.833267,GlobCluster_Candidate,,,1
19,[MMH2011] 64,10 36 38.0,-27 30 17,54.00893,GlobCluster_Candidate,4053.0,0.013612,1
20,[SGM95]  68,10 36 40.11,-27 31 02.1,54.708515,GlobCluster_Candidate,,,1
21,[SGM95]  10,10 36 34.77,-27 30 10.9,55.56423,GlobCluster_Candidate,,,1
22,[SGM95]  24,10 36 40.00,-27 31 21.8,56.109135,GlobCluster_Candidate,,,1
23,[SGM95]  82,10 36 39.67,-27 31 34.4,57.51148,GlobCluster_Candidate,,,1
24,[MMH2011] 95,10 36 39.0,-27 30 22,57.938763,GlobCluster_Candidate,3748.0,0.012581,1
25,[MMH2011] 90,10 36 32.3,-27 31 35,58.168133,GlobCluster_Candidate,4068.0,0.013663,1
26,[SGM95]  74,10 36 32.00,-27 30 37.2,59.58149,GlobCluster_Candidate,2701.0,0.009051,1
