,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME NGC 383 Group,01 07 27.7,+32 23 59,0.0,GroupG,5053.0,0.017,1
1,NAME Pisces Cloud,01 07.4,+32 24,46.87094,GroupG,,,1
2,NGC   382,01 07 23.87,+32 24 13.9,50.736576,GinPair,5196.0,0.01749,1
3,[MLO2002] 3C  31 J010724.2+322429,01 07 24.2,+32 24 29,53.523197,GtowardsCl,,,1
4,NGC   383,01 07 24.9647,+32 24 45.132,57.689457,RadioG,5036.0,0.016941,1
5,SN 2000dk,01 07 23.52,+32 24 23.2,58.206738,Supernova,5056.0,0.017009,1
6,NGC   387,01 07 33.0515,+32 23 27.781,74.62491,GtowardsGroup,4785.0,0.01609,1
7,SN 2017hle,01 07 33.09,+32 24 29.9,74.929016,Supernova,4463.0,0.015,1
8,JCMTSE J010726.0+322244,01 07 26.0,+32 22 44,78.02991,smmRad,,,1
9,2MASS J01072208+3223229,01 07 22.0810,+32 23 22.943,79.78022,Star,,,1
10,VLSS J0107.4+3225,01 07 24.84,+32 25 13.0,82.38761,Radio,,,1
11,NOGG H   58,01 07 21.7,+32 23 18,86.34911,GroupG,4601.0,0.015467,1
12,VLSS J0107.4+3222,01 07 29.85,+32 22 32.7,90.49498,Radio,,,1
13,SN 2015ar,01 07 20.38,+32 23 59.8,92.71083,Supernova,5053.0,0.017,1
14,2MASS J01071987+3223396,01 07 19.8761,+32 23 39.605,100.97208,Star,,,1
15,NVSS J010725+322535,01 07 25.0,+32 25 35,101.906715,Radio,,,1
16,NVSS J010730+322220,01 07 30.0,+32 22 20,103.19778,Radio,,,1
17,JCMTSE J010732.6+322226,01 07 32.6,+32 22 26,111.809364,smmRad,,,1
18,2MASS J01072215+3222183,01 07 22.1547,+32 22 18.283,122.791115,Star,,,1
19,NGC   386,01 07 31.3075,+32 21 42.936,143.53252,GtowardsGroup,5504.0,0.01853,1
20,2MASS J01072046+3221588,01 07 20.4656,+32 21 58.862,151.09906,Star,,,1
21,2MASX J01071798+3225281,01 07 18.0009,+32 25 28.081,151.72562,GtowardsGroup,5607.0,0.01888,1
22,RSCG  5,01 07 23.7,+32 21 23,164.02332,Compact_Gr_G,5053.0,0.017,1
23,[TKT2016] 65,01 07 14.71,+32 22 52.4,177.53859,GroupG,,,1
24,JCMTSE J010729.3+322056,01 07 29.3,+32 20 56,184.11914,smmRad,,,1
25,LGG  17,01 07 39,+32 21.9,190.03815,GroupG,4677.0,0.015724,1
26,JCMTSF J010735.9+322032,01 07 35.9,+32 20 32,231.60579,smmRad,,,1
27,VLSS J0107.4+3227,01 07 24.85,+32 27 56.0,239.73091,Radio,,,1
28,[PMC2000] RX J010742.15+322642.5,01 07 42.15,+32 26 42.5,245.37228,X,,,1
29,1RXS J010743.1+322652,01 07 43.099,+32 26 52.51,261.0004,X,,,1
30,SDSS J010716.15+322014.7,01 07 16.1477,+32 20 14.778,267.76154,Star,,,1
31,MLCG 1435,01 07 27.848,+32 19 29.44,269.56815,Compact_Gr_G,4876.0,0.0164,1
