,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME Sausage Cluster,22 42 53.0,+53 01 05,0.0,ClG,52143.0,0.1921,1
1,[DJS2015] J224251.765+530054.205,22 42 51.7628,+53 00 54.194,15.536421,Galaxy,54217.0,0.2006445,1
2,[DJS2015] J224251.939+530121.348,22 42 51.9390,+53 01 21.348,18.944832,Star,,,1
3,[DJS2015] J224255.127+530105.467,22 42 55.1270,+53 01 05.467,19.19853,Galaxy,52315.0,0.1928056,1
4,[DJS2015] J224251.621+530120.028,22 42 51.6210,+53 01 20.028,19.510572,Galaxy,51756.0,0.1905129,1
5,[DJS2015] J224252.028+530124.031,22 42 52.0280,+53 01 24.031,20.954626,Star,,,1
6,[DJS2015] J224251.173+530049.991,22 42 51.1681,+53 00 49.928,22.369555,Galaxy,51969.0,0.1913865,1
7,[RPO2017] J224250.91+530044.05,22 42 50.910,+53 00 44.05,28.188875,Radio,,,1
8,[DJS2015] J224250.715+530045.686,22 42 50.7150,+53 00 45.686,28.2526,Star,,,1
9,[LMG2017] G,22 42 51.338,+53 00 35.00,33.540314,Radio,,,1
10,[DJS2015] J224250.058+530128.988,22 42 50.0527,+53 01 28.921,35.76834,Star,,,1
11,[DJS2015] J224256.499+530042.983,22 42 56.4990,+53 00 42.983,38.49347,Galaxy,51240.0,0.1884065,1
12,[DJS2015] J224249.724+530029.074,22 42 49.7240,+53 00 29.074,46.52657,Galaxy,50788.0,0.1865609,1
13,[DJS2015] J224251.524+530020.389,22 42 51.5240,+53 00 20.389,46.55725,Galaxy,53084.0,0.195968,1
14,[DJS2015] J224247.597+530103.189,22 42 47.5970,+53 01 03.189,48.787605,Galaxy,49657.0,0.181966,1
15,[DJS2015] J224248.293+530132.775,22 42 48.2929,+53 01 32.762,50.73968,Star,,,1
