,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME Stephan's Quintet,22 35 57.5,+33 57 36,0.0,Compact_Gr_G,6376.0,0.0215,1
1,[KAG2014] 13006,22 35 57.658,+33 57 35.22,2.1148424,HIIReg,,,1
2,[TKB2012] T111c,22 35 57.22,+33 57 36.4,3.5064838,Cluster*,5663.0,0.01907,1
3,[TKB2012] T111b,22 35 56.97,+33 57 37.6,6.785275,Cluster*,5607.0,0.01888,1
4,[TMD2009] HCG  92 26,22 35 56.95,+33 57 38.4,7.2721443,UV,,,1
5,USGC U816,22 35 57.79,+33 57 43.6,8.420024,GroupG,6584.0,0.02221,1
6,[TKB2012] T111a,22 35 56.74,+33 57 38.6,9.80639,Cluster*,5646.0,0.01901,1
7,[KAG2014] 12013,22 35 58.392,+33 57 31.73,11.890943,HIIReg,,,1
8,[KAG2014] 30093,22 35 58.658,+33 57 43.95,16.45489,HIIReg,,,1
9,[TMD2009] HCG  92 24,22 35 59.10,+33 57 34.8,19.96942,UV,,,1
10,NGC  7318A,22 35 56.85,+33 57 54.3,20.007109,GinPair,6630.0,0.022365,1
11,[KAG2014] 50009,22 35 56.501,+33 57 19.57,20.601763,HIIReg,,,1
12,NGC  7318,22 35 57.912,+33 57 56.27,20.908028,InteractingG,781.0,0.00261,1
13,[KAG2014] 10006,22 35 59.196,+33 57 33.98,21.19718,HIIReg,,,1
14,2MASS J22355674+3357561,22 35 56.7311,+33 57 56.223,22.371727,Galaxy,,,1
15,CXOU J223555.6+335738,22 35 55.69,+33 57 38.7,22.680151,X,,,1
16,[TMD2009] HCG  92 31,22 35 55.69,+33 57 42.5,23.475973,UV,,,1
17,[TKB2012] T112,22 35 55.67,+33 57 43.6,24.00249,Cluster*,5688.0,0.01916,1
18,NGC  7318B,22 35 58.3903,+33 57 57.827,24.477272,GinPair,5774.0,0.019449,1
19,[ONM98] ULR 1,22 35 59.7,+33 57 34,27.444178,EmObj,,,1
20,[TMD2009] HCG  92 21,22 35 59.69,+33 57 39.5,27.469793,UV,,,1
21,[XLC2003] Nb,22 35 59.71,+33 57 36.8,27.50713,Radio,,,1
22,[KAG2014] 50007,22 35 58.157,+33 57 09.65,27.588814,HIIReg,,,1
23,[TKB2012] T121,22 35 59.77,+33 57 39.0,28.400768,Cluster*,5647.0,0.01902,1
24,[KAG2014] 30162,22 35 59.798,+33 57 39.35,28.785814,HIIReg,,,1
25,[ONM98] ULR 2,22 35 59.9,+33 57 41,30.274893,EmObj,,,1
26,[TMD2009] HCG  92 28,22 35 56.35,+33 57 09.0,30.60506,UV,,,1
27,[KAG2014] 50006,22 35 56.366,+33 57 07.48,31.819185,HIIReg,,,1
28,[KAG2014] 13003,22 35 59.930,+33 57 47.36,32.295948,HIIReg,,,1
29,[KAG2014] 12018,22 36 00.029,+33 57 46.49,33.166412,HIIReg,,,1
30,[TKB2012] T120,22 36 00.03,+33 57 46.5,33.181377,Cluster*,5641.0,0.019,1
31,[XLC2003] Ne,22 35 59.82,+33 57 17.4,34.338696,Radio,,,1
32,[TKB2012] T113,22 35 55.48,+33 57 10.6,35.732517,Cluster*,5695.0,0.01918,1
33,[KAG2014] 12014,22 35 55.346,+33 57 11.79,36.115887,HIIReg,,,1
34,[XLC2003] Na,22 35 59.57,+33 58 01.8,36.453243,Radio,,,1
35,[TMD2009] HCG  92 32,22 35 55.28,+33 57 11.6,36.867634,UV,,,1
36,[KAG2014] 11002,22 36 00.185,+33 57 52.52,37.26604,HIIReg,,,1
37,[TKB2012] T115,22 35 54.98,+33 57 13.1,38.82595,Cluster*,5701.0,0.0192,1
38,[TMD2009] HCG  92 33,22 35 54.38,+33 57 31.4,39.095715,UV,,,1
39,[TKB2012] T114,22 35 55.07,+33 57 10.6,39.48732,Cluster*,5647.0,0.01902,1
40,[KAG2014] 12015,22 36 00.094,+33 57 58.82,39.524975,HIIReg,,,1
41,[TMD2009] HCG  92 18,22 36 00.32,+33 57 55.0,39.84986,UV,,,1
42,[KAG2014] 60003,22 35 56.597,+33 58 16.35,41.88463,HIIReg,,,1
43,[TMD2009] HCG  92 20,22 36 00.04,+33 58 04.9,42.832832,UV,,,1
44,CXOU J223557.3+335818,22 35 57.36,+33 58 18.8,42.835423,X,,,1
45,[KAG2014] 30170,22 35 54.384,+33 57 17.02,43.165367,HIIReg,,,1
