,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NAME XMMU J1229.4+0151,12 29 28.8,+01 51 34,0.0,ClG,177542.0,0.976,1
1,[CCL2014] XMM1229 306,12 29 28.803,+01 51 32.61,1.3907274,Galaxy,184543.0,1.05,1
2,[SRG2009] 30004,12 29 28.7490,+01 51 36.500,2.6143467,GtowardsCl,176949.0,0.97,1
3,[SRG2009] 3949,12 29 28.714,+01 51 36.97,3.2377844,GtowardsCl,177542.0,0.976,1
4,[CCL2014] XMM1229 322,12 29 28.686,+01 51 39.12,5.3977237,Galaxy,177936.0,0.98,1
5,[SRG2009] 3495,12 29 29.187,+01 51 29.60,7.2816596,GtowardsCl,177936.0,0.98,1
6,[CCL2014] XMM1229 331,12 29 29.059,+01 51 40.51,7.580067,Galaxy,168653.0,0.89,1
7,[CCL2014] XMM1229 283,12 29 28.258,+01 51 30.16,8.987377,Galaxy,169731.0,0.9,1
8,[CCL2014] XMM1229 265,12 29 28.929,+01 51 24.92,9.283679,Galaxy,192332.0,1.14,1
9,[SRG2009] 3507,12 29 29.199,+01 51 25.77,10.174254,GtowardsCl,177542.0,0.976,1
10,[SRG2009] 3497,12 29 29.3970,+01 51 28.470,10.520926,GtowardsCl,178131.0,0.982,1
11,[SRG2009] 20010,12 29 29.448,+01 51 28.81,11.014314,GtowardsCl,177641.0,0.977,1
12,[CCL2014] XMM1229 309,12 29 29.665,+01 51 33.33,12.985465,Galaxy,164216.0,0.85,1
13,[SRG2009] 20013,12 29 28.428,+01 51 21.29,13.879762,GtowardsCl,177837.0,0.979,1
14,[SRG2009] 3430,12 29 29.297,+01 51 21.82,14.278341,GtowardsCl,177345.0,0.974,1
15,[CCL2014] XMM1229 262,12 29 29.507,+01 51 24.20,14.435643,Galaxy,189819.0,1.11,1
16,[CCL2014] XMM1229 244,12 29 29.028,+01 51 19.77,14.634788,Galaxy,176949.0,0.97,1
17,[CCL2014] XMM1229 240,12 29 29.420,+01 51 21.32,15.722007,Galaxy,181773.0,1.02,1
