,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NGC  4636,12 42 49.8333,+02 41 15.951,0.0010194147,LINER,919.0,0.00307,1
1,[HFE2003] NGC  4636 ESX-2,12 42 49.8,+02 41 15,1.0739425,X,,,1
2,[LB2005] NGC  4636 X1,12 42 49.73,+02 41 13.0,3.3322775,X,,,1
3,[HFE2003] NGC  4636 ESX-3,12 42 49.7,+02 41 11,5.3386903,X,,,1
4,[HFE2003] NGC  4636 ESX-1,12 42 50.2,+02 41 15,5.5761437,X,,,1
5,PMN J1242+0241,12 42 50.3,+02 41 19,7.8714614,Radio,,,1
6,[HFE2003] NGC  4636 ESX-4,12 42 50.2,+02 41 10,8.099593,X,,,1
7,NAME NGC 4636 Group,12 42 49.5,+02 41 08,9.389275,GroupG,1316.0,0.0044,1
8,[CHP2004] J124248.6+024128,12 42 48.6,+02 41 28,22.06029,X,,,1
9,[PLH2010] 10021,12 42 49.45,+02 41 38.5,23.26889,GlobCluster,966.0,0.003227,1
10,[CHP2004] J124249.6+024051,12 42 49.6,+02 40 51,25.194683,X,,,1
11,[PLH2010] 9995,12 42 51.02,+02 40 57.6,25.55233,GlobCluster,1153.0,0.003853,1
12,[SRH2012] f05-07,12 42 49.1681,+02 40 47.210,30.419415,GlobCluster,826.0,0.002759,1
13,[CHP2004] J124249.1+024048,12 42 49.1,+02 40 46,31.902761,X,,,1
14,SN 1939A,12 42 48.08,+02 41 35.9,32.986393,Supernova,,,1
15,[SRH2012] f05-12,12 42 47.50,+02 41 20.2,35.218235,GlobCluster,640.0,0.002137,1
16,[SW2006] NGC 4636 1,12 42 51.53,+02 40 49.9,36.40003,PlanetaryNeb,,,1
17,[SRH2012] f05-16,12 42 48.1232,+02 41 43.335,37.50232,GlobCluster,728.0,0.002431,1
18,[SRH2012] f05-10,12 42 47.0742,+02 41 06.839,42.33287,GlobCluster,859.0,0.002869,1
19,[SRH2012] f05-19,12 42 48.60,+02 42 04.8,52.227386,GlobCluster,1269.0,0.004242,1
20,[SRH2012] f05-06,12 42 47.24,+02 40 40.6,52.53141,GlobCluster,827.0,0.002762,1
21,[PLH2010] 627,12 42 51.95,+02 41 58.5,53.068684,GlobCluster,1047.0,0.003499,1
22,[PLH2010] 244,12 42 49.29,+02 42 09.0,53.669952,GlobCluster,661.0,0.002207,1
23,[SRD2006] 1.2 88,12 42 50.2767,+02 42 11.277,55.724277,GlobCluster,971.0,0.003244,1
24,[CHP2004] J124250.1+024212,12 42 50.1,+02 42 12,56.191273,X,,,1
25,[MBS2017b] J124253.75+024112.6,12 42 53.75,+02 41 12.6,58.781487,Galaxy,,,1
26,[SRH2012] f05-04,12 42 47.80,+02 40 25.5,58.936306,GlobCluster,542.0,0.00181,1
27,[CHP2004] J124247.2+024201,12 42 47.2,+02 42 01,59.88469,X,,,1
28,[SRD2006] 1.1 91,12 42 53.6271,+02 41 38.030,60.98282,GlobCluster,1051.0,0.003512,1
