,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NSC J123020+161652,12 30 20.8,+16 17 37,0.0,ClG,54061.0,0.2,1
1,LAMOST J123020.84+161737.2,12 30 20.8387,+16 17 37.291,0.6290896,GtowardsCl,54845.0,0.203251,1
2,DES J123019.74+161740.7,12 30 19.7433,+16 17 40.745,15.667654,GtowardsCl,,,1
3,DES J123019.63+161728.8,12 30 19.6300,+16 17 28.875,18.702024,GtowardsCl,,,1
4,DES J123020.42+161710.3,12 30 20.4236,+16 17 10.345,27.200447,GtowardsCl,,,1
5,SDSS J123018.86+161726.0,12 30 18.8644,+16 17 26.049,29.941454,GtowardsCl,54886.0,0.20342,1
6,DES J123022.14+161807.4,12 30 22.1405,+16 18 07.420,36.025826,GtowardsCl,,,1
7,DES J123018.23+161723.2,12 30 18.2345,+16 17 23.318,39.388786,GtowardsCl,,,1
8,DES J123018.33+161802.6,12 30 18.3323,+16 18 02.608,43.795296,GtowardsCl,,,1
9,DES J123018.96+161649.7,12 30 18.9688,+16 16 49.704,54.149036,GtowardsCl,,,1
10,DES J123018.99+161647.3,12 30 18.9939,+16 16 47.335,56.060703,GtowardsCl,,,1
11,DES J123023.26+161823.4,12 30 23.2648,+16 18 23.464,58.464897,GtowardsCl,,,1
12,DES J123017.28+161807.0,12 30 17.2858,+16 18 07.015,58.82725,GtowardsCl,,,1
13,DES J123021.83+161834.4,12 30 21.8346,+16 18 34.467,59.365753,GtowardsCl,,,1
14,DES J123017.06+161706.5,12 30 17.0618,+16 17 06.521,61.852295,GtowardsCl,,,1
15,DES J123017.75+161822.6,12 30 17.7509,+16 18 22.677,63.351986,GtowardsCl,,,1
16,DES J123016.98+161701.9,12 30 16.9895,+16 17 01.885,65.137344,GtowardsCl,,,1
17,DES J123021.22+161631.9,12 30 21.2280,+16 16 31.955,65.33555,GtowardsCl,,,1
18,DES J123025.55+161751.5,12 30 25.5509,+16 17 51.587,69.93914,GtowardsCl,,,1
19,DES J123020.05+161853.6,12 30 20.0528,+16 18 53.598,77.350006,GtowardsCl,,,1
20,DES J123018.74+161621.2,12 30 18.7427,+16 16 21.258,81.328636,GtowardsCl,,,1
21,DES J123026.73+161731.5,12 30 26.7297,+16 17 31.571,85.54732,GtowardsCl,,,1
22,DES J123014.96+161719.0,12 30 14.9675,+16 17 19.042,85.87339,GtowardsCl,,,1
23,DES J123025.41+161836.7,12 30 25.4199,+16 18 36.671,89.35723,GtowardsCl,,,1
24,DES J123026.84+161715.2,12 30 26.8481,+16 17 15.297,89.74259,GtowardsCl,,,1
25,SDSS J123018.72+161608.3,12 30 18.727,+16 16 08.30,93.58609,BrightestCG,63886.0,0.24162,1
26,DES J123014.58+161823.9,12 30 14.5832,+16 18 23.921,101.05703,GtowardsCl,,,1
27,DES J123019.17+161545.6,12 30 19.1761,+16 15 45.602,113.825966,GtowardsCl,,,1
28,DES J123014.76+161623.4,12 30 14.7614,+16 16 23.466,113.871895,GtowardsCl,,,1
29,SDSS J123020.37+161943.7,12 30 20.374,+16 19 43.70,126.84612,BrightestCG,54780.0,0.20298,1
30,DES J123012.79+161844.2,12 30 12.7996,+16 18 44.259,133.38075,GtowardsCl,,,1
31,DES J123015.41+161927.7,12 30 15.4116,+16 19 27.782,135.24245,GtowardsCl,84103.0,0.33411,1
32,DES J123030.34+161650.4,12 30 30.3430,+16 16 50.435,145.07724,GtowardsCl,,,1
33,DES J123013.48+161922.1,12 30 13.4893,+16 19 22.169,148.78708,GtowardsCl,,,1
34,DES J123021.93+161505.1,12 30 21.9345,+16 15 05.172,152.70352,GtowardsCl,,,1
35,DES J123027.40+161520.7,12 30 27.4062,+16 15 20.715,166.1978,GtowardsCl,,,1
36,SDSS J123020.48+161448.5,12 30 20.4810,+16 14 48.552,168.51027,GtowardsCl,54264.0,0.20084,1
37,DES J123012.32+161535.0,12 30 12.3277,+16 15 35.076,172.47292,GtowardsCl,,,1
38,DES J123016.23+161453.2,12 30 16.2310,+16 14 53.235,176.48618,GtowardsCl,,,1
39,DES J123018.90+162040.0,12 30 18.9038,+16 20 40.098,185.1218,GtowardsCl,,,1
40,SDSS J123031.32+161941.2,12 30 31.322,+16 19 41.26,195.9281,BrightestCG,65584.0,0.24902,1
41,DES J123006.59+161724.7,12 30 06.5975,+16 17 24.734,204.8501,GtowardsCl,,,1
42,DES J123011.10+161446.2,12 30 11.1085,+16 14 46.299,220.48424,GtowardsCl,,,1
43,DES J123016.59+161401.9,12 30 16.5937,+16 14 01.953,223.41368,GtowardsCl,67701.0,0.25833,1
44,DES J123010.54+162028.7,12 30 10.5461,+16 20 28.736,226.45706,GtowardsCl,,,1
45,SDSS J123012.07+162050.3,12 30 12.0753,+16 20 50.391,230.59644,WhiteDwarf,48.93,0.000163,1
46,DES J123014.11+162110.0,12 30 14.1160,+16 21 10.053,233.7721,GtowardsCl,,,1
47,DES J123014.80+162115.1,12 30 14.8091,+16 21 15.193,234.61847,GtowardsCl,,,1
48,2XMM J123032.2+162026,12 30 32.3343,+16 20 25.955,236.89056,X,,,1
49,SDSS J123037.22+161628.2,12 30 37.230,+16 16 28.22,246.35313,Galaxy,36840.0,0.13146,1
50,SDSS J123007.22+161500.0,12 30 07.2301,+16 14 59.989,250.66158,QSO,269272.0,3.318,1
51,2XMM J123010.7+161408,12 30 10.669,+16 14 08.33,254.60764,X,,,1
52,DES J123022.00+161317.3,12 30 22.0008,+16 13 17.392,260.1832,GtowardsCl,,,1
53,DES J123002.06+161716.9,12 30 02.0687,+16 17 16.933,270.43478,GtowardsCl,,,1
54,LAMOST J123038.72+161601.2,12 30 38.723,+16 16 01.27,275.24945,Galaxy,20505.0,0.070906,1
55,LAMOST J123025.82+162212.5,12 30 25.8203,+16 22 12.532,284.85117,Star,26.35,8.8e-05,1
56,DES J123026.66+161249.6,12 30 26.6625,+16 12 49.655,299.48996,GtowardsCl,,,1
57,2XMM J123008.5+161313,12 30 08.555,+16 13 14.25,316.4334,X,,,1
58,DES J123015.47+162250.1,12 30 15.4744,+16 22 50.149,322.3957,GtowardsCl,,,1
59,SDSS J123015.51+161214.2,12 30 15.511,+16 12 14.20,331.66153,BrightestCG,94227.0,0.38447,1
60,DES J123010.89+161218.3,12 30 10.8915,+16 12 18.313,349.17355,GtowardsCl,,,1
61,DES J123021.07+162327.7,12 30 21.0731,+16 23 27.747,350.7692,GtowardsCl,,,1
62,DES J123001.97+161354.1,12 30 01.9724,+16 13 54.177,350.93115,GtowardsCl,,,1
63,DES J123017.48+162332.0,12 30 17.4880,+16 23 32.045,358.2315,GtowardsCl,,,1
64,Z  99-69,12 30 05.120,+16 22 16.86,359.5359,Galaxy,9294.0,0.031497,1
65,2MASX J12304792+1616413,12 30 47.9732,+16 16 41.220,395.19922,Galaxy,20584.0,0.07119,1
66,SDSS J123003.81+162308.3,12 30 03.8090,+16 23 08.265,411.76636,QSO,251402.0,2.375,1
67,2XMM J123045.0+161334,12 30 45.038,+16 13 34.51,424.99612,X,,,1
68,GALEX J123045.6+162139,12 30 45.6906,+16 21 38.385,432.0283,WhiteDwarf,,,1
69,NVSS J123049+161518,12 30 49.412,+16 15 18.56,434.62128,Radio,,,1
70,SDSS J122953.25+162039.3,12 29 53.253,+16 20 39.38,436.4895,Galaxy,19851.0,0.06856,1
71,2XMM J123024.2+162454,12 30 24.1307,+16 24 54.121,439.74268,Star,,,1
72,2XMM J123053.2+161932,12 30 53.2361,+16 19 31.406,480.77435,X,,,1
73,2XMM J123048.3+162230,12 30 48.3932,+16 22 30.026,493.58554,X,,,1
74,2XMM J123022.7+160904,12 30 22.763,+16 09 03.90,513.87836,X,,,1
75,SDSS J122949.28+161334.1,12 29 49.287,+16 13 34.09,514.7093,QSO,250924.0,2.357,1
76,SDSSCGB 9156.2,12 30 10.374,+16 26 17.96,542.1396,Galaxy,,,1
77,LBQS 1228+1642,12 30 38.0551,+16 25 41.087,544.0738,QSO,162971.0,0.83909,1
