,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NSCS J132438+053216,13 24 34.000,+05 34 27.10,0.0019966008,ClG,60521.0,0.22714,1
1,DES J132434.40+053423.3,13 24 34.4019,+05 34 23.318,7.0927377,GtowardsCl,,,1
2,SDSS J132433.69+053419.7,13 24 33.6941,+05 34 19.723,8.674925,BrightestCG,95334.0,0.39016,1
3,SDSS J132435.25+053419.1,13 24 35.2501,+05 34 19.165,20.27964,BrightestCG,60764.0,0.22818,1
4,DES J132432.35+053430.5,13 24 32.3486,+05 34 30.492,24.886013,GtowardsCl,,,1
5,SDSS J132435.55+053417.5,13 24 35.5542,+05 34 17.602,25.071756,GtowardsCl,60521.0,0.22714,1
6,DES J132432.21+053425.7,13 24 32.2113,+05 34 25.729,26.739326,GtowardsCl,,,1
7,[SPD2011] 11225,13 24 36.4,+05 34 07,40.71821,ClG,95419.0,0.3906,1
8,DES J132430.53+053439.5,13 24 30.5394,+05 34 39.574,53.148006,GtowardsCl,,,1
9,DES J132430.79+053501.4,13 24 30.7986,+05 35 01.485,58.87795,GtowardsCl,,,1
10,DES J132430.21+053501.9,13 24 30.2188,+05 35 01.938,66.33406,GtowardsCl,,,1
11,DES J132430.44+053341.8,13 24 30.4469,+05 33 41.826,69.73842,GtowardsCl,,,1
12,DES J132430.99+053521.4,13 24 30.9916,+05 35 21.434,70.49362,GtowardsCl,,,1
13,DES J132430.86+053528.0,13 24 30.8632,+05 35 28.053,76.86498,GtowardsCl,,,1
14,DES J132428.93+053459.3,13 24 28.9307,+05 34 59.366,82.27059,GtowardsCl,,,1
15,DES J132439.96+053351.3,13 24 39.9615,+05 33 51.338,95.91648,GtowardsCl,,,1
16,NVSS J132431+053254,13 24 31.9922,+05 32 52.870,98.881996,Radio,,,1
17,SDSS J132437.30+053612.5,13 24 37.308,+05 36 12.52,116.41147,BrightestCG,104259.0,0.4375,1
18,DES J132441.34+053523.6,13 24 41.3451,+05 35 23.691,123.39669,GtowardsCl,,,1
19,DES J132432.67+053208.5,13 24 32.6784,+05 32 08.534,139.96368,GtowardsCl,,,1
20,DES J132439.03+053219.6,13 24 39.0350,+05 32 19.690,147.93216,GtowardsCl,,,1
21,DES J132441.86+053255.0,13 24 41.8615,+05 32 55.008,149.18414,GtowardsCl,,,1
22,DES J132444.16+053400.5,13 24 44.1661,+05 34 00.588,154.06921,GtowardsCl,,,1
23,DES J132428.19+053638.5,13 24 28.1996,+05 36 38.586,157.43796,GtowardsCl,,,1
24,DES J132428.90+053654.2,13 24 28.9077,+05 36 54.296,165.66792,GtowardsCl,,,1
25,DES J132435.25+053133.1,13 24 35.2503,+05 31 33.176,174.9233,GtowardsCl,,,1
26,2XMM J132425.5+053634,13 24 25.557,+05 36 34.69,179.34846,X,,,1
27,SDSS J132438.41+053124.5,13 24 38.4145,+05 31 24.577,194.05716,BrightestCG,61024.0,0.22929,1
28,DES J132438.83+053120.6,13 24 38.8375,+05 31 20.628,199.96996,GtowardsCl,,,1
29,DES J132423.34+053219.9,13 24 23.3425,+05 32 19.946,203.67764,GtowardsCl,,,1
30,DES J132443.45+053155.3,13 24 43.4580,+05 31 55.366,207.27164,GtowardsCl,,,1
31,DES J132447.71+053330.7,13 24 47.7162,+05 33 30.799,212.3723,GtowardsCl,,,1
32,DES J132439.47+053048.7,13 24 39.4769,+05 30 48.790,233.12117,GtowardsCl,,,1
33,SDSS J132419.70+053232.0,13 24 19.708,+05 32 32.09,242.39494,QSO,257603.0,2.6348,1
34,NVSS J132448+053613,13 24 48.8,+05 36 12,245.22482,Radio,,,1
35,SDSS J132449.25+053625.3,13 24 49.2496,+05 36 25.356,256.53876,Low-Mass*,-52.0,-0.000173,1
36,DES J132445.69+053735.7,13 24 45.6963,+05 37 35.752,257.05548,GtowardsCl,,,1
37,LEDA  165618,13 24 19.8862,+05 37 04.693,263.1137,Seyfert2,54739.0,0.20281,1
38,[DML87] 318,13 24 19.8,+05 37 03,263.13956,Infrared,,,1
39,[DG2000] 13218+0552,13 24 19.7,+05 37 03,264.34366,Maser,55266.0,0.205,1
40,TYC  306-865-1,13 24 22.6847,+05 31 00.270,267.0529,Star,-9.21,-3.1e-05,1
41,SDSS J132430.41+053900.2,13 24 30.4115,+05 39 00.241,278.34448,Star,314.1,0.001048,1
42,TYC  306-669-1,13 24 35.6548,+05 39 15.811,289.76663,Star,-23.53,-7.8e-05,1
43,BD+06  2737,13 24 38.1870,+05 39 56.014,334.80045,SB*,,,1
44,NSC J132456+053353,13 24 56.94,+05 33 53.2,344.1493,ClG,48801.0,0.1785,1
45,SDSS J132418.32+052918.3,13 24 18.3293,+05 29 18.390,387.35095,QSO,182054.0,1.023,1
46,GALEX J132407.3+053609,13 24 07.3911,+05 36 08.728,410.02942,WhiteDwarf_Candidate,,,1
47,LEDA 1286940,13 24 53.9654,+05 39 12.281,412.50345,Galaxy,36092.0,0.1286,1
48,2MASS J13240632+0533137,13 24 06.3338,+05 33 13.537,419.53665,Galaxy,60497.0,0.22704,1
49,LEDA 1285413,13 25 02.4,+05 33 36,427.0589,Galaxy,,,1
50,SDSS J132500.63+053122.0,13 25 00.6338,+05 31 22.119,438.5575,Low-Mass*,9.361,3.1e-05,1
51,SDSS J132400.10+053423.3,13 24 00.1008,+05 34 23.311,506.0973,BrightestCG,71072.0,0.27337,1
