,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,NVSS J023347-085056,02 33 46.90,-08 50 54.4,0.0,ClG,65808.0,0.25,1
1,SDSS J023347.21-085057.2,02 33 47.214,-08 50 57.30,5.4876733,BrightestCG,69259.0,0.26525,1
2,LEDA  998429,02 33 46.861,-08 50 48.41,6.0198736,Galaxy,27554.0,0.09655,1
3,DES J023347.86-085054.6,02 33 47.8602,-08 50 54.659,14.234646,GtowardsCl,,,1
4,GAMA 1943705,02 33 47.86,-08 50 54.7,14.243074,Galaxy,69503.0,0.26634,1
5,GAMA 1943636,02 33 47.32,-08 51 10.9,17.646875,Galaxy,69711.0,0.26727,1
6,DES J023347.32-085111.0,02 33 47.3227,-08 51 11.025,17.766726,GtowardsCl,,,1
7,SDSS J023345.02-085039.3,02 33 45.023,-08 50 39.30,31.657871,BrightestCG,69353.0,0.26567,1
8,DES J023348.03-085127.6,02 33 48.0367,-08 51 27.697,37.316475,GtowardsCl,,,1
9,DES J023343.91-085034.7,02 33 43.9185,-08 50 34.739,48.36672,GtowardsCl,,,1
10,DES J023350.46-085108.4,02 33 50.4622,-08 51 08.498,54.64636,GtowardsCl,,,1
11,DES J023347.28-085148.8,02 33 47.2841,-08 51 48.810,54.70693,GtowardsCl,,,1
12,DES J023343.91-085021.2,02 33 43.9102,-08 50 21.256,55.338142,GtowardsCl,,,1
13,DES J023349.67-085012.4,02 33 49.6729,-08 50 12.444,58.73168,GtowardsCl,,,1
14,2MASS J02334210-0850179,02 33 42.1041,-08 50 17.923,79.895355,Star,5.24088,1.7e-05,1
15,DES J023347.31-084930.5,02 33 47.3112,-08 49 30.513,84.10778,GtowardsCl,,,1
16,DES J023344.76-085220.3,02 33 44.7662,-08 52 20.373,91.60472,GtowardsCl,,,1
17,DES J023347.15-085245.2,02 33 47.1503,-08 52 45.234,110.896164,GtowardsCl,,,1
18,DES J023354.35-085132.7,02 33 54.3516,-08 51 32.752,116.91205,GtowardsCl,,,1
19,2XMM J023354.9-084948,02 33 54.987,-08 49 48.29,136.88675,X,,,1
20,2MASS J02334018-0849164,02 33 40.1947,-08 49 16.672,139.38402,ChemPec*,328.2,0.001095,1
21,SDSS J023350.80-084834.0,02 33 50.8019,-08 48 34.121,151.7334,ChemPec*,-86.85243,-0.00029,1
22,DES J023349.32-085323.0,02 33 49.3215,-08 53 23.099,152.96863,GtowardsCl,,,1
23,DES J023357.29-085134.5,02 33 57.2948,-08 51 34.554,159.21136,GtowardsCl,,,1
24,DES J023356.07-084914.2,02 33 56.0767,-08 49 14.248,168.91145,GtowardsCl,,,1
25,DES J023338.91-084841.9,02 33 38.9168,-08 48 41.939,177.61658,GtowardsCl,,,1
26,GAMA 1943157,02 33 57.00,-08 52 32.1,178.72726,Galaxy,47407.0,0.17289,1
27,UCAC4 406-002875,02 33 40.4565,-08 53 29.387,182.04604,Star,57.396801,0.000191,1
28,GAMA 1943625,02 33 33.56,-08 50 50.5,197.76852,Galaxy,39262.0,0.14079,1
29,GAMA 1943166,02 33 34.54,-08 52 32.1,207.57878,Galaxy,50797.0,0.1866,1
30,GAMA 1943063,02 33 58.59,-08 53 03.8,216.23228,Galaxy,67895.0,0.25919,1
31,SDSS J023333.67-084844.0,02 33 33.6720,-08 48 43.996,235.47252,Star,76.9,0.000257,1
