,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,PLCKESZ G171.9-40.7,03 12 55,+08 22.8,6.5295334,ClG,70767.0,0.272,1
1,[ACZ2018] PLCK G171.9 c4.1,03 12 55.503,+08 22 34.21,15.680643,LensedImage_Candidate,262082.0,2.86,1
2,[ACZ2018] PLCK G171.9 3.2,03 12 56.099,+08 22 40.68,17.87644,LensedImage,251795.0,2.39,1
3,RELICS wfc3ir PLCK G171.9-40.6  130,03 12 54.204,+08 23 03.88,19.791626,Galaxy,286727.0,5.7,1
4,[ACZ2018] PLCK G171.9 c4.2,03 12 55.171,+08 22 26.60,21.549932,LensedImage_Candidate,,,1
5,[ACZ2018] PLCK G171.9 1.2,03 12 56.281,+08 22 36.36,22.29051,LensedImage,239108.0,1.98,1
6,[GKW2013] S2,03 12 53.9,+08 23 05,23.56829,Radio,,,1
7,[ACZ2018] PLCK G171.9 2.4,03 12 56.467,+08 22 32.21,26.893585,LensedImage,76898.0,0.3,1
8,[ACZ2018] PLCK G171.9 3.1,03 12 55.015,+08 22 18.30,29.700834,LensedImage,239473.0,1.99,1
9,[GKW2013] S1,03 12 53.2,+08 23 12,35.909668,Radio,,,1
10,RELICS wfc3ir PLCK G171.9-40.6  355,03 12 57.268,+08 22 35.47,35.913643,Galaxy,179875.0,1.0,1
11,[ACZ2018] PLCK G171.9 1.1,03 12 55.230,+08 22 08.10,40.045723,LensedImage,239834.0,2.0,1
12,[GKW2013] S3,03 12 56.9,+08 22 11,46.51902,Radio,,,1
13,RX J0312.9+0822,03 12 57,+08 22.2,46.657337,X,,,1
14,2MASS J03125698+0823271,03 12 56.9933,+08 23 27.135,49.057285,Star,,,1
15,[ACZ2018] PLCK G171.9 2.5,03 12 57.387,+08 22 12.06,50.462708,LensedImage,,,1
16,[OOP2020] PLCK G171.9-40.7 BCG,03 12 57.4649,+08 22 11.161,51.91425,BrightestCG,,,1
17,[ACZ2018] PLCK G171.9 2.2,03 12 55.447,+08 21 55.38,53.03648,LensedImage,269565.0,3.34,1
18,[GKW2013] S4,03 12 57.5,+08 22 09,53.82769,Radio,,,1
19,[ACZ2018] PLCK G171.9 3.3,03 12 58.699,+08 22 53.04,55.123394,LensedImage,211723.0,1.41,1
20,[ACZ2018] PLCK G171.9 1.3,03 12 59.036,+08 22 47.85,59.89382,LensedImage,211723.0,1.41,1
21,[ACZ2018] PLCK G171.9 c4.3,03 12 59.089,+08 22 50.69,60.73968,LensedImage_Candidate,,,1
22,[ACZ2018] PLCK G171.9 2.1,03 12 58.043,+08 21 58.16,67.25558,LensedImage,23027.0,0.08,1
23,RELICS wfc3ir PLCK G171.9-40.6  738,03 12 57.520,+08 21 51.10,68.08935,Galaxy,285929.0,5.5,1
24,[ACZ2018] PLCK G171.9 2.3,03 12 59.630,+08 22 42.42,68.934845,LensedImage,270343.0,3.4,1
25,[GKW2013] S5,03 12 57.3,+08 21 37,78.77835,Radio,,,1
26,[GKW2013] S6,03 12 58.3,+08 21 14,105.9923,Radio,,,1
27,[GKW2013] S7,03 12 54.4,+08 20 35,133.29774,Radio,,,1
28,TYC  648-415-1,03 12 39.2991,+08 25 06.654,271.1237,Star,22.55,7.5e-05,1
