,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,PLCKESZ G287.0+32.9,11 50 49.20,-28 04 36.5,0.0,ClG,93940.0,0.383,1
1,[GDJ2017] PLCK G287.0+32.9 H,11 50 49.0,-28 04 36,2.6937642,Radio,,,1
2,[GDW2019] J177.70483990-28.07952460,11 50 49.1615,-28 04 46.288,9.801761,Galaxy,94377.0,0.3852378,1
3,[GDW2019] J177.70194920-28.07762480,11 50 48.4678,-28 04 39.449,10.129222,Galaxy,83991.0,0.3335705,1
4,[ZSM2017] PLCK G287.0+32.9 7.1,11 50 49.2520,-28 04 23.606,12.9123535,LensedImage,269298.0,3.32,1
5,[GDW2019] J177.70944600-28.07862590,11 50 50.2670,-28 04 43.053,15.568335,Galaxy,86276.0,0.3446747,1
6,[GDW2019] J177.70742310-28.08134510,11 50 49.7815,-28 04 52.842,18.063992,Galaxy,94208.0,0.3843752,1
7,[GDW2019] J177.70746400-28.07158570,11 50 49.7913,-28 04 17.708,20.35625,Galaxy,91927.0,0.3727669,1
8,RELICS wfc3ir PLCK G287.0+32.9  698,11 50 49.2030,-28 04 14.689,21.811037,Galaxy,290097.0,6.8,1
9,RELICS wfc3ir PLCK G287.0+32.9  792,11 50 48.2156,-28 04 17.890,22.716942,Galaxy,291254.0,7.32,1
10,[ZSM2017] PLCK G287.0+32.9 5.1,11 50 50.8900,-28 04 31.287,22.966356,LensedImage,255713.0,2.55,1
11,[GDW2019] J177.69797880-28.07853800,11 50 47.5149,-28 04 42.736,23.157228,Galaxy,93249.0,0.3794733,1
12,[OOP2020] PLCK G287.0+32.9 BCG,11 50 50.1711,-28 04 55.822,23.206978,BrightestCG,93784.0,0.3822011,1
13,[ZSM2017] PLCK G287.0+32.9 c19.5,11 50 50.4430,-28 04 53.959,23.988197,LensedImage_Candidate,207867.0,1.35,1
14,[ZSM2017] PLCK G287.0+32.9 1.1,11 50 49.4480,-28 05 02.060,25.769863,LensedImage,274448.0,3.76,1
15,[ZSM2017] PLCK G287.0+32.9 c6.2,11 50 47.2320,-28 04 42.851,26.808931,LensedImage_Candidate,280673.0,4.51,1
16,RELICS wfc3ir PLCK G287.0+32.9 2252,11 50 48.9355,-28 05 03.224,26.952013,Galaxy,289374.0,6.52,1
17,[ZSM2017] PLCK G287.0+32.9 5.2,11 50 51.3030,-28 04 31.069,28.357822,LensedImage,247349.0,2.23,1
18,[ZSM2017] PLCK G287.0+32.9 1.2,11 50 49.0540,-28 05 04.792,28.357903,LensedImage,274035.0,3.72,1
19,[ZSM2017] PLCK G287.0+32.9 c20.2,11 50 50.5210,-28 05 00.919,30.032112,LensedImage_Candidate,287388.0,5.88,1
20,[GDW2019] J177.71433440-28.08021880,11 50 51.4402,-28 04 48.787,32.094196,Galaxy,92847.0,0.377429,1
21,[ZSM2017] PLCK G287.0+32.9 c6.1,11 50 47.0210,-28 04 51.560,32.533566,LensedImage_Candidate,280124.0,4.43,1
22,[ZSM2017] PLCK G287.0+32.9 c20.1,11 50 50.6320,-28 05 03.137,32.690826,LensedImage_Candidate,177936.0,0.98,1
23,RELICS wfc3ir PLCK G287.0+32.9  397,11 50 49.2088,-28 04 03.381,33.119682,Galaxy,286115.0,5.545,1
24,[ZSM2017] PLCK G287.0+32.9 c17,11 50 46.5780,-28 04 23.945,36.903446,LensedImage,146997.0,0.71,1
25,[GDW2019] J177.71060830-28.06657480,11 50 50.5459,-28 03 59.669,40.912914,Galaxy,94703.0,0.3869137,1
26,[GDW2019] J177.70078190-28.08768190,11 50 48.1876,-28 05 15.654,41.38349,Galaxy,96859.0,0.3980668,1
27,[ZSM2017] PLCK G287.0+32.9 c15.2,11 50 50.2390,-28 03 54.937,43.77889,LensedImage_Candidate,110104.0,0.47,1
28,[ZSM2017] PLCK G287.0+32.9 c15.1,11 50 50.4700,-28 03 54.703,45.050346,LensedImage_Candidate,121959.0,0.54,1
29,[GDW2019] J177.70213360-28.06446640,11 50 48.5120,-28 03 52.079,45.34453,Galaxy,204938.0,1.3067517,1
30,[GDW2019] J177.69107250-28.07401240,11 50 45.8574,-28 04 26.444,45.36747,Galaxy,95232.0,0.3896357,1
31,[GDW2019] J177.71451370-28.06736590,11 50 51.4832,-28 04 02.517,45.476173,Galaxy,93654.0,0.3815384,1
32,[ZSM2017] PLCK G287.0+32.9 8.2,11 50 51.2900,-28 05 12.952,45.757927,LensedImage,265178.0,3.04,1
33,[GDW2019] J177.70973340-28.06479880,11 50 50.3360,-28 03 53.275,45.764782,Galaxy,95159.0,0.3892584,1
34,[ZSM2017] PLCK G287.0+32.9 8.3,11 50 49.5930,-28 05 22.032,45.82808,LensedImage,185446.0,1.06,1
35,[GDW2019] J177.70546830-28.06394040,11 50 49.3123,-28 03 50.185,46.338444,Galaxy,95540.0,0.3912272,1
36,[ZSM2017] PLCK G287.0+32.9 8.1,11 50 52.7430,-28 04 48.339,48.361534,LensedImage,253073.0,2.44,1
37,RELICS wfc3ir PLCK G287.0+32.9 2457,11 50 49.6798,-28 05 24.649,48.565926,Galaxy,289873.0,6.71,1
38,[GDW2019] J177.70342900-28.06333150,11 50 48.8229,-28 03 47.993,48.762627,Galaxy,204931.0,1.3066449,1
39,[GDW2019] J177.69072580-28.07172180,11 50 45.7741,-28 04 18.198,48.895157,Galaxy,96537.0,0.3963896,1
40,RELICS wfc3ir PLCK G287.0+32.9 1887,11 50 45.9257,-28 05 01.675,50.11497,Galaxy,290477.0,6.96,1
41,[ZSM2017] PLCK G287.0+32.9 7.2,11 50 52.8750,-28 04 23.606,50.318634,LensedImage,271215.0,3.47,1
42,[GDW2019] J177.71667390-28.08629030,11 50 52.0017,-28 05 10.645,50.4055,Galaxy,96808.0,0.3977981,1
43,[GDW2019] J177.69979410-28.09007390,11 50 47.9505,-28 05 24.266,50.546917,Galaxy,97177.0,0.3997213,1
44,RELICS wfc3ir PLCK G287.0+32.9  347,11 50 50.4075,-28 03 48.063,51.00562,Galaxy,287868.0,6.02,1
45,RELICS wfc3ir PLCK G287.0+32.9  777,11 50 52.7840,-28 04 17.603,51.06009,Galaxy,290568.0,7.0,1
46,[GDW2019] J177.68884320-28.07752780,11 50 45.3223,-28 04 39.100,51.38519,Galaxy,177414.0,0.9746944,1
