,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,PSZ1 G183.92+42.99,09 10 51.0,+38 50 22,0.0,ClG,125328.0,0.561,1
1,SDSS J091051.04+385022.3,09 10 51.041,+38 50 22.36,0.60079855,GtowardsCl,,,1
2,DES J091051.37+385025.6,09 10 51.3747,+38 50 25.605,5.6706896,GtowardsCl,125341.0,0.56108,1
3,DES J091049.88+385029.0,09 10 49.8878,+38 50 29.043,14.779964,GtowardsCl,,,1
4,DES J091052.29+385023.8,09 10 52.2961,+38 50 23.884,15.259441,GtowardsCl,,,1
5,DES J091051.87+385009.6,09 10 51.8782,+38 50 09.648,16.058212,GtowardsCl,,,1
6,DES J091049.76+385009.7,09 10 49.7659,+38 50 09.703,18.950657,GtowardsCl,122699.0,0.54457,1
7,DES J091052.45+385036.4,09 10 52.4577,+38 50 36.450,22.334682,GtowardsCl,,,1
8,DES J091053.34+385038.3,09 10 53.3483,+38 50 38.375,31.95082,GtowardsCl,,,1
9,DES J091052.38+385052.5,09 10 52.3843,+38 50 52.594,34.605583,GtowardsCl,,,1
10,DES J091052.95+384952.1,09 10 52.9591,+38 49 52.191,37.583447,GtowardsCl,,,1
11,DES J091048.68+384951.6,09 10 48.6845,+38 49 51.671,40.64253,GtowardsCl,,,1
12,DES J091050.17+384934.9,09 10 50.1778,+38 49 34.932,48.038143,GtowardsCl,,,1
13,DES J091053.84+385057.5,09 10 53.8426,+38 50 57.554,48.651752,GtowardsCl,,,1
14,DES J091050.97+384931.7,09 10 50.9725,+38 49 31.745,50.25575,GtowardsCl,,,1
15,DES J091045.94+385028.6,09 10 45.9429,+38 50 28.668,59.459885,GtowardsCl,,,1
16,DES J091047.79+384934.5,09 10 47.7902,+38 49 34.533,60.49571,GtowardsCl,,,1
17,DES J091056.03+385000.0,09 10 56.0390,+38 50 00.039,62.838585,GtowardsCl,,,1
18,DES J091047.70+384926.3,09 10 47.7047,+38 49 26.324,67.693535,GtowardsCl,,,1
19,DES J091050.17+384911.1,09 10 50.1700,+38 49 11.129,71.531746,GtowardsCl,,,1
20,DES J091051.60+384909.7,09 10 51.6048,+38 49 09.788,72.55726,GtowardsCl,,,1
21,DES J091044.69+385013.4,09 10 44.6968,+38 50 13.417,74.144196,GtowardsCl,125760.0,0.56373,1
22,DES J091050.61+384903.2,09 10 50.6116,+38 49 03.211,78.92002,GtowardsCl,,,1
23,DES J091050.74+385145.1,09 10 50.7483,+38 51 45.137,83.18878,GtowardsCl,124774.0,0.55751,1
24,SDSS J091049.85+384859.1,09 10 49.855,+38 48 59.19,83.88684,BrightestCG,96016.0,0.39369,1
25,DES J091056.31+385121.5,09 10 56.3168,+38 51 21.555,86.05123,GtowardsCl,,,1
26,DES J091046.39+384913.6,09 10 46.3908,+38 49 13.603,87.057014,GtowardsCl,,,1
27,DES J091046.53+385134.7,09 10 46.5398,+38 51 34.714,89.45458,GtowardsCl,,,1
28,DES J091056.72+384919.8,09 10 56.7246,+38 49 19.829,91.32247,GtowardsCl,,,1
29,DES J091048.49+384851.9,09 10 48.4996,+38 48 51.915,94.705215,GtowardsCl,,,1
30,DES J091059.17+385012.5,09 10 59.1761,+38 50 12.543,95.99447,GtowardsCl,,,1
31,DES J091048.79+385157.1,09 10 48.7989,+38 51 57.193,98.60429,GtowardsCl,,,1
